event_id	dictionary_entry_id	physical_page	locus	register	channel	surface	visible_owner_de	component_recipe	atomic_pocket_gloss_de	current_compositional_reading_de	spoken_clause_id
P912-E0001	P912-D0887	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	pchocthy	abgebildeter Pflanzenartikel f10r	P+CH+O+CTH+Y	EINSATZ + AUSWAHL + GANG + BEREIT + DIES	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	P917-I0001
P912-E0002	P912-D1179	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	shor	abgebildeter Pflanzenartikel f10r	SH+OR	HALT + EINTRAG	Arbeitsgegenstand halten; Ansatz oder Zubereitung	P917-I0002
P912-E0003	P912-D0526	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	octhody	abgebildeter Pflanzenartikel f10r	O+CTH+O+D_ADDR+Y	GANG + BEREIT + GANG + UNTER + DIES	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	P917-I0003
P912-E0004	P912-D0229	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	chorchy	abgebildeter Pflanzenartikel f10r	CH+OR+CH+Y	AUSWAHL + EINTRAG + AUSWAHL + DIES	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	P917-I0004
P912-E0005	P912-D0888	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	pchodol	abgebildeter Pflanzenartikel f10r	P+CH+O+D_ADDR+OL	EINSATZ + AUSWAHL + GANG + UNTER + WEITER	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren	P917-I0005
P912-E0006	P912-D0224	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	chopchal	abgebildeter Pflanzenartikel f10r	CH+O+P+CH+AL	AUSWAHL + GANG + EINSATZ + AUSWAHL + ZIEL	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	P917-I0006
P912-E0007	P912-D1348	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	ypch	abgebildeter Pflanzenartikel f10r	Y+P+CH	DIES + EINSATZ + AUSWAHL	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen	P917-I0007
P912-E0008	P912-D0446	f10r	f10r.1	HERBAL	WORKSHOP_PROSE	kom	abgebildeter Pflanzenartikel f10r	K+O+M_LOCAL	ZUORDNUNG + GANG + MITTE	Material zugeben; Arbeitsgang ausführen; im Mittelgang ausführen	P917-I0008
P912-E0009	P912-D0342	f10r	f10r.2	HERBAL	WORKSHOP_PROSE	dchey	abgebildeter Pflanzenartikel f10r	CH+E+Y	AUSWAHL + KURZ + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	P917-I0009
P912-E0010	P912-D0275	f10r	f10r.2	HERBAL	WORKSHOP_PROSE	cthoor	abgebildeter Pflanzenartikel f10r	CTH+O+OR	BEREIT + GANG + EINTRAG	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	P917-I0010
