case_id	copy_id	surface_strip	card_strip	case_selected	defect	card_multiset_equals_hidden_master	card_order_equals_hidden_master	master_strip_visible_to_collator
C1	COPY_A_ORDER_WITNESS	okaiin os lsho qokain shey shedy	PROC038|PROC005|PROC084|PROC080|PROC031|PROC078	C1	ONE_WRONG_CARD__ORDER_CORRECT__ONE_HARMLESS_ALLOGRAPH	NO	NO	NO
C1	COPY_B_INVENTORY_WITNESS	qokaiin os lsho qokal shedy shey	PROC038|PROC005|PROC084|PROC048|PROC078|PROC031	C1	ALL_CARDS_CORRECT__ONE_ADJACENT_ORDER_SWAP	YES	NO	NO
C2	COPY_A_ORDER_WITNESS	cthy cthaiin qoctholy ches okal qokeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC100	C2	ONE_WRONG_CARD__ORDER_CORRECT__ONE_HARMLESS_ALLOGRAPH	NO	NO	NO
C2	COPY_B_INVENTORY_WITNESS	cthy cthaiin ches qoctholy qokal qokeeedy	PROC014|PROC017|PROC124|PROC018|PROC048|PROC119	C2	ALL_CARDS_CORRECT__ONE_ADJACENT_ORDER_SWAP	YES	NO	NO
C3	COPY_A_ORDER_WITNESS	cfhy cphy okaiin qokal tshey shedy	PROC028|PROC030|PROC038|PROC048|PROC122|PROC078	C3	ONE_WRONG_CARD__ORDER_CORRECT__ONE_HARMLESS_ALLOGRAPH	NO	NO	NO
C3	COPY_B_INVENTORY_WITNESS	cphy cfhy qokaiin qokal shey shedy	PROC030|PROC028|PROC038|PROC048|PROC031|PROC078	C3	ALL_CARDS_CORRECT__ONE_ADJACENT_ORDER_SWAP	YES	NO	NO
C4	COPY_A_ORDER_WITNESS	qokaiin qokaiin ykan okal qokylddy talam	PROC038|PROC038|PROC040|PROC048|PROC155|PROC043	C4	ONE_WRONG_CARD__ORDER_CORRECT__ONE_HARMLESS_ALLOGRAPH	NO	NO	NO
C4	COPY_B_INVENTORY_WITNESS	qokaiin qokain ykan qokal talam qokylddy	PROC038|PROC080|PROC040|PROC048|PROC043|PROC155	C4	ALL_CARDS_CORRECT__ONE_ADJACENT_ORDER_SWAP	YES	NO	NO
C5	COPY_A_ORDER_WITNESS	cho okaiin kchoar chodaly daiin shedy	PROC052|PROC038|PROC063|PROC053|PROC009|PROC078	C5	ONE_WRONG_CARD__ORDER_CORRECT__ONE_HARMLESS_ALLOGRAPH	NO	NO	NO
C5	COPY_B_INVENTORY_WITNESS	cho qokaiin chodaly kchoar daiiin shedy	PROC052|PROC038|PROC053|PROC063|PROC169|PROC078	C5	ALL_CARDS_CORRECT__ONE_ADJACENT_ORDER_SWAP	YES	NO	NO
