card_no	surfaces	component_recipe	short_or_value_de	literal_reading_de	fluent_composition_de	events	pages	contains_close
PROC002	cthoor	CTH+O+OR	ANSATZ_ODER_ZUBEREITUNG	BEREIT · ARBEITSGANG · ANSATZ	BEREITER ARBEITSGANG MIT DEM ANSATZ	1	f10r	NO
PROC015	ycheor	Y+CH+E+OR	ANSATZ_ODER_ZUBEREITUNG	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	VOM LAUFENDEN POSTEN KURZ FUER DEN ANSATZ ABNEHMEN	1	f10r	NO
PROC016	chor|or|shor|sor	OR	ANSATZ_ODER_ZUBEREITUNG	ANSATZ	ANSATZ ODER ZUBEREITUNG	7	f10r|f55v|f83r	NO
PROC020	otchor|qotchor	OT+CH+OR	ANSATZ_ODER_ZUBEREITUNG	DANACH · ABNEHMEN · ANSATZ	DANACH VOM ANSATZ ABNEHMEN	2	f10r|f56r	NO
PROC022	cholor|olor	OL+OR	ANSATZ_ODER_ZUBEREITUNG	FORTSETZEN · ANSATZ	DEN ANSATZ FORTSETZEN	2	f10r|f81v	NO
PROC023	oykchor	O+Y+K+OR	ANSATZ_ODER_ZUBEREITUNG	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	DEN ANSATZ ZUM LAUFENDEN ARBEITSGANG ZUDOSIEREN	1	f10r	NO
PROC050	orain	OR+AIN	ANSATZ_ODER_ZUBEREITUNG	ANSATZ · PORTION	EINE PORTION DES ANSATZES	1	f55v	NO
PROC051	chochor	HO+CH+OR	ANSATZ_ODER_ZUBEREITUNG	ZUTAT · ABNEHMEN · ANSATZ	EINE ZUTAT FUER DEN ANSATZ ABNEHMEN	1	f56r	NO
PROC148	chealror	AL+R+OR	ANSATZ_ODER_ZUBEREITUNG	ZIELSTELLE · KUEHLEN · ANSATZ	DEN ANSATZ AN DER ZIELSTELLE KUEHLEN	1	f83r	NO
PROC173	ldalor	L+AL+OR	ANSATZ_ODER_ZUBEREITUNG	WEITERLEITEN · ZIELSTELLE · ANSATZ	DEN ANSATZ ZUR ZIELSTELLE WEITERLEITEN	1	f83r	NO
