event_id	page	record	statement_id	position	statement_events	position_class	card_no	surface	component_recipe	fluent_composition_de	left_surface	right_surface
E002	f10r	H1	H1-S001	2	10	MEDIAL	PROC002	cthoor	CTH+O+OR	BEREITER ARBEITSGANG MIT DEM ANSATZ	dchey	char
E015	f10r	H2	H2-S001	1	9	ENTRY	PROC015	ycheor	Y+CH+E+OR	VOM LAUFENDEN POSTEN KURZ FUER DEN ANSATZ ABNEHMEN	BOF	cthy
E017	f10r	H2	H2-S001	3	9	MEDIAL	PROC016	chor	OR	ANSATZ ODER ZUBEREITUNG	cthy	cthaiin
E024	f10r	H2	H2-S002	1	8	ENTRY	PROC020	qotchor	OT+CH+OR	DANACH VOM ANSATZ ABNEHMEN	BOF	chor
E025	f10r	H2	H2-S002	2	8	MEDIAL	PROC016	chor	OR	ANSATZ ODER ZUBEREITUNG	qotchor	otol
E028	f10r	H2	H2-S002	5	8	MEDIAL	PROC022	cholor	OL+OR	DEN ANSATZ FORTSETZEN	chol	chol
E032	f10r	H2	H2-S003	1	7	ENTRY	PROC023	oykchor	O+Y+K+OR	DEN ANSATZ ZUM LAUFENDEN ARBEITSGANG ZUDOSIEREN	BOF	shor
E033	f10r	H2	H2-S003	2	7	MEDIAL	PROC016	shor	OR	ANSATZ ODER ZUBEREITUNG	oykchor	chor
E034	f10r	H2	H2-S003	3	7	MEDIAL	PROC016	chor	OR	ANSATZ ODER ZUBEREITUNG	shor	chy
E071	f55v	H4	H4-S004	4	6	MEDIAL	PROC016	or	OR	ANSATZ ODER ZUBEREITUNG	oltchy	y
E073	f55v	H4	H4-S004	6	6	FINAL	PROC050	orain	OR+AIN	EINE PORTION DES ANSATZES	y	EOF
E074	f56r	H5	H5-S001	1	9	ENTRY	PROC051	chochor	HO+CH+OR	EINE ZUTAT FUER DEN ANSATZ ABNEHMEN	BOF	cho
E080	f56r	H5	H5-S001	7	9	MEDIAL	PROC020	otchor	OT+CH+OR	DANACH VOM ANSATZ ABNEHMEN	kchol	choky
E113	f81v	B1	B1-S002	12	19	MEDIAL	PROC022	olor	OL+OR	DEN ANSATZ FORTSETZEN	dl	ol
E254	f83r	B3	B3-S012	1	2	ENTRY	PROC016	sor	OR	ANSATZ ODER ZUBEREITUNG	BOF	shedy
E290	f83r	B3	B3-S026	6	7	MEDIAL	PROC148	chealror	AL+R+OR	DEN ANSATZ AN DER ZIELSTELLE KUEHLEN	checthy	solkeedy
E348	f83r	B4	B4-S014	1	4	ENTRY	PROC016	or	OR	ANSATZ ODER ZUBEREITUNG	BOF	chey
E381	f83r	B6	B6-S001	9	9	FINAL	PROC173	ldalor	L+AL+OR	DEN ANSATZ ZUR ZIELSTELLE WEITERLEITEN	chey	EOF
