page	locus	cards	surface_sequence	char_width_proxy	page_observed_max_char_width
f56r	f56r.5	4	chochor cho chodaly daiin	25	27
f56r	f56r.7	5	sho kchol otchor choky dal	26	27
f81v	f81v.17	9	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	53	56
f81v	f81v.2	12	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	55	56
f81v	f81v.24	10	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	53	56
f81v	f81v.27	7	dsheol oiiin olkeedy tedy cheky shckhedy chal	45	56
f81v	f81v.7	9	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	55	56
f82r	f82r.19	5	okain char okain qokeedy lchy	29	58
f82r	f82r.2	8	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	54	58
f82r	f82r.23	9	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	57	58
f82r	f82r.26	9	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	56	58
f82r	f82r.27	8	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	58	58
f82r	f82r.3	6	qokeey lcheckhedy qokaly solkaiin chckhy qokaiin	48	58
f82r	f82r.4	8	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	51	58
f83r	f83r.11	10	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	62	65
f83r	f83r.14	10	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	64	65
f83r	f83r.15	9	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	60	65
f83r	f83r.16	8	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	61	65
f83r	f83r.20	9	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	60	65
f83r	f83r.22	9	schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy	65	65
f83r	f83r.25	6	qokeedy qolchey qokeey qokedy chedy otal	40	65
f83r	f83r.26	6	otchey qokeey qoky tol shedy qokylddy	37	65
f83r	f83r.35	5	saiin cheky okeeol okain chdy	29	65
f83r	f83r.37	5	sol lkedy lchedy qokol shedy	28	65
f83r	f83r.39	4	qokain shey kain chckhal	24	65
f83r	f83r.41	4	solkey lchedy qolkain dal	25	65
f83r	f83r.44	2	skar shedy	10	65
f83r	f83r.47	3	otchdy qokchdy shedal	21	65
f83r	f83r.48	5	dal cheol lol chdal aiin	24	65
f83r	f83r.49	3	sol daiiin chedy	16	65
f83r	f83r.52	4	solkeey qekey raly ol	21	65
f83r	f83r.54	5	daiin ol dain chey ldalor	25	65
