transition_id	page	statement_id	from_locus	to_locus	left_event	right_event	left_surface	right_surface	left_line_char_width	page_observed_max_char_width	right_card_char_width	projected_if_anticipated	space_proxy_fits	same_exact_card	same_visible_owner	no_close_between	observed_edge_copy	generic_space_rule	full_identity_guard
LT01	f56r	H5-S001	f56r.5	f56r.7	E077	E078	daiin	sho	25	27	3	29	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT02	f81v	B1-S002	f81v.2	f81v.7	E112	E113	dl	olor	55	56	4	60	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT03	f81v	B1-S003	f81v.7	f81v.17	E121	E122	qol	sshkchdy	55	56	8	64	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT04	f81v	B1-S018	f81v.24	f81v.27	E159	E160	ly	dsheol	53	56	6	60	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT05	f82r	B2-S004	f82r.2	f82r.3	E174	E175	lched	qokeey	54	58	6	61	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT06	f82r	B2-S005	f82r.3	f82r.4	E180	E181	qokaiin	qokaiin	48	58	7	56	YES	YES	YES	YES	YES	COPY	COPY
LT07	f82r	B2-S012	f82r.19	f82r.23	E202	E203	lchy	cheey	29	58	5	35	YES	NO	NO	YES	NO	COPY	NO_COPY
LT08	f82r	B2-S016	f82r.26	f82r.27	E220	E221	okey	pchedy	56	58	6	63	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT09	f83r	B3-S016	f83r.11	f83r.14	E263	E264	lo	qokchedy	62	65	8	71	NO	NO	NO	YES	NO	NO_COPY	NO_COPY
LT10	f83r	B3-S021	f83r.14	f83r.15	E273	E274	sy	saiin	64	65	5	70	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT11	f83r	B3-S026	f83r.16	f83r.20	E290	E291	chealror	solkeedy	61	65	8	70	NO	NO	NO	YES	NO	NO_COPY	NO_COPY
LT12	f83r	B3-S030	f83r.20	f83r.22	E299	E300	saiin	schedair	60	65	8	69	NO	NO	YES	YES	NO	NO_COPY	NO_COPY
LT13	f83r	B4-S003	f83r.25	f83r.26	E320	E321	otal	otchey	40	65	6	47	YES	NO	YES	YES	NO	COPY	NO_COPY
LT14	f83r	B4-S011	f83r.35	f83r.37	E342	E343	chdy	sol	29	65	3	33	YES	NO	YES	YES	NO	COPY	NO_COPY
LT15	f83r	B4-S015	f83r.39	f83r.41	E355	E356	chckhal	solkey	24	65	6	31	YES	NO	NO	YES	NO	COPY	NO_COPY
LT16	f83r	B4-S016	f83r.41	f83r.44	E359	E360	dal	skar	25	65	4	30	YES	NO	YES	YES	NO	COPY	NO_COPY
LT17	f83r	B5-S003	f83r.47	f83r.48	E364	E365	shedal	dal	21	65	3	25	YES	NO	YES	YES	NO	COPY	NO_COPY
LT18	f83r	B5-S003	f83r.48	f83r.49	E369	E370	aiin	sol	24	65	3	28	YES	NO	YES	YES	NO	COPY	NO_COPY
LT19	f83r	B6-S001	f83r.52	f83r.54	E376	E377	ol	daiin	21	65	5	27	YES	NO	YES	YES	NO	COPY	NO_COPY
