deck_order	master_card_id	master_form	registered_surfaces	old_short_default_de	revised_portable_default_de	concrete_rival_a	concrete_rival_b	revision_type	records	event_count
1	MC019	oldy	oldy	weiter+Schluss	fortsetzen; abschließen	nur schließen	beiseitestellen	NATURALIZE_CLOSE	B4|H4	2
2	MC026	choky	choky|oky|qoky	ansetzen+Posten	diesen Posten einsetzen	nehmen	mit Wasser ansetzen	BROADEN_ACTION	B1|B2|B3|B4|H1|H5	10
3	MC032	cheeky	cheeky	wärmen+länger+Posten	länger bearbeiten	länger wärmen	länger halten	REMOVE_THERMAL_OVERLOAD	B4|H4	2
4	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollmaß	Sollmaß	Portion	Zahl	KEEP	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	20
5	MC040	okal	okal|qokal	ansetzen+Ziel	dorthin einsetzen	dort wärmen	Ziel markieren	NATURALIZE_TARGET_ACTION	B1|B2|B3|H4	6
6	MC055	char	char|dar|sar	Quelle	davon	aus dem Gefäß	Zutat	ANAPHORIC_SOURCE	B1|B2|B3|H1|H2	5
7	MC074	chdy	chdy|chedy	umsetzen+Posten	diesen Posten übertragen	umrühren	abgießen	BROADEN_TRANSFER	B1|B3|B4|B5|H4	11
8	MC080	chor	chor|or|shor|sor	Ansatz	Arbeitsansatz	Flüssigkeit	Gefäßinhalt	KEEP_WITH_NOUN	B3|B4|H2|H4	7
9	MC086	chety	chety|chty	teilen+Teil	einen Teil abtrennen	zerkleinern	Portion nehmen	NATURALIZE_PARTITION	B3|H1	2
10	MC119	cheey	cheey|shey	Ergebnis	Klarlauf	bis klar abläuft	fertig	SHORTEN_TO_CONCRETE_RESULT	B2|B4|H3	4
11	MC120	okaiin	okaiin|qokaiin	ansetzen+Sollmaß	auf Sollmaß stellen	messen	Sollmaß wiederholen	NATURALIZE_VALUE_ACTION	B1|B2|B3|H4	9
12	MC123	chey	chey|chy|dy|shy|sy|y	Posten	dieser Posten	dies	aktiver Stoff	ADD_ANAPHORIC_FORCE	B1|B2|B3|B4|B6|H2|H3|H4	18
13	MC153	cheol	cheol|chol|ol|qol|sol|tol	weiter	weiter	und	derselbe Weg	KEEP	B1|B3|B4|B5|B6|H1|H2	19
14	MC154	al	al|chal|cheal|dal|sal|tal	Ziel	dorthin	an die Stelle	zum Gefäß	ANAPHORIC_TARGET	B1|B2|B3|B4|B5|H5	10
15	MC157	cholor	cholor|olor	weiter+Ansatz	damit weiter	voriger Ansatz	nochmals	NATURALIZE_CARRY	B1|H2	2
16	MC161	checthy	checthy|cthy|shcthy	bereit+Posten	diesen Posten bereitstellen	fertig	warm halten	NATURALIZE_STATE_ACTION	B3|H1|H2|H3	7
17	MC171	otchey	otchey	danach+Posten	der nächste Posten	wiederholen	zweiter Teil	NATURALIZE_ORDER_ITEM	B4|H5	2
