statement_id	record_unit_id	page	shared_surface_skeleton	old_literal_reading_de	revised_literal_reading_de	current_fluent_statement_de
H1-S001	H1	f10r	char chety choky aiin	aus der Quelle einen Teil abteilen den Posten ansetzen nach Sollmaß	davon einen Teil abtrennen diesen Posten einsetzen Sollmaß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
H1-S002	H1	f10r	cheol checthy	weiterführen den Posten bereit halten	weiter diesen Posten bereitstellen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
H2-S001	H2	f10r	checthy chor chey chey aiin chey	den Posten bereit halten den Ansatz diesen Posten diesen Posten nach Sollmaß diesen Posten	diesen Posten bereitstellen Arbeitsansatz dieser Posten dieser Posten Sollmaß dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
H2-S002	H2	f10r	chor cheol cholor cheol aiin char	den Ansatz weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß aus der Quelle	Arbeitsansatz weiter damit weiter weiter Sollmaß davon	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
H2-S003	H2	f10r	chor chor chey chey	den Ansatz den Ansatz diesen Posten diesen Posten	Arbeitsansatz Arbeitsansatz dieser Posten dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
H3-S001	H3	f11r	cheey	bis zum Ergebnis	Klarlauf	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
H3-S003	H3	f11r	chey chey aiin	diesen Posten diesen Posten nach Sollmaß	dieser Posten dieser Posten Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
H3-S004	H3	f11r	checthy chey	den Posten bereit halten diesen Posten	diesen Posten bereitstellen dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
H4-S001	H4	f55v	okaiin aiin	das Sollmaß einstellen nach Sollmaß	auf Sollmaß stellen Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
H4-S002	H4	f55v	aiin chdy	nach Sollmaß den Posten umsetzen	Sollmaß diesen Posten übertragen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
H4-S003	H4	f55v	cheeky oldy	den Posten länger wärmen weiterführen und schließen	länger bearbeiten fortsetzen; abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
H4-S004	H4	f55v	aiin okal chor chey	nach Sollmaß am Ziel ansetzen den Ansatz diesen Posten	Sollmaß dorthin einsetzen Arbeitsansatz dieser Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
H5-S001	H5	f56r	aiin choky al	nach Sollmaß den Posten ansetzen zum Ziel	Sollmaß diesen Posten einsetzen dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
H5-S002	H5	f56r	choky	den Posten ansetzen	diesen Posten einsetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
H5-S006	H5	f56r	otchey aiin	danach den nächsten Posten nach Sollmaß	der nächste Posten Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
B1-S002	B1	f81v	okaiin okal char cheol al cheol cholor cheol aiin aiin	das Sollmaß einstellen am Ziel ansetzen aus der Quelle weiterführen zum Ziel weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß nach Sollmaß	auf Sollmaß stellen dorthin einsetzen davon weiter dorthin weiter damit weiter weiter Sollmaß Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
B1-S003	B1	f81v	cheol	weiterführen	weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
B1-S004	B1	f81v	chdy cheol	den Posten umsetzen weiterführen	diesen Posten übertragen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
