exercise_id	ordinary_source_command_de	master_cards	old_literal_backreading_de	revised_literal_backreading_de	status
X01	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	aus der Quelle einen Teil abteilen den Posten ansetzen nach Sollmaß	davon einen Teil abtrennen diesen Posten einsetzen Sollmaß	EXACT_OBSERVED_SKELETON
X02	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	den Posten bereit halten den Ansatz diesen Posten nach Sollmaß	diesen Posten bereitstellen Arbeitsansatz dieser Posten Sollmaß	NEW_WORKSHOP_COMBINATION
X03	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	den Ansatz diesen Posten nach Sollmaß	Arbeitsansatz dieser Posten Sollmaß	NEW_WORKSHOP_COMBINATION
X04	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	nach Sollmaß am Ziel ansetzen den Ansatz diesen Posten	Sollmaß dorthin einsetzen Arbeitsansatz dieser Posten	EXACT_OBSERVED_SKELETON
X05	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	danach den nächsten Posten den Posten ansetzen nach Sollmaß zum Ziel	der nächste Posten diesen Posten einsetzen Sollmaß dorthin	NEW_WORKSHOP_COMBINATION
X06	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	diesen Posten nach Sollmaß diesen Posten	dieser Posten Sollmaß dieser Posten	EXACT_OBSERVED_SKELETON
X07	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	weiterführen den vorigen Ansatz weiterführen weiterführen	weiter damit weiter weiter	OBSERVED_CONTIGUOUS_FORMULA
X08	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	das Sollmaß einstellen aus der Quelle zum Ziel den Posten bereit halten weiterführen und schließen	auf Sollmaß stellen davon dorthin diesen Posten bereitstellen fortsetzen; abschließen	NEW_WORKSHOP_COMBINATION
X09	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	den Posten umsetzen danach den nächsten Posten den Posten ansetzen weiterführen	diesen Posten übertragen der nächste Posten diesen Posten einsetzen weiter	EXACT_OBSERVED_SKELETON
X10	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	zum Ziel nach Sollmaß das Sollmaß einstellen	dorthin Sollmaß auf Sollmaß stellen	EXACT_OBSERVED_SKELETON
X11	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	den Posten ansetzen bis zum Ergebnis weiterführen und schließen	diesen Posten einsetzen Klarlauf fortsetzen; abschließen	NEW_WORKSHOP_COMBINATION
X12	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	das Sollmaß einstellen am Ziel ansetzen aus der Quelle weiterführen nach Sollmaß	auf Sollmaß stellen dorthin einsetzen davon weiter Sollmaß	NEW_WORKSHOP_COMBINATION
