record	at	word	kind	value	material	material_locus	negations	negative	row_status
F83_P1	f83r.2:7	qoteedy	state	kalt	A	f83r.2:3		False	recorded
F83_P1	f83r.2:10	chedy	action	erhitze	A	f83r.2:3		False	recorded
F83_P1	f83r.4:2	chedy	action	erhitze	A	f83r.3:8	f83r.3:4,f83r.3:6	False	recorded
F83_P1	f83r.4:3	qokedy	state	warm	A	f83r.3:8		False	recorded
F83_P1	f83r.4:9	chedy	action	erhitze	B	f83r.4:7		False	recorded
F83_P1	f83r.5:9	qoteedy	state	kalt	B	f83r.5:6		False	recorded
F83_P1	f83r.6:6	chedy	action	erhitze	A	f83r.6:5		False	recorded
F83_P1	f83r.6:7	qokeedy	action	kühle	A	f83r.6:5		False	recorded
F83_P1	f83r.7:8	qokedy	state	warm	A	f83r.6:5		False	recorded
F83_P1	f83r.7:9	qoteedy	state	kalt	A	f83r.6:5		False	recorded
F83_P1	f83r.7:10	qoteedy	state	kalt	A	f83r.6:5		False	recorded
F83_P1	f83r.8:5	chedy	action	erhitze	A	f83r.6:5		False	recorded
F83_P2	f83r.9:3	qokedy	state	warm				False	recorded
F83_P2	f83r.11:6	qokedy	state	warm	A	f83r.11:3		False	recorded
F83_P2	f83r.12:8	qokedy	state	warm	A	f83r.11:3		False	recorded
F83_P2	f83r.13:7	qokedy	state	warm	B	f83r.13:3		False	recorded
F83_P2	f83r.14:2	qokeedy	action	kühle	B	f83r.13:3		False	recorded
F83_P2	f83r.16:5	chedy	action	erhitze	A	f83r.14:7	f83r.15:4	True	recorded
F83_P3	f83r.20:2	qoteedy	state	kalt	B	f83r.19:9		False	recorded
F83_P3	f83r.20:4	qokedy	state	warm	B	f83r.19:9		False	recorded
F83_P3	f83r.20:7	qokedy	state	warm	B	f83r.19:9		False	recorded
F83_P3	f83r.21:2	qokedy	state	warm	B	f83r.19:9		False	recorded
F83_P3	f83r.21:5	chedy	action	erhitze	B	f83r.19:9		False	recorded
F83_P3	f83r.21:8	qokedy	state	warm	B	f83r.19:9		False	recorded
F83_P3	f83r.22:3	qokeedy	action	kühle	B	f83r.19:9		False	recorded
F83_P3	f83r.22:5	chedy	action	erhitze	B	f83r.19:9		False	recorded
F83_P3	f83r.23:5	qokedy	state	warm	B	f83r.23:4		False	recorded
F83_P3	f83r.23:9	chedy	action	erhitze	B	f83r.23:4		False	recorded
F83_P4	f83r.25:1	qokeedy	action	kühle				False	recorded
F83_P4	f83r.25:4	qokedy	state	warm				False	recorded
F83_P4	f83r.25:5	chedy	action	erhitze				False	recorded
F83_P4	f83r.27:2	chedy	action	erhitze	B	f83r.26:5		False	recorded
F83_P4	f83r.27:3	qokeedy	action	kühle	B	f83r.26:5		False	recorded
F83_P4	f83r.28:4	qokedy	state	warm	B	f83r.26:5		False	recorded
F83_P4	f83r.30:3	qokeedy	action	kühle	B	f83r.28:5		False	recorded
F83_P5	f83r.42:5	chedy	action	erhitze	B	f83r.37:5		False	recorded
F83_P5	f83r.43:3	chedy	action	erhitze	B	f83r.37:5		False	recorded
F83_Q1	f83r.49:3	chedy	action	erhitze				False	recorded
