record	mode	A	B	triggered	active	required	forbidden	violated_states	action_conflicts	unbound	consistent	row_status
F83_P1	C	warm	warm	f83r.6:3	f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5,f83r.6:6	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.8:5"", ""f83r.6:6""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.7:9,f83r.7:10			False	recorded
F83_P1	U	warm	warm		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.5:9,f83r.6:6,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.6:6"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.5:9,f83r.7:9,f83r.7:10			False	recorded
F83_P1	C	warm	kalt		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.7:9,f83r.7:10			False	recorded
F83_P1	U	warm	kalt		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.5:9,f83r.6:6,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.6:6"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.7:9,f83r.7:10			False	recorded
F83_P1	C	warm	neutral	f83r.6:3	f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5,f83r.6:6	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.8:5"", ""f83r.6:6""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.7:9,f83r.7:10			False	recorded
F83_P1	U	warm	neutral		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.5:9,f83r.6:6,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.6:6"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.2:7,f83r.5:9,f83r.7:9,f83r.7:10			False	recorded
F83_P1	C	kalt	warm	f83r.6:3	f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5,f83r.6:6	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.8:5"", ""f83r.6:6""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.4:3,f83r.7:8			False	recorded
F83_P1	U	kalt	warm		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.5:9,f83r.6:6,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.6:6"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.4:3,f83r.5:9,f83r.7:8			False	recorded
F83_P1	C	kalt	kalt		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.4:3,f83r.7:8			False	recorded
F83_P1	U	kalt	kalt		f83r.2:7,f83r.2:10,f83r.4:2,f83r.4:3,f83r.4:9,f83r.5:9,f83r.6:6,f83r.6:7,f83r.7:8,f83r.7:9,f83r.7:10,f83r.8:5	"{""erhitze(A)"": [""f83r.2:10"", ""f83r.4:2"", ""f83r.6:6"", ""f83r.8:5""], ""erhitze(B)"": [""f83r.4:9""], ""k\u00fchle(A)"": [""f83r.6:7""]}"	{}	f83r.4:3,f83r.7:8			False	recorded
