source_group_id	edition	page	locus	kind	block	source_group_index	ivtff_group_raw	left_separator	right_separator	M	V	A
ZL3b|f77r.1|G001	ZL3b	f77r	f77r.1	L	f77r.1:LABEL	1	darchdar	LINE_START	LINE_END	⟦darchdar⟧	⟦darchdar⟧	⟦darchdar⟧
ZL3b|f77r.2|G001	ZL3b	f77r	f77r.2	L	f77r.2:LABEL	1	olkchs	LINE_START	LINE_END	⟦olkchs⟧	⟦olkchs⟧	⟦olkchs⟧
ZL3b|f77r.3|G001	ZL3b	f77r	f77r.3	L	f77r.3:LABEL	1	otedy	LINE_START	LINE_END	A?	A?	A?
ZL3b|f77r.4|G001	ZL3b	f77r	f77r.4	L	f77r.4:LABEL	1	otork	LINE_START	LINE_END	⟦otork⟧	⟦otork⟧	⟦otork⟧
ZL3b|f77r.5|G001	ZL3b	f77r	f77r.5	L	f77r.5:LABEL	1	otol	LINE_START	LINE_END	B?	B?	B?
ZL3b|f77r.6|G001	ZL3b	f77r	f77r.6	L	f77r.6:LABEL	1	dchdy	LINE_START	LINE_END	⟦dchdy⟧	⟦dchdy⟧	⟦dchdy⟧
ZL3b|f77r.7|G001	ZL3b	f77r	f77r.7	L	f77r.7:LABEL	1	soral	LINE_START	LINE_END	⟦soral⟧	⟦soral⟧	⟦soral⟧
ZL3b|f77r.8|G001	ZL3b	f77r	f77r.8	L	f77r.8:LABEL	1	dotedy	LINE_START	LINE_END	⟦dotedy⟧	⟦dotedy⟧	⟦dotedy⟧
ZL3b|f77r.9|G001	ZL3b	f77r	f77r.9	P	f77r:P1	1	poldarais	LINE_START	UNCERTAIN_SMALL_SPACE	⟦poldarais⟧	⟦poldarais⟧	⟦poldarais⟧
ZL3b|f77r.9|G002	ZL3b	f77r	f77r.9	P	f77r:P1	2	ol	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	⟦ol⟧	⟦ol⟧	⟦ol⟧
ZL3b|f77r.9|G003	ZL3b	f77r	f77r.9	P	f77r:P1	3	qokol	DEFINITE_SPACE	DEFINITE_SPACE	⟦qokol⟧	⟦qokol⟧	⟦qokol⟧
ZL3b|f77r.9|G004	ZL3b	f77r	f77r.9	P	f77r:P1	4	chey	DEFINITE_SPACE	DEFINITE_SPACE	⟦chey⟧	⟦chey⟧	⟦chey⟧
ZL3b|f77r.9|G005	ZL3b	f77r	f77r.9	P	f77r:P1	5	qopchedy	DEFINITE_SPACE	DEFINITE_SPACE	⟦qopchedy⟧	⟦qopchedy⟧	⟦qopchedy⟧
ZL3b|f77r.9|G006	ZL3b	f77r	f77r.9	P	f77r:P1	6	qopchedy	DEFINITE_SPACE	DEFINITE_SPACE	⟦qopchedy⟧	⟦qopchedy⟧	⟦qopchedy⟧
ZL3b|f77r.9|G007	ZL3b	f77r	f77r.9	P	f77r:P1	7	dylches	DEFINITE_SPACE	DEFINITE_SPACE	⟦dylches⟧	⟦dylches⟧	⟦dylches⟧
ZL3b|f77r.9|G008	ZL3b	f77r	f77r.9	P	f77r:P1	8	olkedy	DEFINITE_SPACE	DEFINITE_SPACE	⟦olkedy⟧	⟦olkedy⟧	⟦olkedy⟧
ZL3b|f77r.9|G009	ZL3b	f77r	f77r.9	P	f77r:P1	9	loly	DEFINITE_SPACE	LINE_END	⟦loly⟧	⟦loly⟧	⟦loly⟧
ZL3b|f77r.10|G001	ZL3b	f77r	f77r.10	P	f77r:P1	1	tolchd	LINE_START	UNCERTAIN_SMALL_SPACE	⟦tolchd⟧	⟦tolchd⟧	⟦tolchd⟧
ZL3b|f77r.10|G002	ZL3b	f77r	f77r.10	P	f77r:P1	2	ar	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	⟦ar⟧	⟦ar⟧	⟦ar⟧
ZL3b|f77r.10|G003	ZL3b	f77r	f77r.10	P	f77r:P1	3	shey	DEFINITE_SPACE	DEFINITE_SPACE	⟦shey⟧	⟦shey⟧	⟦shey⟧
ZL3b|f77r.10|G004	ZL3b	f77r	f77r.10	P	f77r:P1	4	qotaiin	DEFINITE_SPACE	DEFINITE_SPACE	C?	C?	C?
ZL3b|f77r.10|G005	ZL3b	f77r	f77r.10	P	f77r:P1	5	qotedy	DEFINITE_SPACE	DEFINITE_SPACE	A?	A?	A?
ZL3b|f77r.10|G006	ZL3b	f77r	f77r.10	P	f77r:P1	6	qokol	DEFINITE_SPACE	DEFINITE_SPACE	⟦qokol⟧	⟦qokol⟧	⟦qokol⟧
ZL3b|f77r.10|G007	ZL3b	f77r	f77r.10	P	f77r:P1	7	chdy	DEFINITE_SPACE	DEFINITE_SPACE	⟦chdy⟧	⟦chdy⟧	⟦chdy⟧
ZL3b|f77r.10|G008	ZL3b	f77r	f77r.10	P	f77r:P1	8	qokain	DEFINITE_SPACE	DEFINITE_SPACE	⟦qokain⟧	⟦qokain⟧	⟦qokain⟧
ZL3b|f77r.10|G009	ZL3b	f77r	f77r.10	P	f77r:P1	9	chetey	DEFINITE_SPACE	DEFINITE_SPACE	⟦chetey⟧	⟦chetey⟧	⟦chetey⟧
ZL3b|f77r.10|G010	ZL3b	f77r	f77r.10	P	f77r:P1	10	sal	DEFINITE_SPACE	LINE_END	⟦sal⟧	⟦sal⟧	⟦sal⟧
ZL3b|f77r.11|G001	ZL3b	f77r	f77r.11	P	f77r:P1	1	qoteedy	LINE_START	DEFINITE_SPACE	⟦qoteedy⟧	⟦qoteedy⟧	⟦qoteedy⟧
ZL3b|f77r.11|G002	ZL3b	f77r	f77r.11	P	f77r:P1	2	qokaiin	DEFINITE_SPACE	DEFINITE_SPACE	D?	D?	D?
ZL3b|f77r.11|G003	ZL3b	f77r	f77r.11	P	f77r:P1	3	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?
