source_group_id	edition	page	locus	kind	block	source_group_index	ivtff_group_raw	left_separator	right_separator	M	V	A	left_id	left_raw	left_nominal	left_cross_line	right_id	right_raw	right_nominal	right_cross_line	full_raw_line	semantic_participant_confirmed
ZL3b|f77r.11|G003	ZL3b	f77r	f77r.11	P	f77r:P1	3	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.11|G002	qokaiin	D	False	ZL3b|f77r.11|G004	chol		False	qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham	False
ZL3b|f77r.11|G005	ZL3b	f77r	f77r.11	P	f77r:P1	5	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.11|G004	chol		False	ZL3b|f77r.11|G006	shcthey		False	qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham	False
ZL3b|f77r.14|G006	ZL3b	f77r	f77r.14	P	f77r:P1	6	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.14|G005	qokaiin	D	False	ZL3b|f77r.14|G007	qokeedy		False	sokcheey sain sheeol qoteedy qokaiin shedy qokeedy qotedy	False
ZL3b|f77r.15|G002	ZL3b	f77r	f77r.15	P	f77r:P1	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.15|G001	qokeedy		False	ZL3b|f77r.15|G003	qotol	B	False	qokeedy shedy qotol shedy qokaiin sheety qokeed y lchedy lol	False
ZL3b|f77r.15|G004	ZL3b	f77r	f77r.15	P	f77r:P1	4	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.15|G003	qotol	B	False	ZL3b|f77r.15|G005	qokaiin	D	False	qokeedy shedy qotol shedy qokaiin sheety qokeed y lchedy lol	False
ZL3b|f77r.16|G005	ZL3b	f77r	f77r.16	P	f77r:P1	5	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.16|G004	qokaiin	D	False	ZL3b|f77r.16|G006	qolcheedy		False	sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol	False
ZL3b|f77r.21|G002	ZL3b	f77r	f77r.21	P	f77r:P1	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.21|G001	chedaiin		False	ZL3b|f77r.21|G003	qokeedy		False	chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny	False
ZL3b|f77r.25|G003	ZL3b	f77r	f77r.25	P	f77r:P2	3	shedy	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.25|G002	qokar		False	ZL3b|f77r.25|G004	qokal		False	otedy qokar shedy qokal shedar dal chedy daror	False
ZL3b|f77r.27|G004	ZL3b	f77r	f77r.27	P	f77r:P2	4	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.27|G003	okaiin	D	False	ZL3b|f77r.27|G005	qokeedy		False	solchedy qokain okaiin shedy qokeedy qotedy	False
ZL3b|f77r.34|G002	ZL3b	f77r	f77r.34	P	f77r:P2	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.34|G001	qokaiin	D	False	ZL3b|f77r.34|G003	chedy		False	qokaiin shedy chedy qolchedy qokaiin qokaiin checkhy raiin	False
ZL3b|f77r.38|G002	ZL3b	f77r	f77r.38	P	f77r:P3	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.38|G001	pol		False	ZL3b|f77r.38|G003	qoeedy		False	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol	False
ZL3b|f77r.38|G008	ZL3b	f77r	f77r.38	P	f77r:P3	8	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	ZL3b|f77r.38|G007	ltaiin		False	ZL3b|f77r.38|G009	qol		False	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol	False
IT2a|f77r.11|G003	IT2a	f77r	f77r.11	P	f77r:P1	3	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.11|G002	qokaiin	D	False	IT2a|f77r.11|G004	chol		False	qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham	False
IT2a|f77r.11|G005	IT2a	f77r	f77r.11	P	f77r:P1	5	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.11|G004	chol		False	IT2a|f77r.11|G006	shcthey		False	qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham	False
IT2a|f77r.14|G006	IT2a	f77r	f77r.14	P	f77r:P1	6	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.14|G005	qokaiin	D	False	IT2a|f77r.14|G007	qokeedy		False	sokcheey sain sheeol qoteedy qokaiin shedy qokeedy qotedy	False
IT2a|f77r.15|G002	IT2a	f77r	f77r.15	P	f77r:P1	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.15|G001	qokeedy		False	IT2a|f77r.15|G003	qotol	B	False	qokeedy shedy qotol shedy qokaiin sheety qokeedy lchedy lol	False
IT2a|f77r.15|G004	IT2a	f77r	f77r.15	P	f77r:P1	4	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.15|G003	qotol	B	False	IT2a|f77r.15|G005	qokaiin	D	False	qokeedy shedy qotol shedy qokaiin sheety qokeedy lchedy lol	False
IT2a|f77r.16|G005	IT2a	f77r	f77r.16	P	f77r:P1	5	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.16|G004	qokaiin	D	False	IT2a|f77r.16|G006	qolcheedy		False	sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol	False
IT2a|f77r.21|G002	IT2a	f77r	f77r.21	P	f77r:P1	2	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.21|G001	chedaiin		False	IT2a|f77r.21|G003	qokeedy		False	chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny	False
IT2a|f77r.25|G003	IT2a	f77r	f77r.25	P	f77r:P2	3	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.25|G002	qokor		False	IT2a|f77r.25|G004	qokal		False	otedy qokor shedy qokal shedar dal chedy daror	False
IT2a|f77r.27|G004	IT2a	f77r	f77r.27	P	f77r:P2	4	shedy	DEFINITE_SPACE	DEFINITE_SPACE	Flüssigkeit?	fließt?	feucht?	IT2a|f77r.27|G003	okaiin	D	False	IT2a|f77r.27|G005	qokeedy		False	solchedy qokain okaiin shedy qokeedy qotedy	False
