length_id	island_length	island_id	anchor_id	island_position	event_id	stream_ordinal	statement_id	physical_page	owner_de	source_recipe	replacement_recipe	neighbor_id	mutation_family	variant_selection_rule	nested_anchor_rule
L01	1	G458-L01-G458-A01	G458-A01	1	G407-E0007	7	G404-S001	f1r	F1R_TEXT_BLOCK_A	CH+T+R+E+S	CH+R+E+S	G447-N07314	ATOM_DELETION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A02	G458-A02	1	G407-E0125	125	G404-S005	f1r	F1R_TEXT_BLOCK_C	CH+O+D_ADDR+AIIN	CH+D_ADDR+AIIN	G447-N05152	ATOM_DELETION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A03	G458-A03	1	G407-E0314	314	P1009-S004	f11r	blühender dreikroniger Sodenstock	SH+O+Y+T+Y	CH+O+Y+T+Y	G447-N26579	SAME_CLASS_SUBSTITUTION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A04	G458-A04	1	G407-E0372	372	P1009-S005	f13r	große Wurzelkrone mit Blatt und Blütenstand	O+P+CH+OR	O+CH+OR	G447-N14322	ATOM_DELETION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A05	G458-A05	1	G407-E0993	993	P1009-S041	f67r2	zwei getrennte Himmelsräder und Tabelle	AL+D_ADDR+AIIN	AL+AIIN	G447-N00382	ATOM_DELETION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A06	G458-A06	1	G407-E2681	2681	P1009-S382	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	OK+E+AR	CH+E+AR	G447-N15950	SAME_CLASS_SUBSTITUTION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A07	G458-A07	1	G407-E3809	3809	P1009-S590	f88r	sechzehn Drogenposten und drei Gefäßansätze	OK+OR	CH+OR	G447-N17138	SAME_CLASS_SUBSTITUTION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A08	G458-A08	1	G407-E3850	3850	P1009-S592	f88r	sechzehn Drogenposten und drei Gefäßansätze	CH+E+Y	CH+Y+E	G447-N03791	ADJACENT_SWAP	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A09	G458-A09	1	G407-E3890	3890	P1009-S594	f88r	sechzehn Drogenposten und drei Gefäßansätze	OL	OT	G447-N17443	SAME_CLASS_SUBSTITUTION	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
L01	1	G458-L01-G458-A10	G458-A10	1	G407-E4073	4073	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	HO+CH+K+Y	CH+HO+K+Y	G447-N09516	ADJACENT_SWAP	SAME_GDT457_SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_32_CARD_WINDOW
