length_id	island_length	island_id	anchor_id	statement_id	state_bank_id	first_event_id	last_event_id	immediate_post_island_event_id	immediate_post_island_decision	untouched_stop_cascade_length	cascade_recovery_event_id	state_recovery_event_id	unmutated_card_distance_to_parity_or_next_island	state_recovery_status
L01	1	G458-L01-G458-A01	G458-A01	G404-S001	f1r::F1R_TEXT_BLOCK_A	G407-E0007	G407-E0007	G407-E0008	READ	0	G407-E0008	G407-E0008	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A02	G458-A02	G404-S005	f1r::F1R_TEXT_BLOCK_C	G407-E0125	G407-E0125	G407-E0126	READ	0	G407-E0126	G407-E0126	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A03	G458-A03	P1009-S004	f11r::blühender dreikroniger Sodenstock	G407-E0314	G407-E0314	G407-E0315	READ	0	G407-E0315	G407-E0315	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A04	G458-A04	P1009-S005	f13r::große Wurzelkrone mit Blatt und Blütenstand	G407-E0372	G407-E0372	G407-E0373	READ	0	G407-E0373	G407-E0373	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A05	G458-A05	P1009-S041	f67r2::zwei getrennte Himmelsräder und Tabelle	G407-E0993	G407-E0993	G407-E0994	READ	0	G407-E0994	G407-E0994	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A06	G458-A06	P1009-S382	f77r::Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	G407-E2681	G407-E2681	G407-E2682	READ	0	G407-E2682	G407-E2682	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A07	G458-A07	P1009-S590	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3809	G407-E3809	G407-E3810	READ	0	G407-E3810	G407-E3811	2	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A08	G458-A08	P1009-S592	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3850	G407-E3850	G407-E3851	READ	0	G407-E3851	G407-E3851	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A09	G458-A09	P1009-S594	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3890	G407-E3890	G407-E3891	READ	0	G407-E3891	G407-E3891	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A10	G458-A10	P1009-S610	f89r::Gefäß-/Pflanzenteilgruppe A	G407-E4073	G407-E4073	G407-E4074	READ	0	G407-E4074	G407-E4074	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A11	G458-A11	P1009-S614	f89r::Gefäß-/Pflanzenteilgruppe C	G407-E4146	G407-E4146	G407-E4147	READ	0	G407-E4147	G407-E4147	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A12	G458-A12	P1009-S617	f89r::Gefäß-/Pflanzenteilgruppe D	G407-E4192	G407-E4192	G407-E4193	READ	0	G407-E4193	G407-E4193	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G458-L01-G458-A13	G458-A13	P1009-S627	f89r::Gefäß-/Pflanzenteilgruppe F	G407-E4351	G407-E4351	G407-E4352	READ	0	G407-E4352	G407-E4352	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A01	G458-A01	G404-S001	f1r::F1R_TEXT_BLOCK_A	G407-E0007	G407-E0008	G407-E0009	READ	0	G407-E0009	G407-E0009	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A02	G458-A02	G404-S005	f1r::F1R_TEXT_BLOCK_C	G407-E0125	G407-E0126	G407-E0127	READ	0	G407-E0127	G407-E0127	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A03	G458-A03	P1009-S004	f11r::blühender dreikroniger Sodenstock	G407-E0314	G407-E0315	G407-E0316	READ	0	G407-E0316	G407-E0316	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A04	G458-A04	P1009-S005	f13r::große Wurzelkrone mit Blatt und Blütenstand	G407-E0372	G407-E0373	G407-E0374	READ	0	G407-E0374	G407-E0374	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A05	G458-A05	P1009-S041	f67r2::zwei getrennte Himmelsräder und Tabelle	G407-E0993	G407-E0994	G407-E0995	READ	0	G407-E0995	G407-E0995	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A06	G458-A06	P1009-S382	f77r::Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	G407-E2681	G407-E2682	G407-E2683	READ	0	G407-E2683	G407-E2683	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A07	G458-A07	P1009-S590	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3809	G407-E3810	G407-E3811	READ	0	G407-E3811	G407-E3813	3	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A08	G458-A08	P1009-S592	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3850	G407-E3851	G407-E3852	READ	0	G407-E3852	G407-E3852	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A09	G458-A09	P1009-S594	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3890	G407-E3891	G407-E3892	READ	0	G407-E3892	G407-E3892	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A10	G458-A10	P1009-S610	f89r::Gefäß-/Pflanzenteilgruppe A	G407-E4073	G407-E4074	G407-E4075	READ	0	G407-E4075	G407-E4075	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A11	G458-A11	P1009-S614	f89r::Gefäß-/Pflanzenteilgruppe C	G407-E4146	G407-E4147	G407-E4148	READ	0	G407-E4148	G407-E4148	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A12	G458-A12	P1009-S617	f89r::Gefäß-/Pflanzenteilgruppe D	G407-E4192	G407-E4193	G407-E4194	READ	0	G407-E4194	G407-E4194	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L02	2	G458-L02-G458-A13	G458-A13	P1009-S627	f89r::Gefäß-/Pflanzenteilgruppe F	G407-E4351	G407-E4352	G407-E4353	READ	0	G407-E4353	G407-E4353	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A01	G458-A01	G404-S001	f1r::F1R_TEXT_BLOCK_A	G407-E0007	G407-E0009	G407-E0010	READ	0	G407-E0010	G407-E0010	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A02	G458-A02	G404-S005	f1r::F1R_TEXT_BLOCK_C	G407-E0125	G407-E0127	G407-E0128	READ	0	G407-E0128	G407-E0128	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A03	G458-A03	P1009-S004	f11r::blühender dreikroniger Sodenstock	G407-E0314	G407-E0316	G407-E0317	READ	0	G407-E0317	G407-E0317	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A04	G458-A04	P1009-S005	f13r::große Wurzelkrone mit Blatt und Blütenstand	G407-E0372	G407-E0374	G407-E0375	READ	0	G407-E0375	G407-E0375	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A05	G458-A05	P1009-S041	f67r2::zwei getrennte Himmelsräder und Tabelle	G407-E0993	G407-E0995	G407-E0996	READ	0	G407-E0996	G407-E0998	3	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A06	G458-A06	P1009-S382	f77r::Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	G407-E2681	G407-E2683	G407-E2684	READ	0	G407-E2684	G407-E2684	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A07	G458-A07	P1009-S590	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3809	G407-E3811	G407-E3812	READ	0	G407-E3812	G407-E3813	2	STATE_PARITY_BEFORE_NEXT_ISLAND
L03	3	G458-L03-G458-A08	G458-A08	P1009-S592	f88r::sechzehn Drogenposten und drei Gefäßansätze	G407-E3850	G407-E3852	G407-E3853	READ	0	G407-E3853	G407-E3859	7	STATE_PARITY_BEFORE_NEXT_ISLAND
