length_id	island_length	event_count	replacement_count	canonical_replay_sha256
L01	1	4576	13	4ab398c51ebd058a31cd9578957873fc03b6b1648e4c75f2be0f4d15a976c23d
L02	2	4576	26	9e894832617f887423d1fffbe13e31e8310a0af0e86cee02876ead9c1b7cd8a6
L03	3	4576	39	9f411eb07c18c5d959435317e189aca113b0d9c761709d14f8fe649d3cac7174
L04	4	4576	52	cc7a5f5cc89fa532354a2a1e4e0fa7f7d08b9c424b715c79f6950104a542623f
L05	5	4576	65	c03fa927f90643097e6ffa1a8619c147fd4092d2d4a4d4720873cc7a1c9fe423
L06	6	4576	78	d8aea83b9455ab3d889e93867b2413e94afd33d8d9c39f4d6d1b21bd39343c3c
L07	7	4576	91	9086cbad4628101454530f7dc90a3d30852130743b2324d7eed8a5052cd9b60d
L08	8	4576	104	8c4a47dcf78dbddbfa7b77841d224397b6ca5e2d2c92dc49f73a766919c3ad64
L09	9	4576	117	219fd91c4afd6e87eb516e59f929d0c3bbedde76fb4da46c27d7509c87b7f3f9
L10	10	4576	130	40409ffaebbf437ca36892bf09f4951f5fa5d2d9a6777222ea84564b51df1792
L11	11	4576	143	7cc16318dd9b1c9b7c54cce9e7ff644532464286915084f479d095074f2b474a
L12	12	4576	156	e177e2888efb6b86f5f6501270cbfd6bcdc352cff9fea4e4565f0e129d7e53ed
L13	13	4576	169	c73d3252c567ec92f228e8813fb56b4b35115043946473c0e56e4dfe55c557f5
L14	14	4576	182	c72f7901c3d4b7c8d7bc58e36916fa0b1ee02c59d90d7940558d1ae77b6e073f
L15	15	4576	195	b7ea4b14819c9b682fc0b0f191b0b9bfe6fecfa523ce849ec5f6a27d7ca0aa74
L16	16	4576	208	177e95558d4e81ccad434479652ce3e5655ebf6550b9a8793d29b861218c5042
L17	17	4576	221	1e015d173ffbd3efeefef81308f9b354cd7760ada81c243de296dd49398a0d17
L18	18	4576	234	629e82c684b024526866920ef4543e55341abad48e8257eac0d38ada89ea50fd
L19	19	4576	247	6bb7af5f579a03c031b1079d04857341000ea579ded4c23b084a93c55dd59677
L20	20	4576	260	fdabe207c946b7c8a36c7c19659662db7f8dc1c800abd59a9ab3176f8649e958
L21	21	4576	273	684063fd093bc94be557f128da364c92c4398fff508560923505118dfa6e525b
L22	22	4576	286	2c415260390e37797c1f5710a1c5b21d6854a22019fb5ca6b2fd865281ce39ad
L23	23	4576	299	fdd99e7bb57fa0560980fe9b5f82512042fd00eb5b48a099ab9047f6badb4484
L24	24	4576	312	99fc6689c146e989c32ab1564ff254a906805c80894349244effce7e29c4afe0
L25	25	4576	325	251dc1dab0946cfc253c58e2b3a514996019e695e7e50c167c2a7ddb7656763a
L26	26	4576	338	38048572818478ea1e26ea4daaf80bb9c50fefda1c548ac68470031f5157f029
L27	27	4576	351	f5e883e87ba9b0d4855b2537acfa1f84f4bee2ed78748c0cb20e5716acadc70a
L28	28	4576	364	487c0b7ebfd1405c7ef6cd19e3cb290d9f045de161aef94275c32349b1c2756e
L29	29	4576	377	42b55fc65302a55e10ee94ba8f4939d5455b34b977f05a1809aca779cee47b05
L30	30	4576	390	07c0c416d224777a37875e34cc14af6df1ca4db7cb7e2d101df1df097c8df46c
L31	31	4576	403	5cbded5985a2c46e23195360094fa80eb2581d46513714a6f1cdd66c1d0f5418
L32	32	4576	416	bed15b1c0c17e91892b27942259d1e3e955ff5c8ef6615b08bc6824352b0a246
