anchor_id	statement_id	physical_page	register	owner_de	state_bank_id	statement_event_count	eligible_window_count	selected_window_offset	window_start_position	first_event_id	last_event_id	window_event_ids	window_source_recipes
G458-A01	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	f1r::F1R_TEXT_BLOCK_A	46	15	6	7	G407-E0007	G407-E0038	G407-E0007|G407-E0008|G407-E0009|G407-E0010|G407-E0011|G407-E0012|G407-E0013|G407-E0014|G407-E0015|G407-E0016|G407-E0017|G407-E0018|G407-E0019|G407-E0020|G407-E0021|G407-E0022|G407-E0023|G407-E0024|G407-E0025|G407-E0026|G407-E0027|G407-E0028|G407-E0029|G407-E0030|G407-E0031|G407-E0032|G407-E0033|G407-E0034|G407-E0035|G407-E0036|G407-E0037|G407-E0038	CH+T+R+E+S|Y|K+OR|SH+OL+D_ADDR+Y|S+OR+Y|CH+K+AR|OR|Y|K+AIR|CH+T+AIIN|SH+AR|A_ADDR+S+E|CH+T+AR|CH+T+AR|AIN|S+Y+IIN+R|SH+E+K+Y|OR|Y+K+AIIN|SH+O+D_ADDR|CH+T+O+AR+Y|CH+T+E+S|D_ADDR+AR+AIIN|Y|S+O+IIN|OT+EE+Y|OT+E+O+S_ADDR|R+OL+OT+Y|CH+T+LOCAL_CHAR_I+AR|AIIN|OK+AIIN|OR
G458-A02	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	f1r::F1R_TEXT_BLOCK_C	88	5	1	54	G407-E0125	G407-E0156	G407-E0125|G407-E0126|G407-E0127|G407-E0128|G407-E0129|G407-E0130|G407-E0131|G407-E0132|G407-E0133|G407-E0134|G407-E0135|G407-E0136|G407-E0137|G407-E0138|G407-E0139|G407-E0140|G407-E0141|G407-E0142|G407-E0143|G407-E0144|G407-E0145|G407-E0146|G407-E0147|G407-E0148|G407-E0149|G407-E0150|G407-E0151|G407-E0152|G407-E0153|G407-E0154|G407-E0155|G407-E0156	CH+O+D_ADDR+AIIN|SH+O|K+O+E+AM_ADDR|Y+CH+O|T+CH+E+Y|CH+K+AIN|SH+E+O|P+SH+OL|Y+DY+D_LABEL|CH+T+Y|D_ADDR+A_ADDR+LOCAL_CHAR_I+Y|Y+T+O|SH+OL|SH+E|K+O+D_ADDR+SH+E+Y|CH+P+E+AL+Y|D_ADDR+AR|AIN|AIN|CH+K+Y+D_ADDR+S|D_ADDR+CH+AR|SH+CH+T+AIIN|OK+IIN+R|Y|Y|T+OL|CH+T+OL+S|D_ADDR+L+O+O|SH+OK|CH+OR|Y|AIN
G458-A03	P1009-S004	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r::blühender dreikroniger Sodenstock	52	1	0	1	G407-E0314	G407-E0345	G407-E0314|G407-E0315|G407-E0316|G407-E0317|G407-E0318|G407-E0319|G407-E0320|G407-E0321|G407-E0322|G407-E0323|G407-E0324|G407-E0325|G407-E0326|G407-E0327|G407-E0328|G407-E0329|G407-E0330|G407-E0331|G407-E0332|G407-E0333|G407-E0334|G407-E0335|G407-E0336|G407-E0337|G407-E0338|G407-E0339|G407-E0340|G407-E0341|G407-E0342|G407-E0343|G407-E0344|G407-E0345	SH+O+Y+T+Y|S+O+CH+T+O+D_ADDR+Y|CARRIER_Q+O+D_ADDR+OR|Y|K+SH+Y|AIIN|Y+T+Y|Y+T+OK+Y|K+OL|AIIN|OT+Y|OL|CH+T+Y|D_ADDR+OR|Y+K+Y+CH+Y|CH+OT+Y|AIN|CH+AIIN|AIIN|D_ADDR+O+D_ADDR|D_ADDR+OL|Y|K+Y|Y|AIIN|T+OL|SH+OR|SH+OR|D_ADDR+K+Y|Y|AIIN|CH+T+Y
G458-A04	P1009-S005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r::große Wurzelkrone mit Blatt und Blütenstand	42	11	6	7	G407-E0372	G407-E0403	G407-E0372|G407-E0373|G407-E0374|G407-E0375|G407-E0376|G407-E0377|G407-E0378|G407-E0379|G407-E0380|G407-E0381|G407-E0382|G407-E0383|G407-E0384|G407-E0385|G407-E0386|G407-E0387|G407-E0388|G407-E0389|G407-E0390|G407-E0391|G407-E0392|G407-E0393|G407-E0394|G407-E0395|G407-E0396|G407-E0397|G407-E0398|G407-E0399|G407-E0400|G407-E0401|G407-E0402|G407-E0403	O+P+CH+OR|D_ADDR+Y+P+Y|D_ADDR+CH+LOCAL_CHAR_G|D_ADDR+OL|OL|D_ADDR+OL|SH+K+Y|Y+AL|Y|Y+K+Y|OT+Y|AIIN|S|Y|S|Y|D_ADDR+CH+OR|SH+AIIN|O+EEE+S|Y+K+OR|CH+OR|Y+T+Y|Y+K+Y|K+Y|D_ADDR+AR|O+D_ADDR+Y|Y+T+Y|OT+CH+OR|SH+OR+O+D_ADDR+O|Y|T+Y|K+OL
G458-A05	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	f67r2::zwei getrennte Himmelsräder und Tabelle	36	5	1	2	G407-E0993	G407-E1024	G407-E0993|G407-E0994|G407-E0995|G407-E0996|G407-E0997|G407-E0998|G407-E0999|G407-E1000|G407-E1001|G407-E1002|G407-E1003|G407-E1004|G407-E1005|G407-E1006|G407-E1007|G407-E1008|G407-E1009|G407-E1010|G407-E1011|G407-E1012|G407-E1013|G407-E1014|G407-E1015|G407-E1016|G407-E1017|G407-E1018|G407-E1019|G407-E1020|G407-E1021|G407-E1022|G407-E1023|G407-E1024	AL+D_ADDR+AIIN|Y+D_ADDR+AIIN|CARRIER_Q+K+O+Y|Y+D_ADDR+AIIN|CARRIER_Q+O+LOCAL_CHAR_F+AIR|Y+P+AIR|Y+K+O+AIIN|Y+D_ADDR+OL+Y|Y+T+AL+CH+O+S|OL+Y|OK+E+Y|S+SH+E+Y|Y|SH+EE+S|CARRIER_Q+E+Y+K+EE+Y|Y+K+CH+E+Y|Y+K+CH+E+Y|OK+E+O+CH+Y|O+AIIN|OK+OL|AR|OL+AR|Y+SH+E+Y|OK+EE+O+D_ADDR+Y|CH+E+O+S|O+EE+O+S|CARRIER_Q+O+CH+K+Y|CH+O+S|AIIN|OK+EE+O+D_ADDR+Y|OK+O+AIIN|O+D_ADDR+AIN
G458-A06	P1009-S382	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r::Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	38	7	5	6	G407-E2681	G407-E2712	G407-E2681|G407-E2682|G407-E2683|G407-E2684|G407-E2685|G407-E2686|G407-E2687|G407-E2688|G407-E2689|G407-E2690|G407-E2691|G407-E2692|G407-E2693|G407-E2694|G407-E2695|G407-E2696|G407-E2697|G407-E2698|G407-E2699|G407-E2700|G407-E2701|G407-E2702|G407-E2703|G407-E2704|G407-E2705|G407-E2706|G407-E2707|G407-E2708|G407-E2709|G407-E2710|G407-E2711|G407-E2712	OK+E+AR|SH+EE+Y|L+OL+Y|Y|OK+AIIN|CH+E+S|L+CH+E+AR|AL|CH+R|S+L|S|AIN|OL|R+AIIN|L+O+D_ADDR|AIIN|CH+L+CH+P+SH+EE+Y|T+AL|CH+E+O+L|DA+LOCAL_CHAR_G|A_ADDR+S|OT+E+Y|AIIN|Y+SH+EE+Y|AL|S+A_ADDR+IIN+S+OL|S+AL|D_ADDR+AL+O|T+AIN|DA+R+Y|D_ADDR+AL+O|S+O+DA+R
G458-A07	P1009-S590	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	f88r::sechzehn Drogenposten und drei Gefäßansätze	47	16	13	14	G407-E3809	G407-E3840	G407-E3809|G407-E3810|G407-E3811|G407-E3812|G407-E3813|G407-E3814|G407-E3815|G407-E3816|G407-E3817|G407-E3818|G407-E3819|G407-E3820|G407-E3821|G407-E3822|G407-E3823|G407-E3824|G407-E3825|G407-E3826|G407-E3827|G407-E3828|G407-E3829|G407-E3830|G407-E3831|G407-E3832|G407-E3833|G407-E3834|G407-E3835|G407-E3836|G407-E3837|G407-E3838|G407-E3839|G407-E3840	OK+OR|AIIN|S+AR|S|AIIN|OK+Y|S+AM_ADDR|O+AIN|OR|O+AM_ADDR|OT+AM_ADDR|OK+E+O+AM_ADDR|CH+EE+OR|OK+E+O+D_ADDR+Y|D_ADDR+AR|OR|O+AM_ADDR|CH+E+O+Y|OK+E+OL|CH+E+O+L|S+AIIN|CH+E+O+S|CH+E+O+L|D_ADDR+OL+EEE+Y|OR|CH+E+O+AM_ADDR|CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR|Y+OK+E+O+D_ADDR+Y|CH+E+O+AM_ADDR|CARRIER_Q+O+OR|CH+EE+LOCAL_CHAR_B|Y+K+E+OR
G458-A08	P1009-S592	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	f88r::sechzehn Drogenposten und drei Gefäßansätze	33	2	1	2	G407-E3850	G407-E3881	G407-E3850|G407-E3851|G407-E3852|G407-E3853|G407-E3854|G407-E3855|G407-E3856|G407-E3857|G407-E3858|G407-E3859|G407-E3860|G407-E3861|G407-E3862|G407-E3863|G407-E3864|G407-E3865|G407-E3866|G407-E3867|G407-E3868|G407-E3869|G407-E3870|G407-E3871|G407-E3872|G407-E3873|G407-E3874|G407-E3875|G407-E3876|G407-E3877|G407-E3878|G407-E3879|G407-E3880|G407-E3881	CH+E+Y|OK+OL|AIIN|CARRIER_Q+O+E+K+OL|CARRIER_Q+O+E+K+OL|CARRIER_Q+O+CH+K+OL|OK+OL|CH+E+O+L|SH+E+OL|OK+EE+Y|S|Y|S|AIIN|CH+OR|OT+E+OR|AIIN|CH+O+S+AL+S|E+OL|CH+OR|O+L+SH+E+O+D_ADDR+Y|OK+E+OL|SH+O+Y|OL|SH+EE+OL|SH+E+OL+D_ADDR+LOCAL_CHAR_G|Y+Y|OK+AIIN|OL|CH+E+O+R|OL|CH+OR+OL+S+AL
G458-A09	P1009-S594	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	f88r::sechzehn Drogenposten und drei Gefäßansätze	41	10	1	2	G407-E3890	G407-E3921	G407-E3890|G407-E3891|G407-E3892|G407-E3893|G407-E3894|G407-E3895|G407-E3896|G407-E3897|G407-E3898|G407-E3899|G407-E3900|G407-E3901|G407-E3902|G407-E3903|G407-E3904|G407-E3905|G407-E3906|G407-E3907|G407-E3908|G407-E3909|G407-E3910|G407-E3911|G407-E3912|G407-E3913|G407-E3914|G407-E3915|G407-E3916|G407-E3917|G407-E3918|G407-E3919|G407-E3920|G407-E3921	OL|OK+OL|OK+OL|OL|SH+EE+Y|OR|AIIN|OL+DA+L|Y+K+AR|CH+E+O+L|OL|Y|CH+K+E+Y|S|OR|SH+E+AR|AR|AL+S+Y|K+OR|Y|OK+OL|CH+E+O+L|CH+O+D_ADDR+Y|OK+OL|K+CH+OR|OL|AL|Y+K+EEE+Y|CH+E+O+R|CH+E+O+T+E+Y|CH+E+O+L|OK+E+OR
G458-A10	P1009-S610	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe A	f89r::Gefäß-/Pflanzenteilgruppe A	36	5	1	2	G407-E4073	G407-E4104	G407-E4073|G407-E4074|G407-E4075|G407-E4076|G407-E4077|G407-E4078|G407-E4079|G407-E4080|G407-E4081|G407-E4082|G407-E4083|G407-E4084|G407-E4085|G407-E4086|G407-E4087|G407-E4088|G407-E4089|G407-E4090|G407-E4091|G407-E4092|G407-E4093|G407-E4094|G407-E4095|G407-E4096|G407-E4097|G407-E4098|G407-E4099|G407-E4100|G407-E4101|G407-E4102|G407-E4103|G407-E4104	HO+CH+K+Y|AL|CHD+Y|OK+E+O+D_ADDR+Y|AL+AIIN|CH+O+D_ADDR+AIIN|AL|OK+E+OL|OL|CARRIER_Q+O+AIIN|OL|CH+E+O+Y|OK+E+Y|AIIN|CH+T+E+O+Y|DA+AM_ADDR|Y+SH+OR|S|O+IIN|AIIN|OK+EE+Y|AIIN|CH+K+OL|OK+AIN|CH+AM_ADDR|T+AIN|S|OL|CH+E+O+K+Y|CH+E+O+Y|OK+AR|AL
