hand	left_source_position	right_source_position	left_slot	right_slot	owner_change	slot_descent	inferred_boundary
HAND_A_BARE	4	5	S4_DAUER_ZUSTAND	S3_PROZESS_TRANSFER	NO	YES	NEW_MICROCYCLE
HAND_A_BARE	6	7	S6_BEREIT_ABSCHLUSS	S1_BEZUG_FOLGE	YES	YES	OWNER_HANDOFF_AND_NEW_MICROCYCLE
HAND_A_BARE	9	10	S5_ZIEL_ANWENDUNG	S4_DAUER_ZUSTAND	NO	YES	NEW_MICROCYCLE
HAND_B_Q_OPERATIONAL	4	5	S4_DAUER_ZUSTAND	S3_PROZESS_TRANSFER	NO	YES	NEW_MICROCYCLE
HAND_B_Q_OPERATIONAL	6	7	S6_BEREIT_ABSCHLUSS	S1_BEZUG_FOLGE	YES	YES	OWNER_HANDOFF_AND_NEW_MICROCYCLE
HAND_B_Q_OPERATIONAL	9	10	S5_ZIEL_ANWENDUNG	S4_DAUER_ZUSTAND	NO	YES	NEW_MICROCYCLE
HAND_C_S_ENTRY	4	5	S4_DAUER_ZUSTAND	S3_PROZESS_TRANSFER	NO	YES	NEW_MICROCYCLE
HAND_C_S_ENTRY	6	7	S6_BEREIT_ABSCHLUSS	S1_BEZUG_FOLGE	YES	YES	OWNER_HANDOFF_AND_NEW_MICROCYCLE
HAND_C_S_ENTRY	9	10	S5_ZIEL_ANWENDUNG	S4_DAUER_ZUSTAND	NO	YES	NEW_MICROCYCLE
HAND_D_EXPANDED	4	5	S4_DAUER_ZUSTAND	S3_PROZESS_TRANSFER	NO	YES	NEW_MICROCYCLE
HAND_D_EXPANDED	6	7	S6_BEREIT_ABSCHLUSS	S1_BEZUG_FOLGE	YES	YES	OWNER_HANDOFF_AND_NEW_MICROCYCLE
HAND_D_EXPANDED	9	10	S5_ZIEL_ANWENDUNG	S4_DAUER_ZUSTAND	NO	YES	NEW_MICROCYCLE
