hand	after_line	left_surface	margin_surface	next_line_first_surface	same_owner	slot_order_nondecreasing	corrector_decision	source_cards_contributed_by_margin	reason_de
HAND_A_BARE	1	cheoar	cheeky	cheeky	YES	YES	COLLAPSE_READ_ONCE	0	Exakte Rand-/Anfangskopie im selben Besitzer und vorwärts laufenden Slot.
HAND_A_BARE	2	cthy	NONE	y	NO	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_A_BARE	3	qokaly	NONE	okeey	YES	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_B_Q_OPERATIONAL	1	cheoar	cheeky	cheeky	YES	YES	COLLAPSE_READ_ONCE	0	Exakte Rand-/Anfangskopie im selben Besitzer und vorwärts laufenden Slot.
HAND_B_Q_OPERATIONAL	2	lcheey	cthy	cthy	YES	YES	COLLAPSE_READ_ONCE	0	Exakte Rand-/Anfangskopie im selben Besitzer und vorwärts laufenden Slot.
HAND_B_Q_OPERATIONAL	3	cthy	NONE	y	NO	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_B_Q_OPERATIONAL	4	qokaly	NONE	qokeey	YES	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_C_S_ENTRY	1	cheoar	cheeky	cheeky	YES	YES	COLLAPSE_READ_ONCE	0	Exakte Rand-/Anfangskopie im selben Besitzer und vorwärts laufenden Slot.
HAND_C_S_ENTRY	2	shcthy	NONE	sy	NO	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_C_S_ENTRY	3	qokaly	NONE	okeey	YES	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_D_EXPANDED	1	cheeky	NONE	lcheey	YES	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_D_EXPANDED	2	checthy	NONE	chey	NO	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
HAND_D_EXPANDED	3	qokaly	NONE	qokeey	YES	NO	KEEP_SEPARATE_NO_COPY	0	Kein gültiges Randpaar; physische Grenze ändert die Quellzählung nicht.
