statement_id	record_unit_id	page	connective_de	owner_trace	atomic_card_chain_de	atomic_apprentice_clause_de	dictionary_layer
H1-S001	H1	f10r	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — Vorbereitung — davon — Anteil — Aufnahmegefäß — Zuguss — Folgeteil — einsetzen — Sollmaß — Kurzteil.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H1-S002	H1	f10r	mit der aktiven Bereitung weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	weiterbearbeiten | Weitergang | weiter | bereit	mit der aktiven Bereitung weiter: weiterbearbeiten — Weitergang — weiter — bereit.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H2-S001	H2	f10r	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Auszugsansatz — bereit — Ansatz — Sollvorbereitung — Folgeposten — dies — dies — Sollmaß — dies.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H2-S002	H2	f10r	mit demselben Ansatz und Sollmaß weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	mit demselben Ansatz und Sollmaß weiter: Folgeansatz — Ansatz — Fortgang — weiter — derselbe Ansatz — weiter — Sollmaß — davon.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H2-S003	H2	f10r	aus demselben Ansatz weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	aus demselben Ansatz weiter: Arbeitsansatz — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabemaß.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H3-S001	H3	f11r	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Kochgut — Sudansatz — Auswringen — Stehzeit — Nachseihen — Klarauszug — Endzugabe; Schluss.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H3-S002	H3	f11r	Neuer Schritt:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Zugabeteil	Neuer Schritt: Zugabeteil.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H3-S003	H3	f11r	mit diesem Materialanteil weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	vom vorigen | dies | Bearbeiten | dies | Sollmaß	mit diesem Materialanteil weiter: vom vorigen — dies — Bearbeiten — dies — Sollmaß.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H3-S004	H3	f11r	mit diesem Posten auf Sollmaß weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Folgeposten | Weiterverarbeitung | bereit | dies	mit diesem Posten auf Sollmaß weiter: Folgeposten — Weiterverarbeitung — bereit — dies.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H4-S001	H4	f55v	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — erste Portion — zweite Portion — Abkühlen; Schluss.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H4-S002	H4	f55v	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | überführen | Verwahrort	Neuer Schritt: Sollmaß — überführen — Verwahrort; Schluss.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H4-S003	H4	f55v	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollportion | Quellauszug | länger bearbeiten | fertig	Neuer Schritt: Sollportion — Quellauszug — länger bearbeiten — fertig; Schluss.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H4-S004	H4	f55v	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	Neuer Schritt: Sollmaß — dorthin einsetzen — Folgebereitung — Ansatz — dies — Bereitungsanteil.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S001	H5	f56r	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabeansatz — weitere Zutat — Zielzugabe — Sollmaß — weitere Zutat — Weiterverarbeitung — Folgeansatz — einsetzen — dorthin.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S002	H5	f56r	vom zielgesetzten Ansatz weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	vom zielgesetzten Ansatz weiter: vom vorigen — Zugabeposten — einsetzen — Langpassage; Schluss.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S003	H5	f56r	Neuer Schritt:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Neuer Schritt: Halten — weitere Zutat — Kurzbearbeitung — erneut einsetzen.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S004	H5	f56r	mit dem eingesetzten Posten weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	mit dem eingesetzten Posten weiter: weiterbearbeiten — Auszug einsetzen — Zielbearbeitung.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S005	H5	f56r	mit dem Auszug am Ziel weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	mit dem Auszug am Ziel weiter: weitere Zutat — weiterbearbeiten — Quellauszug — Folgeanwendung.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
H5-S006	H5	f56r	zum nächsten Posten weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	das nächste | Kurzfortsetzung | Sollmaß	zum nächsten Posten weiter: das nächste — Kurzfortsetzung — Sollmaß.	SHARED_DECK_PLUS_ATOMIC_HERBAL_NOMENCLATOR
