master_card_id	master_form	records	event_count	old_composite_default_de	atomic_whole_card_default_de	old_syntactic_type	new_syntactic_type	teaching_rule
MC006	chokcheo	H5	1	einsetzen · Auszug	Auszug einsetzen	LEARNED_OBJECT	LEARNED_LOCAL_ACTION	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC010	chodaly	H5	1	Zugabe · Ziel · Posten	Zielzugabe	LEARNED_OBJECT	LEARNED_OBJECT	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC014	chair	H1	1	Lauf	Zuguss	LEARNED_TRANSFER_OR_ADDRESS	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC015	qokokchy	H5	1	einsetzen · einsetzen · Posten	erneut einsetzen	LEARNED_LOCAL_ACTION	LEARNED_LOCAL_ACTION	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC021	oltchy	H4	1	weiter · bereitstellen · Posten	Folgebereitung	LEARNED_PROCESS_OR_STATE	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC027	oykchor	H2	1	Posten · bearbeiten · Bereitung	Arbeitsansatz	LEARNED_OBJECT	LEARNED_OBJECT	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC037	tchody	H3	1	Zugabe; schließen	Endzugabe; Schluss	LEARNED_OBJECT	LEARNED_OBJECT	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC041	okchol	H3	1	einsetzen · weiter	Weiterverarbeitung	LEARNED_ORDER_OR_LINK	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC047	ykain	H4	1	Posten · Anteil	erste Portion	LEARNED_QUANTITY_OR_STAGE	LEARNED_QUANTITY_OR_STAGE	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC048	kaiiin	H2	1	Arbeitsstufe	Arbeitsstufe	LEARNED_QUANTITY_OR_STAGE	LEARNED_QUANTITY_OR_STAGE	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC049	schoal	H3	1	Zugabe · Ziel	Sudansatz	LEARNED_OBJECT	LEARNED_OBJECT	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC053	otol	H2	1	danach · weiter	Fortgang	LEARNED_ORDER_OR_LINK	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC062	shoyty	H3	1	Zugabe · Posten · Teil	Zugabeteil	LEARNED_OBJECT	LEARNED_OBJECT	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC068	sotodan	H5	1	danach · anwenden	Folgeanwendung	LEARNED_APPLICATION_ACTION	LEARNED_APPLICATION_ACTION	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
MC069	otytchol	H1	1	danach · Teil · weiter	Folgeteil	LEARNED_QUANTITY_OR_STAGE	LEARNED_QUANTITY_OR_STAGE	MEMORIZE_AS_ONE_HERBAL_CARD__DO_NOT_DECOMPOSE
