master_card_id	master_form	registered_surfaces	portable_card_value_de	syntactic_type	portable_scope	owner_argument_policy	fluent_do_not_auto_add	drawer	event_count	records
MC001	chdal	chdal	übertragen · Ziel	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	LOCAL_SOURCE_PATH_TARGET	flow direction|body part|vessel type	D4_TRANSFER_SOURCE_TARGET	1	B5
MC002	okeey	okeey|qokeey	lange einwirken	DURATIVE_ACTION	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	7	B1|B2|B3|B4
MC003	sheedy	sheedy	absetzen · länger; schließen	LEARNED_PROCESS_OR_STATE	LOCAL_LEARNED_WHOLE_CARD	ACTIVE_BATCH_OR_STATION_STATE	exact temperature|exact duration	D3_HEAT_SETTLE_STATE	1	B3
MC004	ldy	ldy	abziehen; Schluss	TERMINAL_ACTION	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	2	B2|B3
MC005	okchedy	okchedy|qokchedy	einführen; Schluss	TERMINAL_ACTION	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	2	B1|B3
MC006	chokcheo	chokcheo	Auszug einsetzen	LEARNED_LOCAL_ACTION	LOCAL_LEARNED_WHOLE_CARD	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	specific species|unwritten ingredient	D1_MATERIAL_PRODUCT_VESSEL	1	H5
MC007	okey	okey|qokey	kurz einwirken	DURATIVE_ACTION	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	2	B1|B2
MC008	lchy	lchy	abführen · Posten	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	LOCAL_SOURCE_PATH_TARGET	flow direction|body part|vessel type	D4_TRANSFER_SOURCE_TARGET	1	B2
MC009	chary	chary	Quelle · Posten	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	LOCAL_SOURCE_PATH_TARGET	flow direction|body part|vessel type	D4_TRANSFER_SOURCE_TARGET	1	B3
MC010	chodaly	chodaly	Zielzugabe	LEARNED_OBJECT	LOCAL_LEARNED_WHOLE_CARD	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	specific species|unwritten ingredient	D1_MATERIAL_PRODUCT_VESSEL	1	H5
MC011	lchedar	lchedar	abführen · übertragen · Quelle	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	LOCAL_SOURCE_PATH_TARGET	flow direction|body part|vessel type	D4_TRANSFER_SOURCE_TARGET	1	B2
MC012	dl	dl	Zusatz	OBJECT	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	2	B1
MC013	otchor	otchor|qotchor	Folgeansatz	ORDERED_OBJECT	ACTIVE_CROSS_RECORD	ACTIVE_SEQUENCE	specific owner noun not supplied by card	ACTIVE_CORE	2	H2|H5
MC014	chair	chair	Zuguss	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	LOCAL_SOURCE_PATH_TARGET	flow direction|body part|vessel type	D4_TRANSFER_SOURCE_TARGET	1	H1
MC015	qokokchy	qokokchy	erneut einsetzen	LEARNED_LOCAL_ACTION	LOCAL_LEARNED_WHOLE_CARD	LOCAL_EXEMPLAR_OWNER	domain-specific purpose	D8_LOCAL_OPERATION	1	H5
MC016	rol	rol	weiter	LEARNED_ORDER_OR_LINK	LOCAL_LEARNED_WHOLE_CARD	ACTIVE_SEQUENCE	AND OR TIME semantic label	D6_ORDER_CONTINUATION	1	B1
MC017	okain	okain|qokain	Anteil zugeben	QUANTITY_ACTION	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	7	B1|B2|B3|B4
MC018	qotedaiin	qotedaiin	danach · kurz · Sollmaß	LEARNED_PROCESS_OR_STATE	LOCAL_LEARNED_WHOLE_CARD	ACTIVE_BATCH_OR_STATION_STATE	exact temperature|exact duration	D3_HEAT_SETTLE_STATE	1	B3
MC019	oldy	oldy	fertig	TERMINAL_STATE	ACTIVE_CROSS_RECORD	ACTIVE_WORK_ITEM_OR_BATCH	specific owner noun not supplied by card	ACTIVE_CORE	2	B4|H4
MC020	solkeey	solkeey	auffangen · länger · Posten	LEARNED_PROCESS_OR_STATE	LOCAL_LEARNED_WHOLE_CARD	ACTIVE_BATCH_OR_STATION_STATE	exact temperature|exact duration	D3_HEAT_SETTLE_STATE	1	B6
MC021	oltchy	oltchy	Folgebereitung	LEARNED_PROCESS_OR_STATE	LOCAL_LEARNED_WHOLE_CARD	ACTIVE_BATCH_OR_STATION_STATE	exact temperature|exact duration	D3_HEAT_SETTLE_STATE	1	H4
