model_id	historical_model	property_id	property	our_working_system	creative_fit_0_to_3
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	2
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	3
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	3
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	0
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	0
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	3
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	0
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P08	MEASURE_AND_STAGE_SIGNS	Portion Sollmass und Arbeitsstufe sind eigene Kurzwerte	1
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P09	LINEAR_WORK_TEXT	Karten laufen als fortgesetzte Arbeitsfolge ueber Zeilen	3
M1_MIXED_ITALIAN_NOMENCLATOR	italienische Kanzleichiffre 1379-1440	P10	MULTI_REGISTER_USE	Herbal Bio und Himmeltafeln benutzen verwandte Schreibtechnik	3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P01	SHORT_REUSABLE_SIGNS	39 kurze wiederverwendbare Bedeutungs-/Kontrolleintraege	3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P02	LEARNED_WHOLE_ENTRIES	exakte Ganzkarten und drei unteilbare Befehle	2
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P03	EXACT_MASTER_LOOKUP	Bedeutungsrezept wird erst ueber eine Mustertafel schreibbar	2
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P04	SEMANTIC_COMPOSITION	Bausteine bilden neue lesbare Arbeitsrezepte	1
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P05	BOUND_GRADE	E/EE/EEE modifiziert kurz/lang/voll	1
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P06	POSITIONAL_ALLOGRAPH	q/s und lokale Formen werden positionsabhaengig kopiert	3
M2_MEDICAL_BREVIGRAPH_APOTHECARY	medizinische Brevigrafie und Apothekerzeichen ca.1450	P07	SILENT_VISUAL_OWNER	Bild oder Diagramm liefert den unausgeschriebenen Besitzer	2
