source_id	system	date	witness	contribution	url
S01	MIXED_ITALIAN_NOMENCLATOR	1379-1440	Parma Venice Urbino cipher tables	alphabet syllables nulls variants and whole-word nomenclator	https://www.nsa.gov/portals/75/documents/about/cryptologic-heritage/historical-figures-publications/publications/misc/voynich_manuscript.pdf
S02	MEDICAL_BREVIGRAPH	ca.1450	TCC O.1.77 Collectanea medica	productive abbreviation whole signs numerals and apothecary measures together	https://varieng.helsinki.fi/series/volumes/14/honkapohja/
S03	BDHD_ALCHEMICAL_CODE	1416-1430	Buch der heiligen Dreifaltigkeit Wellcome MS.164 and GNM Hs.80061	small letter inventory three-letter metal identifiers operation letters and whole emblems	https://wellcomecollection.org/works/d3vapay8
S04	BDHD_ALCHEMICAL_CODE	ca.1420	GNM Hs.80061 discussed by Obrist	letters for metals and alchemical operations	https://hyle.org/journal/issues/9-2/obrist.pdf
S05	LULLIAN_COMBINATION	1432 witness	Ars brevis and Logica nova manuscript	memorized alphabet combined through pairs triples figures and tables	https://bvpb.mcu.es/es/consulta/registro.do?id=397905
S06	LULLIAN_COMBINATION	15th century	Edinburgh MS 117 ff.1r-10v	alphabet and figures used to form propositions and questions	https://archives.collections.ed.ac.uk/repositories/2/archival_objects/169401
S07	MENSURAL_NOTATION	late14-early15	Vat. Reg. lat.1146	base note values modified by shape position ligature and mensuration	https://digi.vatlib.it/mss/edition/MSS_Reg.lat.1146
S08	MENSURAL_NOTATION	1412	Prosdocimus mensural treatise	in-window teachable rule culture for graded notation	https://www.corpusmusicae.com/msd/msd-samples/54-029-000spgs.pdf
S09	ALFONSINE_TABLES	1401-1404	UPenn LJS 174	celestial labels combined with table position and numeric coordinate	https://openn.library.upenn.edu/Data/0001/html/ljs174.html
S10	PICTURED_TECHNICAL_MODELBOOK	ca.1431-1433	Taccola De ingeneis III-IV Palatino 766	picture-first technical workshop material with measurements and hydraulics	https://brunelleschi.imss.fi.it/genscheda.asp?appl=LIR&chiave=100556&lingua=ENG&xsl=manoscritto
S11	MEDICAL_FORMULARY	14th century	UAB Tractatus fol.20v	material measure operation duration endpoint and closure in a real recipe sequence	https://library.uab.edu/locations/reynolds/collections/medieval-renaissance-manuscripts/tractatus/folio-20v
S12	MERCHANT_MEASURE_NOTATION	1409	Datini bill of exchange	productive number times memorized currency and measure units	https://www.paperinmotion.org/paper/bill-of-exchange-with-endorsement-on-security-from-antonio-di-neve-in-montpellier-to-francesco-di-marco-datini-and-his-partners-in-barcelona/
