working_feature	selected_historical_mechanism	operational_reading	what_not_to_copy
OK_CHD_SH_ACTION_CORES	alchemistisch-lullische Operationszeichen	gelernter stabiler Handlungswert in einem kurzen Fachrezept	keine lateinische Lautung und keine konkrete historische Operation
AIN_AIIN_IIN	Apotheker- und Rechenzeichen fuer Menge Wert und Stufe	drei getrennte Parameterkarten statt Vokallaengen eines Wortes	keine moderne Zahl und keine Unze ohne eigenen Anker
E_EE_EEE	mensuraler gebundener Grad	kurz laenger voll nur innerhalb lizenzierter Kartenreihen	kein universelles E-Morphem in jeder sichtbaren Zeichenfolge
Y_LICENSED_DY	Grundwert gegen markierte Endform einer Notationsfamilie	laufender Posten bleibt aktiv; nur die gelernte Endkarte schliesst	sichtbares dy ist nicht automatisch Satzende
AR_AL_L_OL_OT	tabellarische Adresse plus kurze Kanzleioperatoren	Quelle Ziel Weiterleitung Fortsetzung und Folge bleiben knappe Relationen	keine erfundene Rohrgeometrie oder moderne Praepositionssyntax
Q_S_ENTRY_FORMS	diplomatische Varianten und positionsabhaengige Ligaturform	lokale Schreibform aus der Tafel kopieren nachdem die Karte gewaehlt ist	q und s erhalten keine eigene Stoff- oder Aktionsbedeutung
THREE_WHOLE_COMMANDS	Nomenklatorwert oder gelernte Brevigrafe	laengster Ganzkarteneintrag blockiert kuenstliche Teilung	innere Buchstabenfolgen werden nicht automatisch zu Wurzeln
ABSENT_READABLE_RECIPES	semantische Kombinatorik ohne freie Oberflaechenschrift	Bedeutung kann zusammensetzbar sein obwohl eine neue Karte erst der Meister eintragen muss	keine neue Voynich-Oberflaeche aus Komponenten erfinden
PICTURE_OWNER	illustriertes Fach- oder Musterbuch	Bild liefert den Gegenstand; Text kodiert vor allem Aenderung Menge Richtung und Zustand	kein exakt benannter Pflanzen- oder Koerperreferent ohne Bildanker
ASTRO_LOCAL_NAMESPACE	Alfonsinische Tabellen und lokale Diagrammadressen	Ring Feld und Position tragen einen Teil des Werts ausserhalb der Karte	kein f68-f69 Schluessel und keine lineare Radleserichtung
