handoff_id	record_unit_id	page	source_statement_id	target_statement_id	handoff_category	carried_register_de	target_reading_de	workshop_reason_de	source_event_ids	target_event_ids	source_reading_de	previous_target_reading_de
H01	H1	f10r	H1-S001	H1-S002	DIRECT_MATERIAL	bemessener Wurzelauszug	Setze den bemessenen Wurzelauszug an, wärme ihn an, führe ihn weiter und halte ihn bereit	Der aktive Auszug wird weiterbehandelt; der zuletzt notierte Wurzelrest bleibt nur Reserve.	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	E011|E012|E013|E014	Nimm die Wurzel der abgebildeten Pflanze aus dem bereitgestellten Ansatz, zerkleinere sie, gib sie in das Gefäß, lass Wasser zulaufen und sammle den Auszug; setze ihn nach Sollmaß an und verwahre den Wurzelrest	Setze den Posten an, wärme ihn an, führe ihn weiter und halte ihn bereit
H02	H2	f10r	H2-S001	H2-S002	DIRECT_MATERIAL	bemessener Pflanzenansatz	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Der gewonnene und bemessene Posten wird zum Folgeansatz.	E015|E016|E017|E018|E019|E020|E021|E022|E023	E024|E025|E026|E027|E028|E029|E030|E031	Bereite aus der abgebildeten Pflanze einen Auszugsansatz, bring ihn auf Fertigmaß, presse ihn aus und teile den gewonnenen Posten nach Sollmaß	Führe den Folgeansatz und seinen Fortsetzungsposten weiter und nimm daraus das Sollmaß
H03	H2	f10r	H2-S002	H2-S003	DIRECT_MATERIAL	weitergeführter Folgeansatz	Gib den weitergeführten Folgeansatz in den Topf, bearbeite ihn bis zur Weichstufe und entnimm das Zutatenmaß	Der offene Folgeansatz wird im Topf weiterbearbeitet.	E024|E025|E026|E027|E028|E029|E030|E031	E032|E033|E034|E035|E036|E037|E038	Führe den Folgeansatz und seinen Fortsetzungsposten weiter und nimm daraus das Sollmaß	Gib den Ansatz in den Topf, bearbeite ihn bis zur Weichstufe und entnimm das Zutatenmaß
H04	H3	f11r	H3-S002	H3-S003	NAMED_RESERVE	Blütenreserve	Bereite aus der Blütenreserve einen Trank nach Sollmaß	Die ausdrücklich zurückgelegte Reserve ist der Vorposten der nächsten Zelle.	E046	E047|E048|E049|E050|E051	Lege eine Blütenreserve zurück	Bereite aus dem Vorposten einen Trank nach Sollmaß
H05	H3	f11r	H3-S003	H3-S004	NAMED_RESERVE	restliche Blütenreserve	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Neben dem erzeugten Trank bleibt der benannte Reservegriff aktiv und wird erneut gewählt.	E047|E048|E049|E050|E051	E052|E053|E054|E055	Bereite aus dem Vorposten einen Trank nach Sollmaß	Nimm die Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit
H06	H4	f55v	H4-S002	H4-S003	DIRECT_MATERIAL	verwahrter Ansatz	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Die nächste Zelle entnimmt ausdrücklich daraus.	E061|E062|E063	E064|E065|E066|E067	Setze den Posten nach Sollmaß um und verwahre ihn	Nimm den Auszug daraus nach Postenmaß, wärme ihn länger und schließe die Fortsetzung
H07	H5	f56r	H5-S001	H5-S002	DIRECT_MATERIAL	vorbereiteter Zutatenansatz	Wasche die bezeichnete Stelle, setze den vorbereiteten Zutatenansatz an und trage ihn auf	Der vorbereitete Ansatz wird zur lokalen Anwendung weitergereicht.	E074|E075|E076|E077|E078|E079|E080|E081|E082	E083|E084|E085|E086	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, lege die nächste Zutat auf, beginne den Folgeansatz und setze den Posten dort an	Wasche die bezeichnete Stelle, setze den Vorposten an und trage ihn auf
H08	H5	f56r	H5-S003	H5-S004	DIRECT_MATERIAL	zerriebene Stängel	Setze die zerriebenen Stängel an, gib den Auszug zu und seih ab	Das unmittelbar zerriebene Pflanzenmaterial geht in den Auszugsschritt.	E087|E088|E089|E090	E091|E092|E093	Nimm die Stängel als Zutat, zerreibe sie und setze sie erneut an	Setze den Posten an, gib den Auszug zu und seih ab
H09	H5	f56r	H5-S004	H5-S005	DIRECT_MATERIAL	geseihter Ansatz	Setze den geseihten Ansatz als Zutat an, nimm den Auszug daraus und wende ihn an	Der geseihte Ansatz wird zum Gebrauchsauszug weiterverarbeitet.	E091|E092|E093	E094|E095|E096|E097	Setze den Posten an, gib den Auszug zu und seih ab	Setze die Zutat an, nimm den Auszug daraus und wende ihn an
H10	H5	f56r	H5-S005	H5-S006	DIRECT_MATERIAL	Anwendungsauszug	Wähle für die nächste Gabe diesen Anwendungsauszug als Folgeposten und das Sollmaß	Die folgende Gabe wird aus demselben Anwendungsauszug bemessen.	E094|E095|E096|E097	E098|E099|E100	Setze die Zutat an, nimm den Auszug daraus und wende ihn an	Wähle für die nächste Gabe den Folgeposten und das Sollmaß
H11	B1	f81v	B1-S006	B1-S007	DIRECT_MATERIAL	abgekühlte Badmischung	Setze die abgekühlte Badmischung um und schließe	Portion und Badzusatz bilden nach Durchlauf und Abkühlen den aktiven Posten.	E127|E128|E129|E130	E131	Gib eine Portion und den Badzusatz zu, leite durch und lass abkühlen	Setze den Posten um und schließe
H12	B1	f81v	B1-S011	B1-S012	DIRECT_MATERIAL	durchgeleiteter Waschposten	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Der am Durchlass angesetzte Posten speist den nächsten Waschgang.	E139|E140	E141|E142|E143	Leite durch und setze den Posten an	Beginne den Waschgang, setze kurz an, wasche und schließe
H13	B1	f81v	B1-S014	B1-S015	DIRECT_MATERIAL	abgeleitete Arbeitsflüssigkeit	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Was am Auslass abgeführt wurde, wird im folgenden Gefäß aufgefangen.	E145|E146|E147|E148|E149	E150|E151	Setze zur Arbeitsstelle um, führe am Auslass ab und führe danach von dort weiter	Fülle das Gefäß, setze den Inhalt um und schließe
H14	B2	f82r	B2-S006	B2-S007	DIRECT_MATERIAL	weitergeführter Überlaufposten	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	Frischwasser ergänzt den am Überlauf offen weitergeführten Posten.	E185|E186|E187|E188	E189	Nimm den langen Folgeposten, setze ihn dort am Überlauf an und führe ihn weiter	Gib Frischwasser zu und schließe
H15	B2	f82r	B2-S010	B2-S011	DIRECT_MATERIAL	Klarflüssigkeit	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	Die an der Düse gewonnene Klarflüssigkeit ist Quelle der nächsten Portionen.	E194|E195|E196|E197	E198|E199|E200|E201	Setze länger an, führe den Posten durch die Düse und nimm die Klarflüssigkeit	Gib eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe
H16	B2	f82r	B2-S014	B2-S015	APPARATUS_STATE	Bodenablauf geschlossen	Halte den Bodenablauf geschlossen, gib Spülwasser zu, setze länger an und schließe	Hier wird kein Stoff, sondern die geschlossene Gerätestellung weitergereicht.	E211	E212|E213	Schließe den Bodenablauf	Gib Spülwasser zu, setze länger an und schließe
H17	B3	f83r	B3-S004	B3-S005	DIRECT_MATERIAL	entnommene Sollmaßportion	Setze die entnommene Sollmaßportion um und schließe	Die nach Sollmaß entnommene Portion ist der Posten der kurzen Folgezelle.	E236|E237|E238	E239	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	Setze um und schließe
H18	B3	f83r	B3-S009	B3-S010	DIRECT_MATERIAL	angesetzter Posten	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	Der offene Ansatz wird unmittelbar am Einlass weitergeführt.	E247	E248|E249	Setze den Posten an	Führe am Einlass zu, nimm die kurze Folge und schließe
H19	B3	f83r	B3-S011	B3-S012	DIRECT_MATERIAL	aufgestrichener und abgekühlter Ansatz	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	Der behandelte Posten geht ohne neuen Materialwechsel in die Absetzphase.	E250|E251|E252|E253	E254|E255	Streiche den Posten auf, setze ihn an, setze um und lass abkühlen	Lass den Ansatz absetzen und schließe
