group_serial	opaque_local_id	page	locus	namespace_id	local_image_owner	local_content_class	surface_display	family_id	segmentation	compact_default_de	closed_workshop_reading_de	copy_rule_de
2	A1:G002	f67r2	f67r2.1	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	s	N01_VALUE_SIGNS	S	Nebenwert	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
7	A1:G007	f67r2	f67r2.3	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	ey	N01_VALUE_SIGNS	E+Y	aktueller Auswahlwert	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
11	A1:G011	f67r2	f67r2.4	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	sykos	N04_K_HOUSE_CLASS	S+Y+KOS	sekundäre Grundklasse	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
12	A1:G012	f67r2	f67r2.5	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	ykeody	N04_K_HOUSE_CLASS	Y+KE+ODY	Klassenplatz fest eingetragen	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
14	A1:G014	f67r2	f67r2.6	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_06	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	dchetay	N03_TO_TE_PLACE_PHASE	D+CHE+TAY	fester Hauptphasenwert	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
30	A1:G030	f67r2	f67r2.13	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	RIGHT_WHEEL_LOCAL_RING_RUBRIC	s	N01_VALUE_SIGNS	S	Nebenwert	A1_RIGHT_RING_BAND_01: Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
44	A1:G044	f67r2	f67r2.18	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	qopchy	N08_P_RELATION_SELECTION	Q+O+PCH+Y	neuer Paarbezug	A1_LEFT_LOCAL_FIELD_18: neuer Paarbezug.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
50	A1:G050	f67r2	f67r2.19	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	amy	N02_AM_ASPECT	AM+Y	aktueller Aspektwert	A1_LEFT_LOCAL_FIELD_19: aktueller Aspektwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
54	A1:G054	f67r2	f67r2.21	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	am	N02_AM_ASPECT	AM	Aspektwert	A1_LEFT_LOCAL_FIELD_21: Aspektwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
62	A1:G062	f67r2	f67r2.25	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_25	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	ydam	N02_AM_ASPECT	Y+D+AM	festgelegter Aspektwert	A1_LEFT_LOCAL_FIELD_25: festgelegter Aspektwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
64	A1:G064	f67r2	f67r2.26	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	yto	N03_TO_TE_PLACE_PHASE	Y+TO	aktueller Platz	A1_LEFT_LOCAL_FIELD_26: aktueller Platz.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
67	A1:G067	f67r2	f67r2.27	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	r	N01_VALUE_SIGNS	R	Bezugswert	A1_LEFT_LOCAL_FIELD_27: Bezugswert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
69	A1:G069	f67r2	f67r2.27	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	am	N02_AM_ASPECT	AM	Aspektwert	A1_LEFT_LOCAL_FIELD_27: Aspektwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
71	A1:G071	f67r2	f67r2.28	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_28	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	am	N02_AM_ASPECT	AM	Aspektwert	A1_LEFT_LOCAL_FIELD_28: Aspektwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
72	A1:G072	f67r2	f67r2.29	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_29	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	ytody	N03_TO_TE_PLACE_PHASE	Y+TO+DY	Platz fest eingetragen	A1_LEFT_LOCAL_FIELD_29: Platz fest eingetragen.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
78	A1:G078	f67r2	f67r2.32	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	odas	N01_VALUE_SIGNS	O+D+A+S	fester Nebenwert	A1_LEFT_LOCAL_FIELD_32: fester Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
98	A1:G098	f67r2	f67r2.40	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	yteos	N03_TO_TE_PLACE_PHASE	Y+TEO+S	sekundärer Phasenplatz	A1_LEFT_LOCAL_FIELD_40: sekundärer Phasenplatz.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
100	A1:G100	f67r2	f67r2.40	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	og	N01_VALUE_SIGNS	O+G	Grundgrad	A1_LEFT_LOCAL_FIELD_40: Grundgrad.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
101	A1:G101	f67r2	f67r2.41	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_41	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	ytoeopchey	N03_TO_TE_PLACE_PHASE	Y+TO+EOP+CHEY	Vergleichswert dieses Platzes	A1_LEFT_LOCAL_FIELD_41: Vergleichswert dieses Platzes.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
102	A1:G102	f67r2	f67r2.41	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_41	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	chekody	N04_K_HOUSE_CLASS	CHE+K+ODY	abgeleiteter Klassenwert	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
109	A1:G109	f67r2	f67r2.43	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	qsg	N01_VALUE_SIGNS	Q+S+G	neuer Nebengrad	A1_LEFT_LOCAL_FIELD_43: neuer Nebengrad.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
110	A1:G110	f67r2	f67r2.44	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_44	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	ofydy	N09_FY_YG_LIGHT_GRADE	O+FY+DY	fester Grundlichtwert	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
113	A1:G113	f67r2	f67r2.45	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	ycheody	N05_CHE_READOUT	Y+CHEO+DY	aktueller Ablesewert fest	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
114	A1:G114	f67r2	f67r2.45	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	es	N01_VALUE_SIGNS	E+S	ausgewählter Nebenwert	A1_LEFT_LOCAL_FIELD_45: ausgewählter Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
139	A1:G139	f67r2	f67r2.58	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_07	LEFT_WHEEL_OUTER_STAR_POSITION	g	N01_VALUE_SIGNS	G	Gradwert	A1_LEFT_OUTER_STAR_STATION_07: Gradwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
141	A1:G141	f67r2	f67r2.60	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_09	LEFT_WHEEL_OUTER_STAR_POSITION	octhys	N06_CH_CTH_CONDITION	O+CTH+Y+S	sekundäre Grundbedingung	A1_LEFT_OUTER_STAR_STATION_09: sekundäre Grundbedingung.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
145	A1:G145	f67r2	f67r2.64	F67_RIGHT_WHEEL_NS	A1_RIGHT_PHASE_STATION_01	RIGHT_WHEEL_PHASE_LIGHT_OR_CALENDAR_CONDITION	s	N01_VALUE_SIGNS	S	Nebenwert	A1_RIGHT_PHASE_STATION_01: Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
151	A1:G151	f67r2	f67r2.69	F67_RIGHT_WHEEL_NS	A1_RIGHT_PHASE_STATION_06	RIGHT_WHEEL_PHASE_LIGHT_OR_CALENDAR_CONDITION	s	N01_VALUE_SIGNS	S	Nebenwert	A1_RIGHT_PHASE_STATION_06: Nebenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
152	A1:G152	f67r2	f67r2.69	F67_RIGHT_WHEEL_NS	A1_RIGHT_PHASE_STATION_06	RIGHT_WHEEL_PHASE_LIGHT_OR_CALENDAR_CONDITION	ay	N01_VALUE_SIGNS	A+Y	aktueller Hauptwert	A1_RIGHT_PHASE_STATION_06: aktueller Hauptwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
158	A1:G158	f67r2	f67r2.72	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_RING_TEXT	LEFT_WHEEL_LOCAL_RING_RUBRIC	qkoy	N04_K_HOUSE_CLASS	Q+KO+Y	neue Grundklasse	A1_LEFT_OUTER_RING_TEXT: neue Grundklasse.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
180	A1:G180	f67r2	f67r2.74	F67_PAIRED_LEGEND_QUARANTINE_NS	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	PAIRED_PAGE_LEGEND_OWNER_UNRESOLVED	cheos	N05_CHE_READOUT	CHEO+S	sekundärer Ablesewert	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: sekundärer Ablesewert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
190	A1:G190	f67r2	f67r2.74	F67_PAIRED_LEGEND_QUARANTINE_NS	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	PAIRED_PAGE_LEGEND_OWNER_UNRESOLVED	ay	N01_VALUE_SIGNS	A+Y	aktueller Hauptwert	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: aktueller Hauptwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
200	A2:G010	f68r1	f68r1.2	F68_MIDDLE_PANEL_HEADER_NS	A2_MIDDLE_PANEL_HEADER	MIDDLE_STAR_PANEL_RUBRIC	tochso	N03_TO_TE_PLACE_PHASE	TO+CHS+O	Grundzustand dieses Platzes	A2_MIDDLE_PANEL_HEADER: Grundzustand dieses Platzes.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
205	A2:G015	f68r1	f68r1.2	F68_MIDDLE_PANEL_HEADER_NS	A2_MIDDLE_PANEL_HEADER	MIDDLE_STAR_PANEL_RUBRIC	yteody	N03_TO_TE_PLACE_PHASE	Y+TEO+DY	Phasenplatz fest eingetragen	A2_MIDDLE_PANEL_HEADER: Phasenplatz fest eingetragen.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
219	A2:G029	f68r1	f68r1.5	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_05	MULTIPANEL_HEADER_OWNER_UNRESOLVED	yky	N04_K_HOUSE_CLASS	Y+K+Y	aktuelles Haus	A2_MULTIPANEL_HEADER_FRAGMENT_05: aktuelles Haus.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
223	A2:G033	f68r1	f68r1.9	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_01	LOCAL_STAR_OR_ASTERISM_STATION	odchecthy	N06_CH_CTH_CONDITION	O+D+CHE+CTH+Y	feste abgeleitete Bedingung	A2_STAR_STATION_01: feste abgeleitete Bedingung.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
227	A2:G037	f68r1	f68r1.13	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_05	LOCAL_STAR_OR_ASTERISM_STATION	octhey	N06_CH_CTH_CONDITION	O+CTH+E+Y	ausgewählte Grundbedingung	A2_STAR_STATION_05: ausgewählte Grundbedingung.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
245	A2:G055	f68r1	f68r1.31	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_23	LOCAL_STAR_OR_ASTERISM_STATION	ocphy	N08_P_RELATION_SELECTION	O+CPH+Y	Grundauswahl	A2_STAR_STATION_23: Grundauswahl.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
255	A2:G065	f68r1	f68r1.37	F68_CENTRAL_LEGEND_QUARANTINE_NS	A2_CENTRAL_LEGEND_UNRESOLVED	CENTRAL_PANEL_LEGEND_UNRESOLVED	oygy	N09_FY_YG_LIGHT_GRADE	O+YG+Y	aktueller Grundgrad	A2_CENTRAL_LEGEND_UNRESOLVED: aktueller Grundgrad.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
257	A3:G002	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	cheyky	N04_K_HOUSE_CLASS	CHEY+K+Y	Ablesung dieses Hauses	A3_LEFT_WHEEL_RING_TEXT: Ablesung dieses Hauses.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
264	A3:G009	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	chetody	N03_TO_TE_PLACE_PHASE	CHE+TO+DY	abgeleiteter Platzwert	A3_LEFT_WHEEL_RING_TEXT: abgeleiteter Platzwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
266	A3:G011	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	o	N01_VALUE_SIGNS	O	Grundwert	A3_LEFT_WHEEL_RING_TEXT: Grundwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
267	A3:G012	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	tey	N03_TO_TE_PLACE_PHASE	TE+Y	aktueller Phasenwert	A3_LEFT_WHEEL_RING_TEXT: aktueller Phasenwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
271	A3:G016	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	doiir	N07_IIR_INDEX	D+O+IIR	fester Grundindex	A3_LEFT_WHEEL_RING_TEXT: fester Grundindex.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
278	A3:G023	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	chsdy	N06_CH_CTH_CONDITION	CHS+DY	sekundärer Zustand fest	A3_LEFT_WHEEL_RING_TEXT: sekundärer Zustand fest.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
287	A3:G032	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	yto	N03_TO_TE_PLACE_PHASE	Y+TO	aktueller Platz	A3_LEFT_WHEEL_RING_TEXT: aktueller Platz.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
292	A3:G037	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	o	N01_VALUE_SIGNS	O	Grundwert	A3_LEFT_WHEEL_RING_TEXT: Grundwert.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
293	A3:G038	f69v	f69v.1	F69_LEFT_WHEEL_NS	A3_LEFT_WHEEL_RING_TEXT	LEFT_28_PLACE_WHEEL_RUBRIC	eykeody	N04_K_HOUSE_CLASS	E+Y+KE+ODY	ausgewählter Klassenplatz	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
296	A3:G041	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	yka	N04_K_HOUSE_CLASS	Y+KA	aktuelle Qualität	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
300	A3:G045	f69v	f69v.2	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	MIDDLE_SKY_WEATHER_PROGNOSTIC_RUBRIC	ykady	N04_K_HOUSE_CLASS	Y+KA+DY	aktuelle Qualität fest	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität fest.	Familie und Achsen lesen; die konkrete Stern-, Sektor- oder Tabellenadresse aus dem sichtbaren Besitzer übernehmen.
