page	diagram_id	locus	namespace_id	local_image_owner	local_content_class	group_count	surface_sequence	bridge_class_sequence	component_sequence	exact_surface_groups	composed_component_groups	single_component_groups	local_nomenclator_groups	complete_workshop_reading_de	owner_default_de	orientation_status	nomenclator_family_sequence	compact_default_sequence_de	family_resolved_groups	closed_locus_reading_de
f67r2	A1	f67r2.1	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	ykshy s aram	SINGLE_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR SINGLE_COMPONENT_BRIDGE	B15_HOLD || LOCAL_NAME_OR_VALUE || B10_AR_SOURCE	0	0	2	1	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: notiere Position oder Bedingung halten | Ausgangssektor, Ursprung oder Bezugswert; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || N01_VALUE_SIGNS || COMMON_22_COMPONENT_BRIDGE	Position oder Bedingung halten | Nebenwert | Ausgangssektor, Ursprung oder Bezugswert	1	A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten | Nebenwert | Ausgangssektor, Ursprung oder Bezugswert.
f67r2	A1	f67r2.2	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	ykecho ols eesydy	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT || B07_OL_CONTINUE || B13_GRADE	0	0	3	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: notiere Himmelsobjekt oder Eingangsbedingung | im selben Ring, Band oder Satz fortsetzen | lange oder volle Diagrammstufe.	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Himmelsobjekt oder Eingangsbedingung | im selben Ring, Band oder Satz fortsetzen | lange oder volle Diagrammstufe	0	A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung | im selben Ring, Band oder Satz fortsetzen | lange oder volle Diagrammstufe.
f67r2	A1	f67r2.3	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	ey shs okar	LOCAL_ASTRO_NOMENCLATOR SINGLE_COMPONENT_BRIDGE COMPOSED_COMPONENT_BRIDGE	LOCAL_NAME_OR_VALUE || B15_HOLD || B05_OK_SET|B10_AR_SOURCE	0	1	1	1	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: notiere Position oder Bedingung halten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	N01_VALUE_SIGNS || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	aktueller Auswahlwert | Position oder Bedingung halten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	1	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert | Position oder Bedingung halten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
f67r2	A1	f67r2.4	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	2	shekchy sykos	COMPOSED_COMPONENT_BRIDGE LOCAL_ASTRO_NOMENCLATOR	B15_HOLD|B19_PROCESS || LOCAL_NAME_OR_VALUE	0	1	0	1	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: notiere Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	dieser lokale Sektorplatz 04 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || N04_K_HOUSE_CLASS	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten | sekundäre Grundklasse	1	A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten | sekundäre Grundklasse.
f67r2	A1	f67r2.5	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_05	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	2	ykeody okchy	LOCAL_ASTRO_NOMENCLATOR EXACT_PROSE_SURFACE_BRIDGE	LOCAL_NAME_OR_VALUE || EXACT:Posten ansetzen	1	0	0	1	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: notiere diesen Diagrammposten setzen; ergaenze 1 lokale Namen-/Wertsegmente aus dem Werkstattdeck.	dieser lokale Sektorplatz 05 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	N04_K_HOUSE_CLASS || COMMON_22_COMPONENT_BRIDGE	Klassenplatz fest eingetragen | diesen Diagrammposten setzen	1	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen | diesen Diagrammposten setzen.
f67r2	A1	f67r2.6	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_06	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	1	dchetay	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	0	0	0	1	Sektorplatz A1_RIGHT_SECTOR_SLOT_06: kopiere die 1 lokalen Namen-/Wertsegmente als einen Eintrag.	dieser lokale Sektorplatz 06 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	N03_TO_TE_PLACE_PHASE	fester Hauptphasenwert	1	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.
f67r2	A1	f67r2.7	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_07	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	ykchy kchey ykchys	SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE SINGLE_COMPONENT_BRIDGE	B19_PROCESS || EXACT:diesen Posten kurz bearbeiten || B19_PROCESS	1	0	2	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: notiere Diagrammplatz berechnen oder bearbeiten | diesen Diagrammplatz kurz bearbeiten | Diagrammplatz berechnen oder bearbeiten.	dieser lokale Sektorplatz 07 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Diagrammplatz berechnen oder bearbeiten | diesen Diagrammplatz kurz bearbeiten | Diagrammplatz berechnen oder bearbeiten	0	A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten | diesen Diagrammplatz kurz bearbeiten | Diagrammplatz berechnen oder bearbeiten.
f67r2	A1	f67r2.8	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_08	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	1	chkchdar	COMPOSED_COMPONENT_BRIDGE	B18_ADJUST|B16_TRANSFER|B10_AR_SOURCE	0	1	0	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: notiere Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	dieser lokale Sektorplatz 08 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE	Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert	0	A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
f67r2	A1	f67r2.9	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_09	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	2	ykar ykaly	SINGLE_COMPONENT_BRIDGE SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE || B09_AL_TARGET	0	0	2	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: notiere Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld.	dieser lokale Sektorplatz 09 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld	0	A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert | Zielsektor, Zielstern oder Zielfeld.
f67r2	A1	f67r2.10	A1_RIGHT_WHEEL_ONLY	A1_RIGHT_SECTOR_SLOT_10	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	3	lkshy kchy okar	SINGLE_COMPONENT_BRIDGE EXACT_PROSE_SURFACE_BRIDGE COMPOSED_COMPONENT_BRIDGE	B15_HOLD || EXACT:diesen Posten bearbeiten || B05_OK_SET|B10_AR_SOURCE	1	1	1	0	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: notiere Position oder Bedingung halten | diesen Diagrammplatz bearbeiten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	dieser lokale Sektorplatz 10 des rechten f67r2-Rades	UNORDERED_LOCAL_ADDRESS__COPY_VISIBLE_POSITION	COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE || COMMON_22_COMPONENT_BRIDGE	Position oder Bedingung halten | diesen Diagrammplatz bearbeiten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	0	A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten | diesen Diagrammplatz bearbeiten | Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
