family_id	visible_material	compact_nucleus_de	teaching_rule_de	resolved_surface_types	resolved_occurrences	supporting_surface_types	supporting_occurrences	surface_inventory
N01_VALUE_SIGNS	A O E S D G R Y Q	KURZWERTACHSE	A Hauptwert; O Grundwert; E Auswahlwert; S Nebenwert; D fest; G Grad; R Bezug; Y aktuell; Q neuer Eintrag	12	17	46	54	a;ay;d;es;ey;g;o;odas;og;qsg;r;s
N02_AM_ASPECT	am	ASPEKTWERT	AM bezeichnet einen Winkel-, Beziehungs- oder Aspektwert des lokalen Sternfeldes.	3	5	3	5	am;amy;ydam
N03_TO_TE_PLACE_PHASE	to te tay tey teo	PLATZ_ODER_PHASE	TO bezeichnet einen Platz; TE/TAY/TEY/TEO konkretisieren ihn als Phase oder Zeitpunkt.	10	12	10	12	chetody;dchetay;tey;tochso;yetey;yteody;yteos;yto;ytody;ytoeopchey
N04_K_HOUSE_CLASS	k ke ka ko kos	HAUS_KLASSE_QUALITAET	K/KE ist Haus oder Klasse; KA eine Qualität; KO/KOS eine Grund- oder Unterklasse.	11	12	11	12	chekody;cheyky;eykeody;qkoy;sykos;yka;ykady;ykeody;ykey;ykeydy;yky
N05_CHE_READOUT	che cheo chey	ABLESUNG_ERGEBNIS	CHE/CHEO/CHEY bezeichnet einen abgeleiteten, sichtbaren oder auszugebenden Tabellenwert.	5	5	11	11	cheo;cheody;cheos;ycheody;ychey
N06_CH_CTH_CONDITION	ch chs cth	ZUSTAND_BEDINGUNG	CH/CHS/CTH bezeichnet Zustand, Zeichenlage oder Bedingung des adressierten Platzes.	6	6	7	7	ch;chsdy;dchy;octhey;octhys;odchecthy
N07_IIR_INDEX	iir	INDEXNUMMER	IIR ist eine lokale Index- oder Ordnungszahl im 28-Platz-Inventar.	2	2	2	2	doiir;saiir
N08_P_RELATION_SELECTION	p pch cph	BEZUG_ODER_AUSWAHL	P/PCH/CPH wählt oder paart einen lokalen Bezug.	2	2	3	3	ocphy;qopchy
N09_FY_YG_LIGHT_GRADE	fy yg	LICHT_ODER_GRADWERT	FY/YG trägt einen Licht-, Stärke- oder Gradwert.	2	2	2	2	ofydy;oygy
N10_ENTRY_ENDING	dy ody	FEST_EINGETRAGEN	DY/ODY schließt hier keinen Satz, sondern markiert einen fest eingetragenen Diagrammwert.	0	0	12	14	BOUND_ENDING_ONLY
