unified_serial	register	page	locus	namespace_or_record	local_unit_id	surface_display	mechanism	operational_reading_de	local_owner	register_rule_de	nomenclator_layer
U001	PROSE_WORKSHOP	f10r	f10r.2	H1	E001	dchey	WHOLE_CARD_CODEBOOK	Wurzel	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U002	PROSE_WORKSHOP	f10r	f10r.2	H1	E002	cthoor	PRODUCTIVE_COMPONENTS	Ansatz bereit	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U003	PROSE_WORKSHOP	f10r	f10r.2	H1	E003	char	PRODUCTIVE_COMPONENTS	daraus	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U004	PROSE_WORKSHOP	f10r	f10r.2	H1	E004	chty	PRODUCTIVE_COMPONENTS	Teil abtrennen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U005	PROSE_WORKSHOP	f10r	f10r.2	H1	E005	os	WHOLE_CARD_CODEBOOK	Gefaess	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U006	PROSE_WORKSHOP	f10r	f10r.2	H1	E006	chair	PRODUCTIVE_COMPONENTS	Wasserzulauf	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U007	PROSE_WORKSHOP	f10r	f10r.2	H1	E007	otytchol	PRODUCTIVE_COMPONENTS	naechsten Teilposten weiterfuehren	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U008	PROSE_WORKSHOP	f10r	f10r.2	H1	E008	oky	PRODUCTIVE_COMPONENTS	Posten ansetzen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U009	PROSE_WORKSHOP	f10r	f10r.2	H1	E009	daiin	PRODUCTIVE_COMPONENTS	Sollmaß	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U010	PROSE_WORKSHOP	f10r	f10r.2	H1	E010	etyd	PRODUCTIVE_COMPONENTS	kleiner Restteil	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U011	PROSE_WORKSHOP	f10r	f10r.5	H1	E011	qokchy	PRODUCTIVE_COMPONENTS	Posten ansetzen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U012	PROSE_WORKSHOP	f10r	f10r.5	H1	E012	qotchol	PRODUCTIVE_COMPONENTS	danach weiterfuehren	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U013	PROSE_WORKSHOP	f10r	f10r.5	H1	E013	chol	PRODUCTIVE_COMPONENTS	fortsetzen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U014	PROSE_WORKSHOP	f10r	f10r.5	H1	E014	cthy	PRODUCTIVE_COMPONENTS	bereit	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U015	PROSE_WORKSHOP	f10r	f10r.6	H2	E015	ycheor	PRODUCTIVE_COMPONENTS	Auszugsansatz	H2	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U016	PROSE_WORKSHOP	f10r	f10r.6	H2	E016	cthy	PRODUCTIVE_COMPONENTS	bereit	H2	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U017	PROSE_WORKSHOP	f10r	f10r.6	H2	E017	chor	PRODUCTIVE_COMPONENTS	Ansatz	H2	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U018	PROSE_WORKSHOP	f10r	f10r.6	H2	E018	cthaiin	PRODUCTIVE_COMPONENTS	Fertigmaß	H2	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
U019	PROSE_WORKSHOP	f10r	f10r.6	H2	E019	qoctholy	PRODUCTIVE_COMPONENTS	bereiten Posten weiterfuehren	H2	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE
