event_id	register	record_unit_id	page	locus	field_id	statement_id	surface	joint_tuple_id	owner_zone	component_parse	small_value_de	lexicon_class
E001	HERBAL	H1	f10r	f10r.2	F001	H1-S001	dchey	65f320e75510b2f38182	F10R_PICTURED_PLANT	CH+E+Y	dies kurz abziehen	PRODUCTIVE_COMPOSITION
E002	HERBAL	H1	f10r	f10r.2	F001	H1-S001	cthoor	dedc383b600397a301ee	F10R_PICTURED_PLANT	CTH+O+OR	Ansatz bereit	PRODUCTIVE_COMPOSITION
E003	HERBAL	H1	f10r	f10r.2	F001	H1-S001	char	4d4559019a961b834aa1	F10R_PICTURED_PLANT	WHOLE[char|dar|sar]	dasselbe	MEMORIZED_WHOLE_CARD
E004	HERBAL	H1	f10r	f10r.2	F001	H1-S001	chty	80ebbbbf238eee9f0aef	F10R_PICTURED_PLANT	T+Y	dies fuellen	PRODUCTIVE_COMPOSITION
E005	HERBAL	H1	f10r	f10r.2	F001	H1-S001	os	df1098831679a8ad1b39	F10R_PICTURED_PLANT	OS	Gefäß	MEMORIZED_WHOLE_CARD
E006	HERBAL	H1	f10r	f10r.2	F001	H1-S001	chair	12efe866f335461823a6	F10R_PICTURED_PLANT	CH+AIR	Wasser abziehen	PRODUCTIVE_COMPOSITION
E007	HERBAL	H1	f10r	f10r.2	F001	H1-S001	otytchol	62ff059766b21c7de083	F10R_PICTURED_PLANT	OT+Y+T+CH+OL	danach dies fuellen und weiter abziehen	PRODUCTIVE_COMPOSITION
E008	HERBAL	H1	f10r	f10r.2	F001	H1-S001	oky	276a7c2d74d1143446f4	F10R_PICTURED_PLANT	OK+Y	verwende dies	PRODUCTIVE_COMPOSITION
E009	HERBAL	H1	f10r	f10r.2	F001	H1-S001	daiin	2f1c5e56e8f0ff459065	F10R_PICTURED_PLANT	AIIN	Mass	PRODUCTIVE_COMPOSITION
E010	HERBAL	H1	f10r	f10r.2	F001	H1-S001	etyd	a6939862e33ece5a0483	F10R_PICTURED_PLANT	E+T+Y	dies kurz fuellen	PRODUCTIVE_COMPOSITION
E011	HERBAL	H1	f10r	f10r.5	F002	H1-S002	qokchy	9ad66e67803a12e745de	F10R_PICTURED_PLANT	OK+Y	dies ansetzen	PRODUCTIVE_COMPOSITION
E012	HERBAL	H1	f10r	f10r.5	F002	H1-S002	qotchol	e8a6105b5c3a6220b440	F10R_PICTURED_PLANT	OT+CH+OL	danach weiter abziehen	PRODUCTIVE_COMPOSITION
E013	HERBAL	H1	f10r	f10r.5	F002	H1-S002	chol	dcda95c81a5460feb191	F10R_PICTURED_PLANT	OL	fortsetzen	PRODUCTIVE_COMPOSITION
E014	HERBAL	H1	f10r	f10r.5	F002	H1-S002	cthy	e0b630cb1b5df5e7105b	F10R_PICTURED_PLANT	CTH+Y	bereit	PRODUCTIVE_COMPOSITION
E015	HERBAL	H2	f10r	f10r.6	F003	H2-S001	ycheor	7249edc4df3419c26999	F10R_PICTURED_PLANT	Y+CH+E+OR	diesen Ansatz kurz abziehen	PRODUCTIVE_COMPOSITION
