card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source
PROC001	65f320e75510b2f38182	dchey	1	E001	HERBAL	H1	CH+E+Y	dies kurz abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC002	dedc383b600397a301ee	cthoor	1	E002	HERBAL	H1	CTH+O+OR	Ansatz bereit	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC003	4d4559019a961b834aa1	char|dar|sar	5	E003|E031|E105|E199|E238	BIOLOGICAL|HERBAL	B1|B2|B3|H1|H2	WHOLE[char|dar|sar]	dasselbe	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC004	80ebbbbf238eee9f0aef	chety|chty	2	E004|E311	BIOLOGICAL|HERBAL	B3|H1	T+Y	dies fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC005	df1098831679a8ad1b39	os	1	E005	HERBAL	H1	OS	Gefäß	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC006	12efe866f335461823a6	chair	1	E006	HERBAL	H1	CH+AIR	Wasser abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC007	62ff059766b21c7de083	otytchol	1	E007	HERBAL	H1	OT+Y+T+CH+OL	danach dies fuellen und weiter abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC008	276a7c2d74d1143446f4	choky|oky|qoky	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	BIOLOGICAL|HERBAL	B1|B2|B3|B4|H1|H5	OK+Y	verwende dies	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC009	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	AIIN	Mass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC010	a6939862e33ece5a0483	etyd	1	E010	HERBAL	H1	E+T+Y	dies kurz fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC011	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	HERBAL	H1|H5	OK+Y	dies ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC012	e8a6105b5c3a6220b440	qotchol	1	E012	HERBAL	H1	OT+CH+OL	danach weiter abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC013	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	BIOLOGICAL|HERBAL	B1|B3|B4|B5|B6|H1|H2	OL	fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC014	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	E014|E016|E054|E271|E279|E289|E310	BIOLOGICAL|HERBAL	B3|H1|H2|H3	CTH+Y	bereit	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC015	7249edc4df3419c26999	ycheor	1	E015	HERBAL	H2	Y+CH+E+OR	diesen Ansatz kurz abziehen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
PROC016	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	E017|E025|E033|E034|E071|E254|E348	BIOLOGICAL|HERBAL	B3|B4|H2|H4	OR	Ansatz	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC017	f3c23f42baf625639e1e	cthaiin	1	E018	HERBAL	H2	CTH+AIIN	auf Maß bereitstellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS
