card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source
PROC003	4d4559019a961b834aa1	char|dar|sar	5	E003|E031|E105|E199|E238	BIOLOGICAL|HERBAL	B1|B2|B3|H1|H2	WHOLE[char|dar|sar]	dasselbe	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC005	df1098831679a8ad1b39	os	1	E005	HERBAL	H1	OS	Gefäß	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC028	bdad9f9ea8b80f141496	cfhy	1	E041	HERBAL	H3	CFHY	auswringen	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC031	b5df9126607030b95175	cheey|shey	4	E044|E197|E203|E353	BIOLOGICAL|HERBAL	B2|B4|H3	WHOLE[cheey|shey]	Klarauszug	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC043	e026af581c99322fbd46	talam	1	E063	HERBAL	H4	TALAM	verwahren	MEMORIZED_WHOLE_CARD	HERBAL_WHOLE_CARD
PROC124	db729b598e89e11452e0	ches	1	E216	BIOLOGICAL	B2	WHOLE[ches]	teilen	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC156	53cd0637c6820ba5e91f	dain	2	E327|E379	BIOLOGICAL	B4|B6	WHOLE[dain]	Tuch	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC167	8c97dfde96fbc78e3355	lol	1	E367	BIOLOGICAL	B5	WHOLE[lol]	warm	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC169	fcc1deda9e24ec268eb0	daiiin	1	E371	BIOLOGICAL	B5	WHOLE[daiiin]	zweite Stufe	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC171	43eb9aa12959b4d5cdc9	qekey	1	E374	BIOLOGICAL	B6	WHOLE[qekey]	roh	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
