joint_tuple_id	surfaces	component_parse	small_value_de	herbal_events	biological_events	value_collision
4d4559019a961b834aa1	char|dar|sar	WHOLE[char|dar|sar]	dasselbe	2	3	NO
80ebbbbf238eee9f0aef	chety|chty	T+Y	dies fuellen	1	1	NO
276a7c2d74d1143446f4	choky|oky|qoky	OK+Y	verwende dies	3	7	NO
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	AIIN	Mass	9	11	NO
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	OL	fortsetzen	3	16	NO
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	CTH+Y	bereit	3	4	NO
7a4bb8136330ee4e6e56	chor|or|shor|sor	OR	Ansatz	5	2	NO
b921a237be883a820352	chey|chy|dy|shy|sy|y	Y	dies	9	9	NO
dec401773c1f0347793d	cholor|olor	OL+OR	weiterer Ansatz	1	1	NO
b5df9126607030b95175	cheey|shey	WHOLE[cheey|shey]	Klarauszug	1	3	NO
b5fcea1eaed06b2f2291	okaiin|qokaiin	OK+AIIN	bemessen	1	8	NO
6f7ff8287eddf4da9fdb	chdy|chedy	CHD+Y	dies umsetzen	1	10	NO
2c1a5fd92b9e3c762242	cheeky	CHK+EE+Y	dies länger wärmen	1	1	NO
1b1ffdd869fb1429ad03	oldy	OL+DY	fortsetzen; Schluss	1	1	NO
308e8ea2d5d190c498e8	okal|qokal	OK+AL	an die Stelle setzen	1	5	NO
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	AL	Stelle	1	9	NO
faf321940aed922846a9	otchey	OT+Y	nächster Posten	1	1	NO
