component	role	value_de	support_cards	teaching_status	combined_support_cards	herbal_events	biological_events	register_scope
AIIN	ARGUMENT	Mass	6	RECURRING_COMPONENT	10	14	25	BOTH
AIN	ARGUMENT	Portion	4	RECURRING_COMPONENT	8	4	13	BOTH
AIR	ARGUMENT	Wasser	4	RECURRING_COMPONENT	5	1	4	BOTH
AL	ARGUMENT	Stelle	19	RECURRING_COMPONENT	22	5	34	BOTH
AR	ARGUMENT	Quelle oder Vorrat	7	RECURRING_COMPONENT	9	2	7	BOTH
CH	OPERATION	abziehen	2	RECURRING_COMPONENT	12	11	2	BOTH
CHD	OPERATION	umsetzen	22	RECURRING_COMPONENT	22	1	47	BOTH
CHK	OPERATION	waermen	4	RECURRING_COMPONENT	4	1	6	BOTH
CKH	OPERATION	Durchlass	6	RECURRING_COMPONENT	7	1	9	BOTH
CKHE	OPERATION	seihen	2	RECURRING_COMPONENT	2	0	4	BIOLOGICAL_ONLY
CTH	STATE	bereit	5	RECURRING_COMPONENT	8	6	9	BOTH
DY	ENDPOINT	Schluss	33	RECURRING_COMPONENT	36	4	84	BOTH
E	GRADE	kurz	23	RECURRING_COMPONENT	28	5	36	BOTH
EE	GRADE	laenger	15	RECURRING_COMPONENT	16	2	34	BOTH
EEE	GRADE	vollstaendig	2	RECURRING_COMPONENT	2	0	2	BIOLOGICAL_ONLY
IIN	ARGUMENT	Sollstufe	1	LEARNED_BOUND_SIGN	2	1	2	BOTH
K	OPERATION	zufuehren	6	RECURRING_COMPONENT	17	11	9	BOTH
L	OPERATION	fuehren	17	RECURRING_COMPONENT	17	0	26	BIOLOGICAL_ONLY
LDDY	ENDPOINT	befestigen und schliessen	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY
LS	OPERATION	abfuehren	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY
LSH	OPERATION	Waschgang	2	RECURRING_COMPONENT	2	0	3	BIOLOGICAL_ONLY
O	FRAME	Arbeitszustand	6	RECURRING_COMPONENT	16	10	7	BOTH
OK	FRAME	ansetzen	19	RECURRING_COMPONENT	23	11	68	BOTH
OL	FRAME	fortsetzen	14	RECURRING_COMPONENT	24	16	32	BOTH
OR	ARGUMENT	Ansatz	4	RECURRING_COMPONENT	10	13	5	BOTH
OT	FRAME	danach oder naechster	10	RECURRING_COMPONENT	16	8	18	BOTH
P	OPERATION	hinein	2	RECURRING_COMPONENT	3	1	2	BOTH
R	OPERATION	abkuehlen	6	RECURRING_COMPONENT	6	0	6	BIOLOGICAL_ONLY
SH	OPERATION	halten	14	RECURRING_COMPONENT	19	5	16	BOTH
SHED	OPERATION	absetzen	3	RECURRING_COMPONENT	3	0	15	BIOLOGICAL_ONLY
SOLK	OPERATION	auffangen	5	RECURRING_COMPONENT	5	0	7	BIOLOGICAL_ONLY
T	OPERATION	fuellen	3	RECURRING_COMPONENT	9	7	3	BOTH
Y	ARGUMENT	dieser laufende Posten	37	RECURRING_COMPONENT	57	41	77	BOTH
HO	ARGUMENT	Zutat	5	HERBAL_COMPONENT_EXTENSION	5	8	0	HERBAL_ONLY
CHEO	ARGUMENT	Auszug	2	HERBAL_COMPONENT_EXTENSION	2	2	0	HERBAL_ONLY
