fragment_id	source_case	surface_fragment	card_fragment	source_positions	position_shape	contiguous_in_owner_case	starts_at_case_start	ends_at_case_close	missing_internal_positions	safe_diagnosis	may_be_legitimate_short_unit	may_insert_missing_cards_without_damage_evidence
C1_K1_01	C1	qokaiin	PROC038	1	SINGLE_CARD	YES	YES	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C1_K1_04	C1	qokal	PROC048	4	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C1_K1_05	C1	shey	PROC031	5	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C1_K1_06	C1	shedy	PROC078	6	SINGLE_CARD	YES	NO	YES	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C1_K2_03	C1	qokaiin qokal	PROC038|PROC048	1|4	GAPPED_SUBSEQUENCE	NO	YES	NO	2|3	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K2_04	C1	qokaiin shey	PROC038|PROC031	1|5	GAPPED_SUBSEQUENCE	NO	YES	NO	2|3|4	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K2_05	C1	qokaiin shedy	PROC038|PROC078	1|6	GAPPED_SUBSEQUENCE	NO	YES	YES	2|3|4|5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K2_13	C1	qokal shey	PROC048|PROC031	4|5	CONTIGUOUS_INTERNAL	YES	NO	NO	NONE	LEGITIMATE_INTERNAL_SUBROUTINE_POSSIBLE	YES	NO
C1_K2_14	C1	qokal shedy	PROC048|PROC078	4|6	GAPPED_SUBSEQUENCE	NO	NO	YES	5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K2_15	C1	shey shedy	PROC031|PROC078	5|6	CONTIGUOUS_CLOSED_SUFFIX	YES	NO	YES	NONE	LEGITIMATE_CLOSED_SUFFIX_POSSIBLE	YES	NO
C1_K3_08	C1	qokaiin qokal shey	PROC038|PROC048|PROC031	1|4|5	GAPPED_SUBSEQUENCE	NO	YES	NO	2|3	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K3_09	C1	qokaiin qokal shedy	PROC038|PROC048|PROC078	1|4|6	GAPPED_SUBSEQUENCE	NO	YES	YES	2|3|5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K3_10	C1	qokaiin shey shedy	PROC038|PROC031|PROC078	1|5|6	GAPPED_SUBSEQUENCE	NO	YES	YES	2|3|4	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C1_K3_20	C1	qokal shey shedy	PROC048|PROC031|PROC078	4|5|6	CONTIGUOUS_CLOSED_SUFFIX	YES	NO	YES	NONE	LEGITIMATE_CLOSED_SUFFIX_POSSIBLE	YES	NO
C1_K4_10	C1	qokaiin qokal shey shedy	PROC038|PROC048|PROC031|PROC078	1|4|5|6	GAPPED_SUBSEQUENCE	NO	YES	YES	2|3	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C2_K1_05	C2	qokal	PROC048	5	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C3_K1_03	C3	qokaiin	PROC038	3	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C3_K1_04	C3	qokal	PROC048	4	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C3_K1_05	C3	shey	PROC031	5	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C3_K1_06	C3	shedy	PROC078	6	SINGLE_CARD	YES	NO	YES	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C3_K2_10	C3	qokaiin qokal	PROC038|PROC048	3|4	CONTIGUOUS_INTERNAL	YES	NO	NO	NONE	LEGITIMATE_INTERNAL_SUBROUTINE_POSSIBLE	YES	NO
C3_K2_11	C3	qokaiin shey	PROC038|PROC031	3|5	GAPPED_SUBSEQUENCE	NO	NO	NO	4	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C3_K2_12	C3	qokaiin shedy	PROC038|PROC078	3|6	GAPPED_SUBSEQUENCE	NO	NO	YES	4|5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C3_K2_13	C3	qokal shey	PROC048|PROC031	4|5	CONTIGUOUS_INTERNAL	YES	NO	NO	NONE	LEGITIMATE_INTERNAL_SUBROUTINE_POSSIBLE	YES	NO
C3_K2_14	C3	qokal shedy	PROC048|PROC078	4|6	GAPPED_SUBSEQUENCE	NO	NO	YES	5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C3_K2_15	C3	shey shedy	PROC031|PROC078	5|6	CONTIGUOUS_CLOSED_SUFFIX	YES	NO	YES	NONE	LEGITIMATE_CLOSED_SUFFIX_POSSIBLE	YES	NO
C3_K3_17	C3	qokaiin qokal shey	PROC038|PROC048|PROC031	3|4|5	CONTIGUOUS_INTERNAL	YES	NO	NO	NONE	LEGITIMATE_INTERNAL_SUBROUTINE_POSSIBLE	YES	NO
C3_K3_18	C3	qokaiin qokal shedy	PROC038|PROC048|PROC078	3|4|6	GAPPED_SUBSEQUENCE	NO	NO	YES	5	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C3_K3_19	C3	qokaiin shey shedy	PROC038|PROC031|PROC078	3|5|6	GAPPED_SUBSEQUENCE	NO	NO	YES	4	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C3_K3_20	C3	qokal shey shedy	PROC048|PROC031|PROC078	4|5|6	CONTIGUOUS_CLOSED_SUFFIX	YES	NO	YES	NONE	LEGITIMATE_CLOSED_SUFFIX_POSSIBLE	YES	NO
C3_K4_15	C3	qokaiin qokal shey shedy	PROC038|PROC048|PROC031|PROC078	3|4|5|6	CONTIGUOUS_CLOSED_SUFFIX	YES	NO	YES	NONE	LEGITIMATE_CLOSED_SUFFIX_POSSIBLE	YES	NO
C4_K1_01	C4	qokaiin	PROC038	1	SINGLE_CARD	YES	YES	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C4_K1_04	C4	qokal	PROC048	4	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C4_K2_03	C4	qokaiin qokal	PROC038|PROC048	1|4	GAPPED_SUBSEQUENCE	NO	YES	NO	2|3	NONCONTIGUOUS_REMAINDER__OMISSION_OR_COLLATION_REQUIRED	NO	NO
C5_K1_02	C5	qokaiin	PROC038	2	SINGLE_CARD	YES	NO	NO	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
C5_K1_06	C5	shedy	PROC078	6	SINGLE_CARD	YES	NO	YES	NONE	LEGITIMATE_SINGLE_CARD_CELL_POSSIBLE	YES	NO
