surface	page	locus	bridge_class	matched_components	astro_working_reading_de	teaching_note_de
aiin	f67r2	f67r2.27	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
dal	f67r2	f67r2.18	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dorthin	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
chol	f67r2	f67r2.35	EXACT_PROSE_SURFACE_BRIDGE	EXACT:fortsetzen	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
okeey	f68r1	f68r1.3	EXACT_PROSE_SURFACE_BRIDGE	EXACT:länger ansetzen	Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
okar	f67r2	f67r2.3	COMPOSED_COMPONENT_BRIDGE	B05_OK_SET|B10_AR_SOURCE	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
alaiin	f67r2	f67r2.32	COMPOSED_COMPONENT_BRIDGE	B09_AL_TARGET|B01_AIIN_VALUE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
chedaiin	f67r2	f67r2.39	COMPOSED_COMPONENT_BRIDGE	B16_TRANSFER|B01_AIIN_VALUE	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
otolor	f67r2	f67r2.62	COMPOSED_COMPONENT_BRIDGE	B06_OT_NEXT|B07_OL_CONTINUE|B08_OR_WORKSET	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
saral	f67r2	f67r2.20	COMPOSED_COMPONENT_BRIDGE	B10_AR_SOURCE|B09_AL_TARGET	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
airchy	f69v	f69v.2	SINGLE_COMPONENT_BRIDGE	B02_AIR_COURSE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest chy.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
oeoldan	f67r2	f67r2.34	COMPOSED_COMPONENT_BRIDGE	B07_OL_CONTINUE|B20_DAN_APPLY	Sternplatz A1_LEFT_LOCAL_FIELD_34: im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden; lokaler Namensrest oe.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
ykshy	f67r2	f67r2.1	SINGLE_COMPONENT_BRIDGE	B15_HOLD	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	Nicht als Sternname lesen; dies ist die Werkstattfunktion des sichtbaren Eintrags.
