component_id	visible_patterns	common_operational_nucleus_de	prose_register_expansion_de	astro_register_expansion_de	workshop_rule_de
B01_AIIN_VALUE	aiin	VORGABEWERT	Sollmass einer Portion oder Stufe	Sollwert oder Grad eines Diagrammplatzes	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B02_AIR_COURSE	air	LAUF	Wasserlauf	Himmels-, Ring- oder Zeigerlauf	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B03_AIN_PART	ain	TEILWERT	Portion	gezaehlter Teil oder Unterabschnitt	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B04_IIN_STAGE	iin	STUFE	Arbeitsstufe	Grad- oder Bedingungsstufe	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B05_OK_SET	ok	SETZEN	Posten ansetzen	Diagrammposten setzen oder aktivieren	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B06_OT_NEXT	ot	FOLGE	danach oder naechster Posten	naechster Platz oder folgende Bedingung	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B07_OL_CONTINUE	ol	FORTSETZEN	Ansatz oder Weg weiterfuehren	im selben Ring, Band oder Satz fortsetzen	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B08_OR_WORKSET	or	ARBEITSSATZ	Ansatz oder Zubereitung	Bedingungs-, Tabellen- oder Wahlansatz	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B09_AL_TARGET	al	ZIEL	Zielstelle	Zielsektor, Zielstern oder Zielfeld	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B10_AR_SOURCE	ar	AUSGANG	Quelle oder Ausgangsstelle	Ausgangssektor, Ursprung oder Bezugswert	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B11_HO_INPUT	ho	EINGANGSPOSTEN	Zutat	Himmelsobjekt oder Eingangsbedingung	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B12_TY_PART_UNIT	ty	TEILPOSTEN	Teil oder Restportion	Teilsektor oder Untereintrag	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B13_GRADE	eee;ee	GRAD	lange oder volle Einwirkung	lange oder volle Diagrammstufe	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B14_READOUT	cheey;shey	ABLESEPRODUKT	Klarlauf oder fertiger Auszug	abgelesener oder freigegebener Wert	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B15_HOLD	shed;sh	HALTEN	ruhen oder absetzen	Position oder Bedingung halten	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B16_TRANSFER	ched;chd	UEBERTRAGEN	Posten umsetzen	Wert oder Platzbezug uebertragen	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B17_PASS	ckhe;ckh	DURCHGANG	durch Leitung oder Seihweg fuehren	durch Sektor, Ring oder Pruefweg fuehren	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B18_ADJUST	chk	JUSTIEREN	waermen oder temperieren	Grad oder Diagrammzustand justieren	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B19_PROCESS	kch	BEARBEITEN	Arbeitsstoff bearbeiten	Diagrammplatz berechnen oder bearbeiten	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B20_DAN_APPLY	dan	ANWENDEN	Zubereitung anwenden	Bedingung oder Tabellenwert anwenden	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B21_SOLK_COLLECT	solk	SAMMELPUNKT	Auffangstelle	Sammel-, Schnitt- oder Bezugspunkt	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
B22_SK_OUTPUT	sk	AUSGEBEN	ausgiessen	Wert oder Bezug ausgeben	Gemeinsamen Kern behalten; der Bild- und Seitenregistertyp liefert die konkrete Expansion.
