group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display	namespace_id	local_image_owner	local_content_class	bridge_class	matched_component_ids	matched_component_values_de	matched_character_fraction	residual_local_segments	astro_working_reading_de	orientation_rule	crosspage_rule
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B15_HOLD	Position oder Bedingung halten	2/5	yk/y	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
2	A1	f67r2	f67r2.1	2	A1:G002	s	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/1	s	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
3	A1	f67r2	f67r2.1	3	A1:G003	aram	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/4	am	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/6	ykec	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
5	A1	f67r2	f67r2.2	2	A1:G005	ols	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/3	s	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B13_GRADE	lange oder volle Diagrammstufe	2/6	sydy	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
7	A1	f67r2	f67r2.3	1	A1:G007	ey	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	ey	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ey.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
8	A1	f67r2	f67r2.3	2	A1:G008	shs	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	SINGLE_COMPONENT_BRIDGE	B15_HOLD	Position oder Bedingung halten	2/3	s	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
9	A1	f67r2	f67r2.3	3	A1:G009	okar	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COMPOSED_COMPONENT_BRIDGE	B05_OK_SET|B10_AR_SOURCE	Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	4/4	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COMPOSED_COMPONENT_BRIDGE	B15_HOLD|B19_PROCESS	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten	5/7	e/y	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
