new_event_id	surface	expected_word_id	decoded_word_id	expected_value	decoded_value	identity_match	meaning_match
N001	chor	HW08	HW08	Ansatz	Ansatz	YES	YES
N002	chy	HW03	HW03	Diesposten	Diesposten	YES	YES
N003	char	HW11	HW11	Gleichvorrat	Gleichvorrat	YES	YES
N004	daiin	HW01	HW01	Sollmaß	Sollmaß	YES	YES
N005	cheeky	HW14	HW14	Langwärme	Langwärme	YES	YES
N006	cthy	HW09	HW09	Bereit	Bereit	YES	YES
N007	otchey	HW17	HW17	Folgeposten	Folgeposten	YES	YES
N008	qoky	HW05	HW05	Einsetzen	Einsetzen	YES	YES
N009	chy	HW03	HW03	Diesposten	Diesposten	YES	YES
N010	daiin	HW01	HW01	Sollmaß	Sollmaß	YES	YES
N011	y	HW03	HW03	Diesposten	Diesposten	YES	YES
N012	qokal	HW10	HW10	Zieleinsatz	Zieleinsatz	YES	YES
N013	cheeky	HW14	HW14	Langwärme	Langwärme	YES	YES
N014	oldy	HW13	HW13	Fortschluss	Fortschluss	YES	YES
