new_event_id	passage_id	register	physical_line	position_in_line	surface	handoff_word_id	joint_tuple_id	decoded_atomic_value_de	card_identity_status
N001	NEW_HERBAL_OUTPUT	HERBAL	1	1	chor	HW08	7a4bb8136330ee4e6e56	Ansatz	ALREADY_REGISTERED
N002	NEW_HERBAL_OUTPUT	HERBAL	1	2	chy	HW03	b921a237be883a820352	Diesposten	ALREADY_REGISTERED
N003	NEW_HERBAL_OUTPUT	HERBAL	1	3	char	HW11	4d4559019a961b834aa1	Gleichvorrat	ALREADY_REGISTERED
N004	NEW_HERBAL_OUTPUT	HERBAL	1	4	daiin	HW01	2f1c5e56e8f0ff459065	Sollmaß	ALREADY_REGISTERED
N005	NEW_HERBAL_OUTPUT	HERBAL	2	1	cheeky	HW14	2c1a5fd92b9e3c762242	Langwärme	ALREADY_REGISTERED
N006	NEW_HERBAL_OUTPUT	HERBAL	2	2	cthy	HW09	e0b630cb1b5df5e7105b	Bereit	ALREADY_REGISTERED
N007	NEW_BIO_APPLICATION	BIO	1	1	otchey	HW17	faf321940aed922846a9	Folgeposten	ALREADY_REGISTERED
N008	NEW_BIO_APPLICATION	BIO	1	2	qoky	HW05	276a7c2d74d1143446f4	Einsetzen	ALREADY_REGISTERED
N009	NEW_BIO_APPLICATION	BIO	1	3	chy	HW03	b921a237be883a820352	Diesposten	ALREADY_REGISTERED
N010	NEW_BIO_APPLICATION	BIO	1	4	daiin	HW01	2f1c5e56e8f0ff459065	Sollmaß	ALREADY_REGISTERED
N011	NEW_BIO_APPLICATION	BIO	2	1	y	HW03	b921a237be883a820352	Diesposten	ALREADY_REGISTERED
N012	NEW_BIO_APPLICATION	BIO	2	2	qokal	HW10	308e8ea2d5d190c498e8	Zieleinsatz	ALREADY_REGISTERED
N013	NEW_BIO_APPLICATION	BIO	2	3	cheeky	HW14	2c1a5fd92b9e3c762242	Langwärme	ALREADY_REGISTERED
N014	NEW_BIO_APPLICATION	BIO	2	4	oldy	HW13	1b1ffdd869fb1429ad03	Fortschluss	ALREADY_REGISTERED
