rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v40_translation_de	v41_translation_de	status
1	f100r	f100r.5	daiindy	drei Maße, abgeteilt und abgeschlossen	[drei Maße, abgeteilt und abgeschlossen-Zeichen]	PRODUCTIVE_COMPOUND	D_MEASURE+A+IIN_III+DY_CLOSE	bloßer Gradwert III mit Schlusszeichen	MEDIUM_EXACT_WHOLE	NONE	sar char daiindy	Samenfraktion I; [Trockenfraktionszeichen]; [daiindy:?]	Samenfraktion I; [Trockenfraktionszeichen]; [drei Maße, abgeteilt und abgeschlossen-Zeichen]	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f103r	f103r.50	ssheey	vollständig eingeweichtes Saatgut	vollständig eingeweichtes Saatgut	PRODUCTIVE_COMPOUND	S_SEED+SHEEY_MOIST_END	feuchte Arzneispecies ohne Saatwert	MEDIUM_EXACT_WHOLE	NONE	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	[ssheey:?]; eingeweichtes Drogenholz, Form I; gib Folgendes hinzu: vollständig getrocknet; bis zur mittleren Trockenstufe; bis zur Heizendstufe; Ansatz auf Heizendstufe; heiß, Grad II; vollständig getrocknet; kalt im qo-Rahmen, Grad II	vollständig eingeweichtes Saatgut; eingeweichtes Drogenholz, Form I; gib Folgendes hinzu: vollständig getrocknet; bis zur mittleren Trockenstufe; bis zur Heizendstufe; Ansatz auf Heizendstufe; heiß, Grad II; vollständig getrocknet; kalt im qo-Rahmen, Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f103v	f103v.17	opchedy	vollständig getrocknetes Pulverpräparat	vollständig getrocknetes Pulverpräparat	PRODUCTIVE_COMPOUND	O_PREP+P_POWDER+CHEDY_DRY_FINISHED	getrocknete Droge ohne Pulverwert	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	bis zur Heizendstufe gebracht; bis zur mittleren Trockenstufe gebracht; bis zur Kühlendstufe; Ansatz auf Kühlendstufe abgeschlossen; erhitzte Holzdroge, Mittelstufe, fertig; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; Grundansatz; Trockenfraktion I; Rohstoff I, leicht gekühlt im Ansatz; [opchedy:?]	bis zur Heizendstufe gebracht; bis zur mittleren Trockenstufe gebracht; bis zur Kühlendstufe; Ansatz auf Kühlendstufe abgeschlossen; erhitzte Holzdroge, Mittelstufe, fertig; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; Grundansatz; Trockenfraktion I; Rohstoff I, leicht gekühlt im Ansatz; vollständig getrocknetes Pulverpräparat	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f103v	f103v.3	qok	erhitze Folgendes	erhitze Folgendes:	CONTEXT_SCOPED_SHORT_FORM	LEARNED_QOK_HEAT_ACTION	gebundener Heißrahmen ohne Verb	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	NONE	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain	[qok:?]; Drogenportion; bis zur mittleren Trockenstufe gebracht; bis zur mittleren Heizstufe; abgemessene Fraktion I; getrocknete Krautdroge; Trockenfraktion I; leicht gekühlt; leicht angefeuchtet, abgeschlossen; Ansatz auf Heizendstufe abgeschlossen; bis zur Heizendstufe; heiß, Grad II	erhitze Folgendes: Drogenportion; bis zur mittleren Trockenstufe gebracht; bis zur mittleren Heizstufe; abgemessene Fraktion I; getrocknete Krautdroge; Trockenfraktion I; leicht gekühlt; leicht angefeuchtet, abgeschlossen; Ansatz auf Heizendstufe abgeschlossen; bis zur Heizendstufe; heiß, Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f103v	f103v.41	shas	angefeuchtete Kräutermischung	angefeuchtete Kräutermischung	PRODUCTIVE_COMPOUND	SH_MOIST+AS_DRUG_MIXTURE	feuchtes Saatgut in Grundform	MEDIUM_EXACT_WHOLE	NONE	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	drei Maße; bis zur mittleren Einweichstufe; eingeweichtes Drogenholz, Form I; eingeweichtes Drogenholz, Form I; Drogenfraktion I; [shas:?]; Rohstoff I; kalte Drogenfraktion I im Ansatz; bis zur mittleren Einweichstufe gebracht; hierzu: Drogenholz, getrocknete Kurz-/Kompaktform; Wurzelfraktion I	drei Maße; bis zur mittleren Einweichstufe; eingeweichtes Drogenholz, Form I; eingeweichtes Drogenholz, Form I; Drogenfraktion I; angefeuchtete Kräutermischung; Rohstoff I; kalte Drogenfraktion I im Ansatz; bis zur mittleren Einweichstufe gebracht; hierzu: Drogenholz, getrocknete Kurz-/Kompaktform; Wurzelfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f104r	f104r.45	olcheeo	Holzdrogenauszug aus vollständig getrockneter Droge	Holzdrogenauszug aus vollständig getrockneter Droge	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CHEE_DRY_END+O_EXTRACT	lexikalisierte Drogenbasis plus Trockenstufe	MEDIUM_EXACT_WHOLE	NONE	daiin olcheeo l s aiin otain ar chedy qokaiin otaiin otaiin	drei Maße; [olcheeo:?]; ein Pfund; Samen-/Saatgutposten; drei Teile; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; heiß, Grad III; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad III	drei Maße; Holzdrogenauszug aus vollständig getrockneter Droge; ein Pfund; Samen-/Saatgutposten; drei Teile; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; bis zur mittleren Trockenstufe gebracht; heiß, Grad III; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f104v	f104v.40	orchedy	Portion vollständig getrocknete Droge	Portion vollständig getrocknete Droge	PRODUCTIVE_COMPOUND	OR_PORTION+CHEDY_DRY_FINISHED	getrockneter Wurzelstoff	MEDIUM_EXACT_WHOLE	NONE	qokeeey okchedy qokeey aiin odain orchedy qoky	erhitze bis Endstufe III; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; bis zur Heizendstufe; drei Teile; Zubereitungsdosis II; [orchedy:?]; leicht erhitzt	erhitze bis Endstufe III; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; bis zur Heizendstufe; drei Teile; Zubereitungsdosis II; Portion vollständig getrocknete Droge; leicht erhitzt	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f106r	f106r.28	raralchl	trockne die rohe Wurzelfraktion I	trockne die rohe Wurzelfraktion I	LEARNED_ACTION_WHOLE	R_ROOT+AR_FRACTION_I+AL_RAW_I+CHL_DRY_ACTION	langes gelerntes Drogenetikett	LOW_EXPLORATORY	NONE	okaiin ol lcho rcheo raiin qokaiin chey chokaiin chear ar ol raralchl	Ansatz auf Heizstufe III; Grundansatz; Trockenansatz aus Drogenholz; trockene Wurzel/Wurzeldrogezubereitung/Trockenansatz; Wurzel, Typ/Charge III; heiß, Grad III; bis zur mittleren Trockenstufe; Trockenansatz, heiß auf Stufe III; trockene Fraktion I; Drogenfraktion I; Grundansatz; [raralchl:?]	Ansatz auf Heizstufe III; Grundansatz; Trockenansatz aus Drogenholz; trockene Wurzel/Wurzeldrogezubereitung/Trockenansatz; Wurzel, Typ/Charge III; heiß, Grad III; bis zur mittleren Trockenstufe; Trockenansatz, heiß auf Stufe III; trockene Fraktion I; Drogenfraktion I; Grundansatz; trockne die rohe Wurzelfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f106v	f106v.19	darshy	abgemessene Fraktion I, leicht angefeuchtet	abgemessene Fraktion I, leicht angefeuchtet	PRODUCTIVE_COMPOUND	D_MEASURE+AR_FRACTION_I+SHY_MOIST_START	abgemessene feuchte Wurzelfraktion	MEDIUM_EXACT_WHOLE	NONE	darshy otaiin otal chedy r ain olaiin otaiin sain	[darshy:?]; kalt im Zubereitungsrahmen, Grad III; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; Wurzel; zwei Teile; Drogenstoff, drei Teile; kalt im Zubereitungsrahmen, Grad III; Saatgut, Typ/Charge II	abgemessene Fraktion I, leicht angefeuchtet; kalt im Zubereitungsrahmen, Grad III; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; Wurzel; zwei Teile; drei Teile Holzdrogenansatz; kalt im Zubereitungsrahmen, Grad III; Saatgut, Typ/Charge II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f107r	f107r.37	ychklkaiin	nimm Holzdroge, trockne und erhitze sie auf Stufe III	nimm Holzdroge, trockne und erhitze sie auf Stufe III	ENTRY_COMPOSITE	Y_REFERENCE+CHK_HOT_DRY+L_WOOD+KAIIN_III	Eintrag mit verlorener Grenze vor LKAIIN	LOW_EXPLORATORY	NONE	ychklkaiin chckhy cho l olkain	[ychklkaiin:?]; Arzneikompositum: trocken, Gradanfang; Trockengut; heißes Drogenmaterial, Grad II	nimm Holzdroge, trockne und erhitze sie auf Stufe III; Arzneikompositum: trocken, Gradanfang; Trockengut; Holzdrogenansatz auf Heizstufe II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
