occurrence_id	page	locus	token_index	ordinal	line_length	surface	token_kind	position	section	language	hand	family	card_type	scope_mode	rendering_class	left_surface	right_surface	reader_merge_direction	reader_merge_surface	reader_merge_readers	reader_merge_known_surface	raw_line_set_candidates	reader_merge_decision	working_gloss_de	working_render_de	composition	strongest_rival_de	reader_exact	split_normalized	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line	v40_gloss_de	v41_gloss_de	v40_scope_state	v41_scope_state	v41_working_translation_de	exact_surface_dispatch	context_or_reader_dispatch	substring_dispatch
G664-T0001	f100r	f100r.25	7	7	10	cheky	P	MEDIAL	P	A	1	ACTION	LEARNED_ACTION_WHOLE	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	CHEKY_ACTION	olcheol	cheol	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	CHE_DRY_MIDDLE+KY_HOT_START	statischer trocken-heißer Zustand	1	1	1	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	[cheky:?]	bis zur mittleren Trockenstufe, dann leicht erhitzen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	feuchter Drogenteil; [qkeeody:?]; Trockengut; Stufe III; [ctheol:?]; [olcheol:?]; bis zur mittleren Trockenstufe, dann leicht erhitzen; trockener Drogenstoff; trocken angesetztes Arzneikompositum am Gradanfang; Grundansatz bis zur mittleren Heizstufe erwärmt	1	0	0
G664-T0002	f100r	f100r.25	10	10	10	okeol	P	EOS	P	A	1	EXTRACT	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	cheockhy	<EOS>	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	heißer Drogenstoff ohne Auszug	1	1	1	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	[okeol:?]	Grundansatz bis zur mittleren Heizstufe erwärmt	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	feuchter Drogenteil; [qkeeody:?]; Trockengut; Stufe III; [ctheol:?]; [olcheol:?]; bis zur mittleren Trockenstufe, dann leicht erhitzen; trockener Drogenstoff; trocken angesetztes Arzneikompositum am Gradanfang; Grundansatz bis zur mittleren Heizstufe erwärmt	1	0	0
G664-T0003	f100r	f100r.5	3	3	3	daiindy	L	EOS	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	LABEL_SIGLUM	char	<EOS>	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	[drei Maße, abgeteilt und abgeschlossen-Zeichen]	[drei Maße, abgeteilt und abgeschlossen-Zeichen]	D_MEASURE+A+IIN_III+DY_CLOSE	bloßer Gradwert III mit Schlusszeichen	1	1	1	0	sar char daiindy	sar char daiindy	sarchar daiindy	[daiindy:?]	[drei Maße, abgeteilt und abgeschlossen-Zeichen]	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	Samenfraktion I; [Trockenfraktionszeichen]; [drei Maße, abgeteilt und abgeschlossen-Zeichen]	1	0	0
G664-T0004	f100v	f100v.16	7	7	11	okeol	P	MEDIAL	P	A	1	EXTRACT	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	sheeo	ches	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	heißer Drogenstoff ohne Auszug	1	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	[okeol:?]	Grundansatz bis zur mittleren Heizstufe erwärmt	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ykeeol:?]; Trockengut; bis zur mittleren Trockenstufe; [eeoseeo:?]; Samen-/Saatgutposten; [sheeo:?]; Grundansatz bis zur mittleren Heizstufe erwärmt; trockenes Drogenmaterial, Mittelstufe; [okeor:?]; Grundansatz bis zur mittleren Heizstufe erwärmt.	1	0	0
G664-T0005	f100v	f100v.16	10	10	11	okeol	P	MEDIAL	P	A	1	EXTRACT	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	okeor	dy	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	heißer Drogenstoff ohne Auszug	1	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	[okeol:?]	Grundansatz bis zur mittleren Heizstufe erwärmt	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ykeeol:?]; Trockengut; bis zur mittleren Trockenstufe; [eeoseeo:?]; Samen-/Saatgutposten; [sheeo:?]; Grundansatz bis zur mittleren Heizstufe erwärmt; trockenes Drogenmaterial, Mittelstufe; [okeor:?]; Grundansatz bis zur mittleren Heizstufe erwärmt.	1	0	0
G664-T0006	f100v	f100v.22	2	2	3	cheky	P	MEDIAL	P	A	1	ACTION	LEARNED_ACTION_WHOLE	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	CHEKY_ACTION	daiin	chory	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	CHE_DRY_MIDDLE+KY_HOT_START	statischer trocken-heißer Zustand	1	1	1	1	daiin cheky chory	daiin cheky chory	daiin cheky chory	[cheky:?]	bis zur mittleren Trockenstufe, dann leicht erhitzen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	drei Maße; bis zur mittleren Trockenstufe, dann leicht erhitzen; [chory:?]	1	0	0
G664-T0007	f102r1	f102r1.14	3	3	11	qokeo	P	MEDIAL	P	A	1	ACTION	LEARNED_ACTION_WHOLE	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	QOKEO_ACTION	keeol	daor	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	bereite einen heißen Auszug	bereite einen heißen Auszug	QOK_HEAT+E_LINK+O_EXTRACT	bloßer heißer Ansatz in Bindungsform	1	1	1	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	doeey keeol qokeo d or shey qoteol okol chos s or oeeaiin	[qokeo:?]	bereite einen heißen Auszug	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[doeey:?]; stark erhitzter Drogenstoff; bereite einen heißen Auszug; [daor:?]; bis zur mittleren Einweichstufe; [qoteol:?]; [okol:?]; [chos:?]; Samen-/Saatgutposten; Drogenportion; [oeeaiin:?]	1	0	0
G664-T0008	f102r1	f102r1.16	6	6	10	okeol	P	MEDIAL	P	A	1	EXTRACT	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	dy	doeoear	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	heißer Drogenstoff ohne Auszug	1	1	1	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	[okeol:?]	Grundansatz bis zur mittleren Heizstufe erwärmt	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ddor:?]; [chordam:?]; Samenportion III; [ykeey:?]; Grundansatz bis zur mittleren Heizstufe erwärmt; [doeoear:?]; Samen-/Saatgutposten; Rohdrogenfraktion I; [dor:?]	1	0	0
G664-T0009	f102r1	f102r1.5	5	5	10	orain	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	olaiin	oraroekeol	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Drogenportion II	Drogenportion II	OR_PORTION+A+IN_II	Qualitätsgrad II	1	1	1	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol ain	[orain:?]	Drogenportion II	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ytol:?]; feuchtes Material; feucht, attributiv gebunden; drei Teile Holzdrogenansatz; Drogenportion II; [oraroekeol:?]; Trockengut; [ekey:?]; erhitze bis Grad II	1	0	0
G664-T0010	f102v1	f102v1.22	2	2	8	chodaiin	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	ykeeody	qokeos	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	Trockenansatz, Dosis III	Trockenansatz, Dosis III	CHO_DRY_PREP+D_A+IIN_DOSE_III	trocken, Grad III ohne Dosis	1	1	1	0	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	ykchody chodaiin qokeos cheol qool chsea oteody okchy	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	[chodaiin:?]	Trockenansatz, Dosis III	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ykeeody:?]; Trockenansatz, Dosis III; [qokeos:?]; trockener Drogenstoff; [qool:?]; [chsey:?]; [oteody:?]; heiß-trockener Ansatz am Anfang des Grades	1	0	0
