family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
ACTION	qok	CONTEXT_SCOPED_SHORT_FORM	13	13	11	erhitze Folgendes	LEARNED_QOK_HEAT_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	raralchl	LEARNED_ACTION_WHOLE	1	1	1	trockne die rohe Wurzelfraktion I	R_ROOT+AR_FRACTION_I+AL_RAW_I+CHL_DRY_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	okeoteey	LEARNED_ACTION_WHOLE	1	1	1	erhitzten Ansatz bis zur Kühlendstufe bringen	O_PREP+K_HOT+E_LINK+O_PREP+TEEY_COLD_END	exact whole; composition predicts relatives only as a future explicit card
ACTION	say	LEARNED_ACTION_WHOLE	2	2	2	gib eine Gabe Saatgut zu	S_SEED+A_ADD+Y_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	qokeo	LEARNED_ACTION_WHOLE	8	8	6	bereite einen heißen Auszug	QOK_HEAT+E_LINK+O_EXTRACT	exact whole; composition predicts relatives only as a future explicit card
ACTION	qorchain	LEARNED_ACTION_WHOLE	1	1	1	nimm zwei Teile Trockendroge	QOR_TAKE_PORTION+CHAIN_DRY_II	exact whole; composition predicts relatives only as a future explicit card
ACTION	qopchdy	LEARNED_ACTION_WHOLE	16	16	14	nimm fertig getrocknetes Pulver	QO_TAKE+P_POWDER+CHDY_DRY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	qotam	LEARNED_ACTION_WHOLE	11	11	9	nimm ein Maß kalten Ansatzes	QO_TAKE+T_COLD+AM_UNIT_I	exact whole; composition predicts relatives only as a future explicit card
ACTION	sa	CONTEXT_SCOPED_SHORT_FORM	3	3	3	gib Saatgut zu	S_SEED+A_ADD	exact whole; composition predicts relatives only as a future explicit card
ACTION	sheed	LEARNED_ACTION_WHOLE	5	5	5	Einweichung vollständig abgeschlossen	SH_MOIST+EE_END+D_CLOSED	exact whole; composition predicts relatives only as a future explicit card
ACTION	ch	CONTEXT_SCOPED_SHORT_FORM	13	13	13	trockne	LEARNED_CH_DRY_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	qodchy	LEARNED_ACTION_WHOLE	2	2	2	nimm eine Dosis Trockendroge	QO_TAKE+D_DOSE+CHY_DRY_BASE	exact whole; composition predicts relatives only as a future explicit card
ACTION	yky	LEARNED_ACTION_WHOLE	12	12	12	hierzu leicht erhitzen	Y_REFERENCE+KY_HOT_START	exact whole; composition predicts relatives only as a future explicit card
ACTION	chyty	LEARNED_ACTION_WHOLE	4	4	4	nach dem Trocknen leicht kühlen	CH_DRY+Y_SEQUENCE+TY_COLD_START	exact whole; composition predicts relatives only as a future explicit card
ACTION	cthod	LEARNED_ACTION_WHOLE	3	3	3	gieße den Krautansatz ab	CTH_HERB+O_PREP+D_CLOSE_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	dytchor	LEARNED_ACTION_WHOLE	1	1	1	danach eine kalt-trockene Drogenportion	DY_SEQUENCE+TCHOR_COLD_DRY_PORTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	ked	LEARNED_ACTION_WHOLE	1	1	1	Erhitzung auf Mittelstufe abgeschlossen	K_HOT+E_MIDDLE+D_CLOSED	exact whole; composition predicts relatives only as a future explicit card
ACTION	oo	LEARNED_ACTION_WHOLE	1	1	1	setze ein zweites Mal an	LEARNED_DOUBLE_PREPARATION_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	qokeeaiin	LEARNED_ACTION_WHOLE	2	2	2	erhitze drei Teile bis zur Endstufe	QO_TAKE_OR_COMMAND+K_HOT+EE_END+A+IIN_III	exact whole; composition predicts relatives only as a future explicit card
ACTION	od	LEARNED_ACTION_WHOLE	8	7	7	miss vom Ansatz ab	O_PREP+D_MEASURE_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	chkaly	LEARNED_ACTION_WHOLE	2	2	2	Rohdroge I leicht trocknen und erhitzen	CH_DRY+K_HOT+AL_RAW_I+Y_BASE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qooldy	LEARNED_ACTION_WHOLE	1	1	1	gib den fertigen Auszug hinzu	QO_TAKE_OR_ADD+OLDY_FINISHED_EXTRACT	exact whole; composition predicts relatives only as a future explicit card
ACTION	qoykam	LEARNED_ACTION_WHOLE	1	1	1	nimm hiervon ein Maß und erhitze es	QO_COMMAND+Y_REFERENCE+KAM_HOT_UNIT_I	exact whole; composition predicts relatives only as a future explicit card
