stem	structural_role	practical_default_de	scope	examples	exclusions	strength
o	O_PREP	Ansatzrahmen; frei versuchsweise Ansatzwasser	gebunden produktiv; freies Token occurrence-sensitiv	octhol|opchedy|oshol	Leser-Merge gewinnt; nicht global Wasser oder Öl	MEDIUM
l	L_WOOD	Holzdroge	gebunden produktiv	lkain|lkol|lchar	freies l bleibt Pfund-Siglum	HIGH
l	FREE_LIBRA_SIGLUM	ein Pfund	freies reader-exaktes Token	l	niemals in l-Komposita exportieren	MEDIUM
ol	LEARNED_OL_BASE	Grundansatz	exaktes nacktes Ganzwort	ol	ol*-Materialformen standardmäßig als O_PREP+L_WOOD; oly/olyly eigene Aktionen	MEDIUM
s	S_SEED	Saatgut	produktiver Stoffkopf	saiin|ssheey|sokol	learned wholes können abweichen	MEDIUM
sol	SOL_SEED_PREP	Saatgutansatz	gelernter Stoffkopf	sol|sols|solaiin|solor|solkeedy	nicht Salz ohne bessere Karte	MEDIUM
sal	SAL_SEED_RAW	Saatrohstoff	produktiver Stoffkopf	salchey|salshey|saltar	Salz bleibt nur verworfener Rivale	MEDIUM
ch	CH_DRY	trocknen; getrocknet	produktiver Prozesskopf; frei Imperativ	ch|chedy|chcthdy	vor sichtbarem Leser-Merge nicht separat rendern	HIGH
sh	SH_MOIST	einweichen; angefeuchtet	produktiver Prozesskopf	shy|sheey|shcthey	kein unabhängiger Stoffwert	HIGH
k	K_HOT	erhitzen; heiß	produktiver Prozesskopf	kain|keey|qok	kein unabhängiges Stoffwort	HIGH
t	T_COLD	abkühlen; kalt	produktiver Prozesskopf	tain|teey|teody	kein Zeitwort ohne eigene Ganzkarte	HIGH
r	R_ROOT	Wurzel	gebundener Stoffkopf	rory|rolchey|rolkeedy	freies r bleibt occurrence-sensitiv	MEDIUM
cth	CTH_HERB	Kraut- oder Blattdroge	produktiver Stoffkopf	cthol|cthey|ctheor	keine bestimmte Pflanzenart	HIGH
chor	CHOR_PLANT_PART	Pflanzenteil; Blüten- oder Fruchtteil	exakte Familie	chor|chorar|choror	keine bestimmte Pflanzenart	MEDIUM
f/cfh	F_FLOWER	Blütenfraktion	wenige gelernte Formen	fshor|cfhar	kein allgemeiner f-Substringexport	LOW
p	P_POWDER	Pulver	produktiver gebundener Stoffkopf	opchey|opchedy|qopchdy	kein freies p-Wort	HIGH
q/qo	QO_COMMAND	Nimm; gib hinzu; führe den folgenden Prozess aus	präfigierter Handlungsrahmen	qor|qok|qoly|qotam	exaktes Ganzwort entscheidet konkrete Handlung	MEDIUM
y-	Y_REFERENCE	hiervon; hierzu	präfigierter anaphorischer Rahmen	ydain|ykeedar|yshey	kein Stoffname	HIGH
-y	Y_START_OR_CLOSE	leicht; Grundstufe; abgeschlossen	suffix- und ganzwortabhängig	shy|ky|dary	nicht ohne Familienkopf übersetzen	MEDIUM
d	D_MEASURE	abmessen; eine Dosis	gebunden produktiv	dain|daram|dshy	in dy nicht separat dispatchen	HIGH
dy	DY_FINISHED	fertigstellen; danach	suffix oder Sequenzkopf	chedy|oldy|dykshy	Richtung hängt von Position ab	HIGH
e	E_MIDDLE	mittlere Prozessstufe	gebundener Gradmarker	chey|key|tey	kein freies Wort	MEDIUM
ee	EE_END	vollständige Prozessstufe	gebundener Gradmarker	cheey|keey|teey	kein freies Wort	MEDIUM
eee	EEE_LONG_OR_FINAL	lange oder letzte Prozessstufe	gebunden; nur familienweise	oeeeody|teeedy|qoeeeety	keine globale Zahl III	LOW
a	A_PART_OR_LINK	ein Teil; gleicher Anteil	gebundener Mengenlinker	dara|sa|aiin	kein freies Stoffwort	MEDIUM
al	AL_RAW_I	Rohdroge I	produktiver Stoffwert	dalam|chkaly|salchey	keine bestimmte Droge	MEDIUM
ar	AR_FRACTION_I	erste Fraktion	produktiver Mengenwert	char|dar|keear	in gelernten Ganzwörtern nicht erzwingen	HIGH
air	AIR_FRACTION_II	zweite Fraktion	exakte Familie	air|dair|okair	kein allgemeiner Qualitätsgrad II	HIGH
or	OR_PORTION	eine Portion	produktiver Mengenwert	qor|orain|ctheor	kein Pflanzenname	HIGH
am	AM_UNIT_I	ein Maß	gelernte gebundene Einheit	dalam|qotam|okam	nicht aus freiem m ableiten	HIGH
m	MANIPULUS_SIGLUM	eine Handvoll	freies Ganzwort	m	nicht als allgemeines Maß und nicht als Substring exportieren	LOW
g	G_GRAIN_SIGLUM	ein Gran	nur terminal in drei exakten Ganzkarten	chkag|kcharg|chokolg	kein Export in sg|lg|odg oder beliebige g-Endungen	LOW
ain	AIN_II	zwei Teile oder Stufe II	gebunden familienabhängig	dain|kain|tain	Dosis versus Prozessstufe folgt dem Kopf	HIGH
aiin	AIIN_III	drei Teile oder Stufe III	gebunden familienabhängig	daiin|kaiin|chaiin	Dosis versus Prozessstufe folgt dem Kopf	HIGH
j	J_BUNDLE	ein Bündel	gelernte exakte Formen	ajy|cthoj	kein allgemeiner j-Substringexport	LOW
b	B_UNKNOWN	kein produktiver Wert	nur in gelerntem oleeeb	oleeeb	Bad bleibt Rivale, nicht Stammwert	LOW
