card_id	rendering_class	surface	reader_merge_surface	occurrences	working_render_de	selection_rule	semantic_effect
G664-C001	AJY_ACTION	ajy	NONE	1	fülle ein Bündel ab und schließe	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C002	CHCTHDY_ACTION	chcthdy	NONE	7	trockne die Krautdroge vollständig	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C003	CHEKY_ACTION	cheky	NONE	55	bis zur mittleren Trockenstufe, dann leicht erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C004	CHEOLCHEY_ACTION	cheolchey	NONE	2	trockenen Drogenstoff bis Mittelstufe nachtrocknen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C005	CHEOLKAIN_ACTION	cheolkain	NONE	1	erhitze den getrockneten Drogenstoff auf Stufe II	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C006	CHKALY_ACTION	chkaly	NONE	2	Rohdroge I leicht trocknen und erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C007	CHODEY_ACTION	chodey	NONE	1	Trockenansatz bis zur mittleren Stufe fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C008	CHOKAIN_ACTION	chokain	NONE	10	erhitze den Trockenansatz auf Stufe II	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C009	CHYTY_ACTION	chyty	NONE	4	nach dem Trocknen leicht kühlen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C010	CH_DRY_ACTION	ch	NONE	8	trockne Folgendes:	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C011	CH_READER_MERGE_RIGHT_KNOWN	ch	chal	1	Rohstoff I, trocken am Gradanfang	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C012	CH_READER_MERGE_RIGHT_KNOWN	ch	char	1	Trockenfraktion I	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C013	CH_READER_MERGE_RIGHT_KNOWN	ch	chdar	1	abgemessene Trockenfraktion I, Anfangsstufe	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C014	CH_READER_MERGE_RIGHT_KNOWN	ch	chy	1	angetrocknet	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C015	CH_READER_MERGE_RIGHT_NOVEL	ch	chkar	1	trockne heiße Drogenfraktion I	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C016	CTHOD_ACTION	cthod	NONE	3	gieße den Krautansatz ab	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C017	DYKSHY_ACTION	dykshy	NONE	1	danach heiß anfeuchten	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C018	DYTAIN_ACTION	dytain	NONE	1	danach auf Kühlstufe II	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C019	DYTCHOR_ACTION	dytchor	NONE	1	danach eine kalt-trockene Drogenportion	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C020	ENTRY_WHOLE	ycheo	NONE	8	nimm hierzu den Trockenansatz	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C021	ENTRY_WHOLE	ycheodain	NONE	1	nimm hierzu zwei Dosen Trockenansatz	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C022	ENTRY_WHOLE	ychklkaiin	NONE	1	nimm Holzdroge, trockne und erhitze sie auf Stufe III	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C023	ENTRY_WHOLE	ykain	NONE	2	erhitze hiervon auf Stufe II	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C024	ENTRY_WHOLE	ykar	NONE	6	nimm hiervon die erste erhitzte Drogenfraktion	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C025	ENTRY_WHOLE	ykeedar	NONE	1	erhitze hiervon die erste Fraktion vollständig	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C026	ENTRY_WHOLE	yshey	NONE	10	weiche hiervon bis zur mittleren Stufe ein	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C027	ENTRY_WHOLE	ytar	NONE	5	nimm hiervon die erste gekühlte Drogenfraktion	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C028	KED_ACTION	ked	NONE	1	Erhitzung auf Mittelstufe abgeschlossen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G664-C029	LABEL_SIGLUM	air	NONE	1	[Fraktion-II-Zeichen]	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
