diagnostic_id	route	name	prospective_outcome	search_dimensions	minimum	semantic_state
F1_D01	F1	COORDINATION_SYMMETRY	left_right_operand_structural_similarity	atomic_and_d_rendered;two_similarity_components	12_events;3_folios;2_registers	UNASSIGNED
F1_D02	F1	VARIABLE_ARITY_CHAIN	three_plus_homogeneous_operands	all_chain_arities;atomic_and_d_rendered	3_chains;3_folios;2_registers	UNASSIGNED
F1_D03	F1	MUTUAL_EXCLUSION	held_record_slot_exclusivity	all_operand_pairs	12_pairs;3_folios;2_registers	UNASSIGNED
F1_D04	F1	DOWNSTREAM_DELTA	next_two_atomic_tuple_and_closure_delta	all_source_matched_contexts	12_matched_pairs;3_folios;2_registers	UNASSIGNED
F1_D05	F1	SCOPE_HORIZON	downstream_return_diversity_and_boundary_curve	h1,h2,h3,h4,h6,h8;DY,B3,FIELD,LINE	12_events;3_folios;2_registers	UNASSIGNED
F1_D06	F1	PAIRED_OPERATOR	training_discovered_F2_held_enrichment	all_opaque_forms;spans1_to_8;both_directions	12_training_pairs;3_folios;2_registers	UNASSIGNED
F1_D07	F1	RENDERER_EQUIVALENCE	d_vs_non_d_external_behavior_vector_cosine	seven_behavior_axes	12_events_each;3_folios;2_registers	UNASSIGNED
F1_D08	F1	POSITION_INDEPENDENCE	nuisance_adjusted_folio_and_register_direction	all_F1_endpoints;all_deletions	60pct_folios;3_registers	UNASSIGNED
R1_CMP01	CMP_FUNCTION_01	BOUNDARY_RENDERER_PERSISTENCE	next_boundary_atomic_renderer_persistence	field_and_line_boundary	12_events;3_folios;2_registers	UNASSIGNED
R2_CMP02	CMP_FUNCTION_02	BRANCH_RECONVERGENCE	adjacent_span_divergence_then_reconvergence_h1_to_h4	h1,h2,h3,h4	12_events;3_folios;2_registers	UNASSIGNED
R3_CMP03	CMP_FUNCTION_03	RECORD_DELTA_REVERSAL	matched_record_downstream_atomic_state_delta_reversal	all_source_matched_record_pairs	12_pairs;3_folios;2_registers	UNASSIGNED
