page	physical_folio	locus	record_ordinal	field_ordinal	operand_arity	F1_pivots	homogeneity	semantic_state
f104v	f104	f104v.27	3	2	3	2	0.277777777778	UNASSIGNED
f106r	f106	f106r.11	2	1	4	3	0.233333333333	UNASSIGNED
f107r	f107	f107r.46	3	1	3	2	0.243055555556	UNASSIGNED
f10v	f10	f10v.1	1	1	3	2	0.250000000000	UNASSIGNED
f113r	f113	f113r.6	1	1	3	2	0.291666666667	UNASSIGNED
f14v	f14	f14v.5	1	1	3	2	0.250000000000	UNASSIGNED
f23r	f23	f23r.7	1	1	3	2	0.166666666667	UNASSIGNED
f23v	f23	f23v.7	2	1	3	2	0.266666666667	UNASSIGNED
f28r	f28	f28r.8	1	1	3	2	0.250000000000	UNASSIGNED
f32v	f32	f32v.3	1	1	3	2	0.277777777778	UNASSIGNED
f33r	f33	f33r.7	1	1	3	2	0.241666666667	UNASSIGNED
f35r	f35	f35r.12	1	1	3	2	0.416666666667	UNASSIGNED
f35r	f35	f35r.14	1	1	3	2	0.555555555556	UNASSIGNED
f38v	f38	f38v.3	1	1	4	3	0.333333333333	UNASSIGNED
f45r	f45	f45r.3	1	1	3	2	0.430555555556	UNASSIGNED
f46r	f46	f46r.12	1	1	3	2	0.166666666667	UNASSIGNED
f4r	f4	f4r.3	1	1	3	2	0.277777777778	UNASSIGNED
f7v	f7	f7v.2	1	1	3	2	0.430555555556	UNASSIGNED
f81v	f81	f81v.7	1	1	3	2	0.250000000000	UNASSIGNED
f86v5	f86	f86v5.21	2	1	3	2	0.347222222222	UNASSIGNED
f89v1	f89	f89v1.15	1	1	3	2	0.500000000000	UNASSIGNED
f99r	f99	f99r.18	1	2	3	2	0.500000000000	UNASSIGNED
