packet_position	event_id	locus	statement_id	owner_de	surface	full_recipe	atomic_reading_de	pocket_core_recipe	specialist_recipe	specialist_roles	selected_by_desk	composite_junction_card	desk_action_de	final_inscription_by	whole_card_rule_de
1	E229	f83r.3	B3-S001	obere offene Fächerstation am Rand	olkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	EE+DY	SOLK	S02_PREPARATION_WET	S02_PREPARATION_WET	NO	Ganze Vorbereitungs-/Nasskarte aus dem lokalen Fach waehlen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
2	E230	f83r.3	B3-S002	obere offene Fächerstation am Rand	qotal	OT+AL	DANACH · ZIEL	OT+AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
3	E231	f83r.3	B3-S002	obere offene Fächerstation am Rand	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	EE+DY	CHK	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
4	E232	f83r.3	B3-S003	obere offene Fächerstation am Rand	chey	Y	DIES	Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
5	E233	f83r.3	B3-S003	obere offene Fächerstation am Rand	daiin	AIIN	MASS	AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
6	E234	f83r.3	B3-S003	obere offene Fächerstation am Rand	chey	Y	DIES	Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
7	E235	f83r.3	B3-S003	obere offene Fächerstation am Rand	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	L+CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
8	E236	f83r.3	B3-S004	obere offene Fächerstation am Rand	qokaiin	OK+AIIN	ANSETZEN · MASS	OK+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
9	E237	f83r.3	B3-S004	obere offene Fächerstation am Rand	qotal	OT+AL	DANACH · ZIEL	OT+AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
10	E238	f83r.3	B3-S004	obere offene Fächerstation am Rand	dar	AR	QUELLE	AR	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
11	E239	f83r.6	B3-S005	mittlere Randfigur im runden Gefäß	schedy	CHD+DY	UMSETZEN · SCHLUSS	DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
12	E240	f83r.6	B3-S006	mittlere Randfigur im runden Gefäß	chedchy	CHD+Y	UMSETZEN · DIES	Y	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
13	E241	f83r.6	B3-S006	mittlere Randfigur im runden Gefäß	qokal	OK+AL	ANSETZEN · ZIEL	OK+AL	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
14	E242	f83r.6	B3-S006	mittlere Randfigur im runden Gefäß	olchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	OL+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
15	E243	f83r.6	B3-S007	mittlere Randfigur im runden Gefäß	qokaiin	OK+AIIN	ANSETZEN · MASS	OK+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
16	E244	f83r.6	B3-S007	mittlere Randfigur im runden Gefäß	chedy	CHD+Y	UMSETZEN · DIES	Y	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
17	E245	f83r.6	B3-S007	mittlere Randfigur im runden Gefäß	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	OK+EE+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
18	E246	f83r.6	B3-S008	mittlere Randfigur im runden Gefäß	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	DY	L+CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
19	E247	f83r.6	B3-S009	mittlere Randfigur im runden Gefäß	qoky	OK+Y	ANSETZEN · DIES	OK+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
20	E248	f83r.8	B3-S010	untere Randfigur im korbartigen Gefäß	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	AL	P+CHD	S02_PREPARATION_WET|S03_TRANSFER	S03_TRANSFER	YES	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
21	E249	f83r.8	B3-S010	untere Randfigur im korbartigen Gefäß	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	OT+E+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
