locus	event_range	events	statements	owner_sequence_de	surface_sequence	desk_selection_sequence	final_copy_de
f83r.3	E229..E238	10	B3-S001 B3-S002 B3-S003 B3-S004	obere offene Fächerstation am Rand	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	S02_PREPARATION_WET×1 > S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×3 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×3	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.6	E239..E247	9	B3-S005 B3-S006 B3-S007 B3-S008 B3-S009	mittlere Randfigur im runden Gefäß	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	S03_TRANSFER×2 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.8	E248..E253	6	B3-S010 B3-S011	untere Randfigur im korbartigen Gefäß	pchedal otedy shecthedchy qoky chedy chary	S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.11	E254..E263	10	B3-S012 B3-S013 B3-S014 B3-S015 B3-S016	untere Randfigur im korbartigen Gefäß	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×1 > S02_PREPARATION_WET×1 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×1 > S02_PREPARATION_WET×1 > S04_STATE_CONTROL×1 > S03_TRANSFER×2	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.14	E264..E273	10	B3-S016 B3-S017 B3-S018 B3-S019 B3-S020 B3-S021	unverbundener Zwischenbereich	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×2 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×2	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.15	E274..E282	9	B3-S021 B3-S022 B3-S023	unverbundener Zwischenbereich	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	S01_MASTER_CORRECTOR×1 > S04_STATE_CONTROL×2 > S01_MASTER_CORRECTOR×2 > S04_STATE_CONTROL×1 > S03_TRANSFER×3	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.16	E283..E290	8	B3-S024 B3-S025 B3-S026	unverbundener Zwischenbereich	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	S03_TRANSFER×2 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×2 > S02_PREPARATION_WET×1 > S04_STATE_CONTROL×2	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.20	E291..E299	9	B3-S026 B3-S027 B3-S028 B3-S029 B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	S02_PREPARATION_WET×1 > S01_MASTER_CORRECTOR×4 > S04_STATE_CONTROL×1 > S01_MASTER_CORRECTOR×3	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.22	E300..E308	9	B3-S030 B3-S031 B3-S032 B3-S033	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy	S03_TRANSFER×2 > S01_MASTER_CORRECTOR×1 > S03_TRANSFER×2 > S01_MASTER_CORRECTOR×3 > S03_TRANSFER×1	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
f83r.24	E309..E314	6	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	soiiin checthy chety otaiin olsaly shedy	S04_STATE_CONTROL×2 > S03_TRANSFER×1 > S01_MASTER_CORRECTOR×2 > S04_STATE_CONTROL×1	Eine Hand kopiert diese Folge von links nach rechts; das Zeilenende beendet nicht automatisch die Anweisung.
