candidate	edition	source_groups	known_groups	unknown_groups	antecedent_ids	consequent_ids	antecedent_flow_ids	consequent_flow_ids	consequent_copula_ids	unknown_ids	unresolved_participants	contradiction_assessment	complete_content_reading	selected	independent_meaning_tests
R_F	ZL3b	28	9	19	ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G003	ZL3b|f77r.20|G004|ZL3b|f77r.20|G005|ZL3b|f77r.20|G006|ZL3b|f77r.20|G007|ZL3b|f77r.20|G008	ZL3b|f77r.20|G003		ZL3b|f77r.20|G005	ZL3b|f77r.18|G001|ZL3b|f77r.18|G003|ZL3b|f77r.18|G004|ZL3b|f77r.18|G005|ZL3b|f77r.18|G006|ZL3b|f77r.18|G007|ZL3b|f77r.18|G008|ZL3b|f77r.18|G009|ZL3b|f77r.18|G011|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008|ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G004|ZL3b|f77r.20|G006|ZL3b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
R_F	IT2a	27	9	18	IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G003	IT2a|f77r.20|G004|IT2a|f77r.20|G005|IT2a|f77r.20|G006|IT2a|f77r.20|G007|IT2a|f77r.20|G008	IT2a|f77r.20|G003		IT2a|f77r.20|G005	IT2a|f77r.18|G001|IT2a|f77r.18|G003|IT2a|f77r.18|G004|IT2a|f77r.18|G005|IT2a|f77r.18|G006|IT2a|f77r.18|G007|IT2a|f77r.18|G008|IT2a|f77r.18|G010|IT2a|f77r.19|G002|IT2a|f77r.19|G003|IT2a|f77r.19|G006|IT2a|f77r.19|G007|IT2a|f77r.19|G008|IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G004|IT2a|f77r.20|G006|IT2a|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
R_F	RF1b	26	9	17	RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G003	RF1b|f77r.20|G004|RF1b|f77r.20|G005|RF1b|f77r.20|G006|RF1b|f77r.20|G007|RF1b|f77r.20|G008	RF1b|f77r.20|G003		RF1b|f77r.20|G005	RF1b|f77r.18|G001|RF1b|f77r.18|G003|RF1b|f77r.18|G004|RF1b|f77r.18|G005|RF1b|f77r.18|G006|RF1b|f77r.18|G007|RF1b|f77r.18|G009|RF1b|f77r.19|G002|RF1b|f77r.19|G003|RF1b|f77r.19|G006|RF1b|f77r.19|G007|RF1b|f77r.19|G008|RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G004|RF1b|f77r.20|G006|RF1b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
R_P	ZL3b	28	9	19	ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G003	ZL3b|f77r.19|G001|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G004|ZL3b|f77r.19|G005|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008	ZL3b|f77r.20|G003	ZL3b|f77r.19|G001|ZL3b|f77r.19|G004|ZL3b|f77r.19|G005		ZL3b|f77r.18|G001|ZL3b|f77r.18|G003|ZL3b|f77r.18|G004|ZL3b|f77r.18|G005|ZL3b|f77r.18|G006|ZL3b|f77r.18|G007|ZL3b|f77r.18|G008|ZL3b|f77r.18|G009|ZL3b|f77r.18|G011|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008|ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G004|ZL3b|f77r.20|G006|ZL3b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
R_P	IT2a	27	9	18	IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G003	IT2a|f77r.19|G001|IT2a|f77r.19|G002|IT2a|f77r.19|G003|IT2a|f77r.19|G004|IT2a|f77r.19|G005|IT2a|f77r.19|G006|IT2a|f77r.19|G007|IT2a|f77r.19|G008	IT2a|f77r.20|G003	IT2a|f77r.19|G001|IT2a|f77r.19|G004|IT2a|f77r.19|G005		IT2a|f77r.18|G001|IT2a|f77r.18|G003|IT2a|f77r.18|G004|IT2a|f77r.18|G005|IT2a|f77r.18|G006|IT2a|f77r.18|G007|IT2a|f77r.18|G008|IT2a|f77r.18|G010|IT2a|f77r.19|G002|IT2a|f77r.19|G003|IT2a|f77r.19|G006|IT2a|f77r.19|G007|IT2a|f77r.19|G008|IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G004|IT2a|f77r.20|G006|IT2a|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
R_P	RF1b	26	9	17	RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G003	RF1b|f77r.19|G001|RF1b|f77r.19|G002|RF1b|f77r.19|G003|RF1b|f77r.19|G004|RF1b|f77r.19|G005|RF1b|f77r.19|G006|RF1b|f77r.19|G007|RF1b|f77r.19|G008	RF1b|f77r.20|G003	RF1b|f77r.19|G001|RF1b|f77r.19|G004|RF1b|f77r.19|G005		RF1b|f77r.18|G001|RF1b|f77r.18|G003|RF1b|f77r.18|G004|RF1b|f77r.18|G005|RF1b|f77r.18|G006|RF1b|f77r.18|G007|RF1b|f77r.18|G009|RF1b|f77r.19|G002|RF1b|f77r.19|G003|RF1b|f77r.19|G006|RF1b|f77r.19|G007|RF1b|f77r.19|G008|RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G004|RF1b|f77r.20|G006|RF1b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
T_F	ZL3b	28	9	19	ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G003	ZL3b|f77r.20|G004|ZL3b|f77r.20|G005|ZL3b|f77r.20|G006|ZL3b|f77r.20|G007|ZL3b|f77r.20|G008	ZL3b|f77r.20|G003		ZL3b|f77r.20|G005	ZL3b|f77r.18|G001|ZL3b|f77r.18|G003|ZL3b|f77r.18|G004|ZL3b|f77r.18|G005|ZL3b|f77r.18|G006|ZL3b|f77r.18|G007|ZL3b|f77r.18|G008|ZL3b|f77r.18|G009|ZL3b|f77r.18|G011|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008|ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G004|ZL3b|f77r.20|G006|ZL3b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
T_F	IT2a	27	9	18	IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G003	IT2a|f77r.20|G004|IT2a|f77r.20|G005|IT2a|f77r.20|G006|IT2a|f77r.20|G007|IT2a|f77r.20|G008	IT2a|f77r.20|G003		IT2a|f77r.20|G005	IT2a|f77r.18|G001|IT2a|f77r.18|G003|IT2a|f77r.18|G004|IT2a|f77r.18|G005|IT2a|f77r.18|G006|IT2a|f77r.18|G007|IT2a|f77r.18|G008|IT2a|f77r.18|G010|IT2a|f77r.19|G002|IT2a|f77r.19|G003|IT2a|f77r.19|G006|IT2a|f77r.19|G007|IT2a|f77r.19|G008|IT2a|f77r.20|G001|IT2a|f77r.20|G002|IT2a|f77r.20|G004|IT2a|f77r.20|G006|IT2a|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
T_F	RF1b	26	9	17	RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G003	RF1b|f77r.20|G004|RF1b|f77r.20|G005|RF1b|f77r.20|G006|RF1b|f77r.20|G007|RF1b|f77r.20|G008	RF1b|f77r.20|G003		RF1b|f77r.20|G005	RF1b|f77r.18|G001|RF1b|f77r.18|G003|RF1b|f77r.18|G004|RF1b|f77r.18|G005|RF1b|f77r.18|G006|RF1b|f77r.18|G007|RF1b|f77r.18|G009|RF1b|f77r.19|G002|RF1b|f77r.19|G003|RF1b|f77r.19|G006|RF1b|f77r.19|G007|RF1b|f77r.19|G008|RF1b|f77r.20|G001|RF1b|f77r.20|G002|RF1b|f77r.20|G004|RF1b|f77r.20|G006|RF1b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
T_P	ZL3b	28	9	19	ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G003	ZL3b|f77r.19|G001|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G004|ZL3b|f77r.19|G005|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008	ZL3b|f77r.20|G003	ZL3b|f77r.19|G001|ZL3b|f77r.19|G004|ZL3b|f77r.19|G005		ZL3b|f77r.18|G001|ZL3b|f77r.18|G003|ZL3b|f77r.18|G004|ZL3b|f77r.18|G005|ZL3b|f77r.18|G006|ZL3b|f77r.18|G007|ZL3b|f77r.18|G008|ZL3b|f77r.18|G009|ZL3b|f77r.18|G011|ZL3b|f77r.19|G002|ZL3b|f77r.19|G003|ZL3b|f77r.19|G006|ZL3b|f77r.19|G007|ZL3b|f77r.19|G008|ZL3b|f77r.20|G001|ZL3b|f77r.20|G002|ZL3b|f77r.20|G004|ZL3b|f77r.20|G006|ZL3b|f77r.20|G008	K,A,B; PRE motion/rest participants also unread	NO_DEMONSTRATED_CONTENT_CONTRADICTION; INSUFFICIENT_CONTENT	False	False	0
