statement_id	page	record	record_type	silent_owner_de	event_total	cell_status	visible_cards	spoken_components_de	complete_actions_de	complete_arguments_de	fluent_station_entry_de	all_source_events_bound
B1-S001	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	1	CLOSED_CELL	⟦qokedy⟧	⟦setze an · kurz · schließe⟧	einwirken lassen	NONE	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	YES
B1-S002	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	19	CLOSED_CELL	⟦okaiin | kair | okal | sar⟧ / ⟦ol | kain | olkain | al⟧ / ⟦ol | rol | dl | olor⟧ / ⟦ol | sheckhal | daiin | qokeedal⟧ / ⟦daiin | chckhy | schedy⟧	⟦setze an · Maß | gib zu · Lauf | setze an · dorthin | davon⟧ / ⟦fort | gib zu · Teil | fort · gib zu · Teil | dorthin⟧ / ⟦fort | kühle · fort | führe | fort · Ansatz⟧ / ⟦fort | halte · kurz · Durchlass · dorthin | Maß | setze an · länger · dorthin⟧ / ⟦Maß | Durchlass · dies | setze um · schließe⟧	setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	YES
B1-S003	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	2	CLOSED_CELL	⟦qol | sshkchdy⟧	⟦fort | halte · gib zu · setze um · schließe⟧	halten + zugeben + überführen	fort	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	YES
B1-S004	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	3	CLOSED_CELL	⟦chedy | ol | shedy⟧	⟦setze um · dies | fort | setze ab · schließe⟧	umschöpfen → absetzen lassen	fort	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	YES
B1-S005	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	1	CLOSED_CELL	⟦qolchedy⟧	⟦fort · setze um · schließe⟧	führe zur nächsten Station	NONE	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	YES
B1-S006	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	4	OPEN_ENTRY	⟦qokain | shckhy | dl | ral⟧	⟦setze an · Teil | Durchlass · dies | führe | kühle · dorthin⟧	gib einen Teil hinein → durchleiten → abkühlen lassen	Durchlass · dies	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	YES
B1-S007	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	1	CLOSED_CELL	⟦qokchdy⟧	⟦setze an · setze um · schließe⟧	einsetzen + überführen	NONE	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	YES
B1-S008	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	5	CLOSED_CELL	⟦chey | ol | cheky | ol | shedy⟧	⟦dies | fort | wärme · kurz · dies | fort | setze ab · schließe⟧	warm halten → absetzen lassen	dies | fort | fort	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	YES
B1-S009	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	1	CLOSED_CELL	⟦qokedy⟧	⟦setze an · kurz · schließe⟧	einwirken lassen	NONE	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	YES
B1-S010	f81v	B1	LOCAL_STATION_CELL_REGISTER	gemeinsame zweireihige Figuren-/Beckenstation	1	CLOSED_CELL	⟦qokedy⟧	⟦setze an · kurz · schließe⟧	einwirken lassen	NONE	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	YES
