rule_group	master_card_id	position_class	base_surface	expanded_surface	opportunities	base_exact	expanded_exact	net_gain	observed_distribution
S1	MC120	INITIAL	okaiin	qokaiin	7	1	6	5	okaiin:1|qokaiin:6
S1	MC002	INITIAL	okeey	qokeey	3	0	3	3	qokeey:3
S1	MC017	INITIAL	okain	qokain	4	1	3	2	okain:1|qokain:3
S1	MC040	INITIAL	okal	qokal	2	0	2	2	qokal:2
S1	MC026	MEDIAL	choky	qoky	6	2	3	1	choky:2|oky:1|qoky:3
S1	MC026	FINAL	choky	qoky	2	0	2	2	qoky:2
S1	MC028	ONLY	olchedy	qolchedy	2	0	2	2	qolchedy:2
S2	MC074	INITIAL	chdy	chedy	3	0	3	3	chedy:3
S2	MC074	MEDIAL	chdy	chedy	6	0	6	6	chedy:6
S3	MC153	MEDIAL	cheol	ol	14	1	7	6	cheol:1|chol:3|ol:7|qol:2|tol:1
S3	MC153	INITIAL	cheol	sol	3	0	3	3	sol:3
S3	MC154	INITIAL	al	dal	4	0	2	2	cheal:1|dal:2|sal:1
S3	MC154	FINAL	al	dal	2	0	2	2	dal:2
S3	MC055	FINAL	char	dar	2	0	2	2	dar:2
S4	MC128	ONLY	cheedy	shedy	3	0	2	2	shedy:2|tedy:1
S4	MC119	MEDIAL	cheey	shey	2	0	2	2	shey:2
S4	MC034	INITIAL	cho	sho	2	0	2	2	sho:2
S5	MC039	INITIAL	aiin	saiin	6	1	3	2	aiin:1|daiin:2|saiin:3
S6	MC105	MEDIAL	chkain	kain	3	1	2	1	chkain:1|kain:2
