rank	predicted_to_observed	position_class	events	cards	pages	event_ids
1	chey>dy	MEDIAL	4	MC123	f10r|f11r|f82r	E020|E037|E050|E170
2	chey>chy	MEDIAL	3	MC123	f10r|f11r	E021|E035|E048
3	ol>chol	MEDIAL	3	MC153	f10r	E013|E027|E029
4	checthy>cthy	MEDIAL	2	MC161	f10r|f11r	E016|E054
5	checthy>shcthy	MEDIAL	2	MC161	f83r	E271|E279
6	okal>qokal	MEDIAL	2	MC040	f82r|f83r	E186|E241
7	ol>qol	MEDIAL	2	MC153	f81v	E148|E154
8	qoky>choky	MEDIAL	2	MC026	f56r	E081|E085
9	saiin>daiin	INITIAL	2	MC039	f55v|f83r	E061|E377
10	al>chal	ONLY	1	MC154	f81v	E166
11	al>dal	MEDIAL	1	MC154	f83r	E272
12	al>tal	MEDIAL	1	MC154	f83r	E278
13	char>sar	MEDIAL	1	MC055	f81v	E105
14	chckhy>shckhy	MEDIAL	1	MC035	f81v	E128
15	chdy>chedy	FINAL	1	MC074	f83r	E372
16	checthy>cthy	FINAL	1	MC161	f10r	E014
17	cheol>qol	ONLY	1	MC153	f81v	E121
18	chety>chty	MEDIAL	1	MC086	f10r	E004
19	chey>dy	FINAL	1	MC123	f11r	E055
20	chey>shy	FINAL	1	MC123	f10r	E023
21	chey>sy	FINAL	1	MC123	f83r	E273
22	chey>y	MEDIAL	1	MC123	f55v	E072
23	chokchy>okchy	INITIAL	1	MC103	f56r	E091
24	chokchy>qokchy	INITIAL	1	MC103	f10r	E011
25	choky>qoky	INITIAL	1	MC026	f83r	E298
26	choky>qoky	ONLY	1	MC026	f83r	E247
27	cholor>olor	INITIAL	1	MC157	f81v	E113
28	chor>or	MEDIAL	1	MC080	f55v	E071
29	chor>shor	MEDIAL	1	MC080	f10r	E033
30	daiin>aiin	FINAL	1	MC039	f83r	E369
31	daiin>aiin	MEDIAL	1	MC039	f82r	E217
32	daiin>chaiin	MEDIAL	1	MC039	f55v	E057
33	daiin>saiin	FINAL	1	MC039	f83r	E299
34	daiin>taiin	MEDIAL	1	MC039	f10r	E022
35	dal>cheal	INITIAL	1	MC154	f82r	E214
36	dal>sal	INITIAL	1	MC154	f81v	E156
37	dchedy>schedy	ONLY	1	MC025	f83r	E239
38	dchedy>tchedy	ONLY	1	MC025	f83r	E283
39	dchol>schol	INITIAL	1	MC142	f56r	E083
40	kain>chkain	MEDIAL	1	MC105	f83r	E257
41	oiiin>soiiin	INITIAL	1	MC033	f83r	E309
42	okaiin>qokaiin	FINAL	1	MC120	f82r	E180
43	okain>qokain	MEDIAL	1	MC017	f83r	E288
44	okchedy>qokchedy	ONLY	1	MC005	f83r	E264
45	ol>cheol	MEDIAL	1	MC153	f83r	E366
46	ol>tol	MEDIAL	1	MC153	f83r	E324
47	olkain>qolkain	INITIAL	1	MC097	f83r	E358
48	olkeedy>solkeedy	ONLY	1	MC045	f83r	E291
49	or>sor	INITIAL	1	MC080	f83r	E254
50	otaiin>sotaiin	INITIAL	1	MC060	f82r	E190
51	otal>qotal	INITIAL	1	MC093	f83r	E230
52	otchedy>qotchedy	ONLY	1	MC057	f83r	E281
53	qcthey>shcthey	MEDIAL	1	MC073	f83r	E258
54	qokaiin>okaiin	INITIAL	1	MC120	f81v	E102
55	qokain>okain	INITIAL	1	MC017	f82r	E198
56	qokeey>okeey	MEDIAL	1	MC002	f81v	E153
57	qoky>oky	MEDIAL	1	MC026	f10r	E008
58	saiin>aiin	INITIAL	1	MC039	f55v	E068
59	shedy>cheedy	FINAL	1	MC128	f81v	E155
60	shedy>tedy	ONLY	1	MC128	f81v	E163
