statement_id	page	transition	left_event	left_surface	left_reading_de	right_event	right_surface	right_reading_de
B2-S004	f82r	TRANSFER_TO_SET	E174	lched	WEITERLEITEN · UMSETZEN	E175	qokeey	ANSETZEN · LANG · ARBEITSPOSTEN
B2-S016	f82r	SET_TO_TRANSFER	E220	okey	ANSETZEN · KURZ · ARBEITSPOSTEN	E221	pchedy	EINFUELLEN · UMSETZEN; SCHLUSS
B3-S006	f83r	TRANSFER_TO_SET	E240	chedchy	UMSETZEN · ARBEITSPOSTEN	E241	qokal	ANSETZEN · ZIELSTELLE
B3-S006	f83r	SET_TO_TRANSFER	E241	qokal	ANSETZEN · ZIELSTELLE	E242	olchedy	FORTSETZEN · UMSETZEN; SCHLUSS
B3-S007	f83r	SET_TO_TRANSFER	E243	qokaiin	ANSETZEN · SOLLMASS	E244	chedy	UMSETZEN · ARBEITSPOSTEN
B3-S007	f83r	TRANSFER_TO_SET	E244	chedy	UMSETZEN · ARBEITSPOSTEN	E245	qokeedy	ANSETZEN · LANG; SCHLUSS
B3-S011	f83r	TRANSFER_TO_SET	E250	shecthedchy	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	E251	qoky	ANSETZEN · ARBEITSPOSTEN
B3-S011	f83r	SET_TO_TRANSFER	E251	qoky	ANSETZEN · ARBEITSPOSTEN	E252	chedy	UMSETZEN · ARBEITSPOSTEN
B3-S026	f83r	TRANSFER_TO_SET	E287	chedy	UMSETZEN · ARBEITSPOSTEN	E288	qokain	ANSETZEN · PORTION
B4-S005	f83r	TRANSFER_TO_SET	E328	chedy	UMSETZEN · ARBEITSPOSTEN	E329	qokeedy	ANSETZEN · LANG; SCHLUSS
B4-S011	f83r	SET_TO_TRANSFER	E341	okain	ANSETZEN · PORTION	E342	chdy	UMSETZEN · ARBEITSPOSTEN
