statement_id	page	record	statement_events	root_events	verb_skeleton	cycle_class	root_surfaces	root_readings_de	full_surface	full_card_reading_de
B1-S002	f81v	B1	19	4	SET>SET>SET>TRANSFER	EXTENDED_RECONFIGURATION_CHAIN	okaiin okal qokeedal schedy	ANSETZEN · SOLLMASS -> ANSETZEN · ZIELSTELLE -> ANSETZEN · LANG · ZIELSTELLE -> UMSETZEN; SCHLUSS	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ANSETZEN · SOLLMASS / ZUDOSIEREN · FLUESSIGKEITSLAUF / ANSETZEN · ZIELSTELLE / VORRAT / FORTSETZEN / ZUDOSIEREN · PORTION / FORTSETZEN · ZUDOSIEREN · PORTION / ZIELSTELLE / FORTSETZEN / KUEHLEN · FORTSETZEN / WEITERLEITEN / FORTSETZEN · ANSATZ / FORTSETZEN / HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE / SOLLMASS / ANSETZEN · LANG · ZIELSTELLE / SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / UMSETZEN; SCHLUSS
B1-S007	f81v	B1	1	1	FUSED_SET_TRANSFER_CLOSE	FUSED_SHORTCUT	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS
B1-S015	f81v	B1	2	1	FUSED_SET_TRANSFER_CLOSE	FUSED_SHORTCUT	okchedy	ANSETZEN · UMSETZEN; SCHLUSS	ytey okchedy	EINTRAGEN · KURZ · ARBEITSPOSTEN / ANSETZEN · UMSETZEN; SCHLUSS
B2-S004	f82r	B2	5	3	SET>TRANSFER>SET	ALTERNATING_CYCLE	qokal lched qokeey	ANSETZEN · ZIELSTELLE -> WEITERLEITEN · UMSETZEN -> ANSETZEN · LANG · ARBEITSPOSTEN	qokal lcheckhy lched qokeey lcheckhedy	ANSETZEN · ZIELSTELLE / WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN / WEITERLEITEN · UMSETZEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS
B2-S016	f82r	B2	8	4	TRANSFER>SET>SET>TRANSFER	EXTENDED_RECONFIGURATION_CHAIN	lchedar qokaiin okey pchedy	WEITERLEITEN · UMSETZEN · VORRAT -> ANSETZEN · SOLLMASS -> ANSETZEN · KURZ · ARBEITSPOSTEN -> EINFUELLEN · UMSETZEN; SCHLUSS	cheal lchedar ches aiin oteey qokaiin okey pchedy	ZIELSTELLE / WEITERLEITEN · UMSETZEN · VORRAT / ABNEHMEN · KURZ · TEILEN / SOLLMASS / DANACH · LANG · ARBEITSPOSTEN / ANSETZEN · SOLLMASS / ANSETZEN · KURZ · ARBEITSPOSTEN / EINFUELLEN · UMSETZEN; SCHLUSS
B3-S006	f83r	B3	3	3	TRANSFER>SET>TRANSFER	ALTERNATING_CYCLE	chedchy qokal olchedy	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · ZIELSTELLE -> FORTSETZEN · UMSETZEN; SCHLUSS	chedchy qokal olchedy	UMSETZEN · ARBEITSPOSTEN / ANSETZEN · ZIELSTELLE / FORTSETZEN · UMSETZEN; SCHLUSS
B3-S007	f83r	B3	3	3	SET>TRANSFER>SET	ALTERNATING_CYCLE	qokaiin chedy qokeedy	ANSETZEN · SOLLMASS -> UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG; SCHLUSS	qokaiin chedy qokeedy	ANSETZEN · SOLLMASS / UMSETZEN · ARBEITSPOSTEN / ANSETZEN · LANG; SCHLUSS
B3-S011	f83r	B3	4	3	TRANSFER>SET>TRANSFER	ALTERNATING_CYCLE	shecthedchy qoky chedy	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN -> UMSETZEN · ARBEITSPOSTEN	shecthedchy qoky chedy chary	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN / ANSETZEN · ARBEITSPOSTEN / UMSETZEN · ARBEITSPOSTEN / VORRAT · ARBEITSPOSTEN
B3-S016	f83r	B3	2	1	FUSED_SET_TRANSFER_CLOSE	FUSED_SHORTCUT	qokchedy	ANSETZEN · UMSETZEN; SCHLUSS	lo qokchedy	WEITERLEITEN · ARBEITSGANG / ANSETZEN · UMSETZEN; SCHLUSS
B3-S021	f83r	B3	11	2	SET>TRANSFER	SINGLE_HANDOFF	qokaiin dalchdy	ANSETZEN · SOLLMASS -> ZIELSTELLE · UMSETZEN; SCHLUSS	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / ARBEITSPOSTEN / SOLLMASS / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS
B3-S025	f83r	B3	1	1	FUSED_SET_TRANSFER_CLOSE	FUSED_SHORTCUT	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS
B3-S026	f83r	B3	7	2	TRANSFER>SET	SINGLE_HANDOFF	chedy qokain	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · PORTION	cheedar chldaiin chedy qokain checthy chealror solkeedy	LANG · VORRAT / WEITERLEITEN · SOLLMASS / UMSETZEN · ARBEITSPOSTEN / ANSETZEN · PORTION / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · KUEHLEN · ANSATZ / AUFFANGEN · LANG; SCHLUSS
B3-S030	f83r	B3	4	3	SET>TRANSFER>TRANSFER	EXTENDED_RECONFIGURATION_CHAIN	qoky schedair otchedy	ANSETZEN · ARBEITSPOSTEN -> UMSETZEN · FLUESSIGKEITSLAUF -> DANACH · UMSETZEN; SCHLUSS	qoky saiin schedair otchedy	ANSETZEN · ARBEITSPOSTEN / SOLLMASS / UMSETZEN · FLUESSIGKEITSLAUF / DANACH · UMSETZEN; SCHLUSS
B4-S003	f83r	B4	7	3	TRANSFER>SET>SET	EXTENDED_RECONFIGURATION_CHAIN	chedy qokeey qoky	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN	chedy otal otchey qokeey qoky tol shedy	UMSETZEN · ARBEITSPOSTEN / DANACH · ZIELSTELLE / DANACH · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / ANSETZEN · ARBEITSPOSTEN / FORTSETZEN / ABSETZEN; SCHLUSS
B4-S005	f83r	B4	3	2	TRANSFER>SET	SINGLE_HANDOFF	chedy qokeedy	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG; SCHLUSS	dain chedy qokeedy	PORTION / UMSETZEN · ARBEITSPOSTEN / ANSETZEN · LANG; SCHLUSS
B4-S011	f83r	B4	7	3	SET>SET>TRANSFER	EXTENDED_RECONFIGURATION_CHAIN	okeeol okain chdy	ANSETZEN · LANG · FORTSETZEN -> ANSETZEN · PORTION -> UMSETZEN · ARBEITSPOSTEN	saiin cheky okeeol okain chdy sol lkedy	SOLLMASS / WAERMEN · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · FORTSETZEN / ANSETZEN · PORTION / UMSETZEN · ARBEITSPOSTEN / FORTSETZEN / WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS
B4-S015	f83r	B4	6	2	SET>TRANSFER	SINGLE_HANDOFF	qokain lchedy	ANSETZEN · PORTION -> WEITERLEITEN · UMSETZEN; SCHLUSS	qokain shey kain chckhal solkey lchedy	ANSETZEN · PORTION / HALTEN · LANG · ARBEITSPOSTEN / ZUDOSIEREN · PORTION / ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE / AUFFANGEN · KURZ · ARBEITSPOSTEN / WEITERLEITEN · UMSETZEN; SCHLUSS
B5-S002	f83r	B5	1	1	FUSED_SET_TRANSFER_CLOSE	FUSED_SHORTCUT	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS
