unified_serial	page	unit_or_locus	source_group_identity	visible_identity	owner	construction	current_short_reading	selected_recipe_model	selected_article_reading_de
1	f10r	H1-S001	E001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
2	f10r	H1-S001	E002	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
3	f10r	H1-S001	E003	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
4	f10r	H1-S001	E004	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
5	f10r	H1-S001	E005	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
6	f10r	H1-S001	E006	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
7	f10r	H1-S001	E007	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
8	f10r	H1-S001	E008	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
9	f10r	H1-S001	E009	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
10	f10r	H1-S001	E010	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	M1_MEDICAL_MATERIA_RECIPE	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
