recipe_word_id	recipe_slot	selected_word_de	workshop_role_de	card_or_root_meaning
R01	WATER	Wasser	gemeinsames Löse-/Waschmedium	NO__SOURCE_PROGRAM_WORD
R02	WINE	Wein	Auszugsflüssigkeit für H3-H5	NO__SOURCE_PROGRAM_WORD
R03	OIL	Öl	Trägerstoff für H2-H3	NO__SOURCE_PROGRAM_WORD
R04	HONEY	Honig	Bindestoff für H4-H5	NO__SOURCE_PROGRAM_WORD
R05	SEDIMENT	Satz	verwahrter Rückstand in H1	NO__SOURCE_PROGRAM_WORD
R06	DRINK	Trank	dosiertes Mittel in H1/H3/H5	NO__SOURCE_PROGRAM_WORD
R07	SALVE	Salbe	Öl-Auszug in H2	NO__SOURCE_PROGRAM_WORD
R08	RUB	Einreibung	Öl-Auszug in H3	NO__SOURCE_PROGRAM_WORD
R09	WASH	Waschung	geklärter Auszug in H4	NO__SOURCE_PROGRAM_WORD
R10	POULTICE	Auflage	gebundener Pflanzenstoff in H2/H4/H5	NO__SOURCE_PROGRAM_WORD
R11	CLOTH	Tuch	Auswring-/Seihträger	NO__SOURCE_PROGRAM_WORD
