model_id	unit_id	substance_chain_fit_1_to_5	operation_chain_fit_1_to_5	purpose_fit_1_to_5	cross_article_reuse_1_to_5	editorial_fit_total_20	working_reading_de
M1_MEDICAL_MATERIA_RECIPE	H1	5	4	5	4	18	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.
M1_MEDICAL_MATERIA_RECIPE	H2	5	5	5	4	19	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.
M1_MEDICAL_MATERIA_RECIPE	H3	5	5	5	5	20	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.
M1_MEDICAL_MATERIA_RECIPE	H4	5	5	5	4	19	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.
M1_MEDICAL_MATERIA_RECIPE	H5	5	5	5	5	20	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
M2_DYE_PAINT_RECIPE	H1	4	4	4	3	15	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M2_DYE_PAINT_RECIPE	H2	5	4	4	4	17	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M2_DYE_PAINT_RECIPE	H3	5	4	4	4	17	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M2_DYE_PAINT_RECIPE	H4	4	4	4	4	16	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M2_DYE_PAINT_RECIPE	H5	4	3	4	3	14	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M3_COSMETIC_HOUSEHOLD_RECIPE	H1	4	3	4	3	14	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M3_COSMETIC_HOUSEHOLD_RECIPE	H2	5	5	4	4	18	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M3_COSMETIC_HOUSEHOLD_RECIPE	H3	5	5	5	4	19	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M3_COSMETIC_HOUSEHOLD_RECIPE	H4	5	5	4	4	18	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
M3_COSMETIC_HOUSEHOLD_RECIPE	H5	5	4	4	4	17	Setze dasselbe sichtbare Pflanzen- und Operationsgerüst mit dem Vokabular dieses Rivalen.
