cohort_id	locus	risk_level	ol_direction_valid	polished_record_reading_de	manual_note_de	polished_is_translation	confirmed_lexeme
G770-L008	f58r.13	MEDIUM	1	gekühlte Fraktion I; Zubereitungszusatz; getrockneter Endauszug; Zwischenansatz; Trockenstoff I, Mittelstufe; getrocknete Masse; Trockenstoff I, Anfangsstufe; Trockenstufe III; dann abseihen	ol steht schlüssig vor dem Prozess; die übrigen Stoff- und Prozessnamen bleiben geerbte Arbeitsdefaults	0	0
G770-L009	f3r.19	MEDIUM	1	kalt-trockene Portion und Trockenform; Zubereitungsportion; Anteil II; Kaltzubereitung; Dosis III; Blütenstand; Blattgut	ol koordiniert zwei Inhaltsfelder; von bleibt als Leser-Rivale sichtbar	0	0
G770-L012	f55v.10	HIGH	1	drei Ansatzportionen; Menge: drei Drachmen; heiß, Grad III, im Ansatzrahmen; leicht erhitzter Ansatz; Eintrag: kalt, Stufe III; Zwischen-/Fortsetzungsfeld, Funktion offen; Rohstoffklasse I, leicht erhitzt; erhitzte Fraktion I	Menge ist korrekt gerichtet; alte Metaprosa und nicht gestützte Imperative sind nominalisiert	0	0
G770-L013	f78r.37	HIGH	1	Ansatz, Form I; Rohstoff offen; Menge: drei Drachmen; Feuchtprozess, Lesung offen; Wert/Menge III; abseihen	Menge ist korrekt gerichtet; der reader-inexakte Feuchtprozess bleibt ausdrücklich offen	0	0
G772-L016	f112r.36	MEDIUM	1	Wert/Menge II; Ansatz: trockene Zubereitungsform, Anfangsstufe; trockener Zubereitungsposten, Stufe II, Stoff offen; erhitzter Ansatz; Maßposten I, Stoff offen	Ansatz folgt der sichtbaren Menge-Inhalt-Richtung; von bleibt Rivale	0	0
G772-L017	f30v.2	HIGH	1	kalt-trockener Inhaltsposten; leicht getrocknet; Feuchtattribut; heiß-trockener Inhaltsposten; Pflanzenteil in Grundform; heißer Mengen-/Inhaltsposten; leicht getrocknet; Wert III; Blatt-/Krautgut, Abschluss	ol als Feldgrenze ist stabil; die überwiegend untypisierte Zustandskette wird nicht als Satz ausgegeben	0	0
G772-L018	f75r.26	HIGH	1	Wert/Grad II; Ansatz-/Inhaltsfeld: feuchtes Material, Qualitätsgrad II; Zugabeabschluss; abgemessene Fraktion I; Abfüllabschluss	das erste ol ist der schwächste Zuordnungsfall, weil dain dimensionsoffen bleibt; das zweite ol ist Feldgrenze	0	0
G772-L019	f81r.15	HIGH	1	Wert/Menge II; Ansatz-/Zustandsfelder: trocken, Abschluss; erhitzt, Abschluss; abgekühlt bis Mittelstufe, Abschluss	ol ist richtungskompatibel; parallele Zustandsfelder sind sicherer als ein erfundener kontinuierlicher Ablauf	0	0
G772-L020	f81r.22	LOW	1	Rohstoffklasse I, leicht abgekühlt; bis Mittelstufe getrocknet, Abschluss; Zugabe-/Inhaltsfeld: Qualitätsgrad III; abgemessene Trockenfraktion I, Mittelstufe; dann abseihen	die drei ol-Ausgaben Doppelpunkt, Feldgrenze und dann sind gemeinsam die stärkste Zeile	0	0
G772-L021	f82r.33	MEDIUM	1	Wert/Menge II; Ansatz: Trockenmaterial; anschließend: Trockenportion, bis Mittelstufe getrocknet	Ansatz folgt der Menge-Inhalt-Richtung; von bleibt Leser-Rivale	0	0
G772-L022	f85r1.21	HIGH	1	abgemessene Fraktion III; getrockneter Ansatz; drei Portionen; Ansatzfeld: heiß, Grad III; trockene Zubereitungsform I; Zutat; abgekühlt bis Mittelstufe, Abschluss; kalt, Grad III; Pflanzen-/Reproduktionsteil; getrocknet bis Mittelstufe, Abschluss	ol ist richtungskompatibel; acht geerbte untypisierte Defaults verlangen Register- statt Satzdarstellung	0	0
