case_id	locus	ordinal	context_eva	context_class	primary_function	runner_up	default_surface_de	alternative_de	fit_von	fit_aus	fit_nominal	fit_field_sequence	fit_measure_unit	von_reading_de	aus_reading_de	nominal_reading_de	field_sequence_reading_de	measure_unit_reading_de	reason_de	evidence_refs	confirmed_lexeme	component_export_credit
G772-OL01	f112r.36	2	sain [ol] checkhy	AMOUNT_VALUE_TO_PREPARATION	CONTENT_FIELD_HEAD	VON	Ansatz:	von	1	3	0	1	2	Menge II von trockener Anfangszubereitung	Menge II aus trockener Anfangszubereitung	Menge II; Ansatz: trockene Anfangszubereitung	Menge II: trockene Anfangszubereitung	Menge II [Einheit] trockene Anfangszubereitung	Vollständige Menge links und nominale Zubereitung rechts lassen Nominalkopf und partitive Glättung beide zu; der invariant faire Topologiescore gibt dem Kopf den Default.	G760-E0075|G771-O004|HRA769008|HRA769009|EXPERT_SPLIT_N_V	0	0
G772-OL02	f30v.2	7	keor [ol] chy daiin	AMOUNT_VALUE_TO_FIELD	FIELD_SEPARATOR	NOMINAL_HEAD	;	Ansatz	2	3	1	0	3	heißer Inhaltsposten von Trockenfeld III	heißer Inhaltsposten aus Trockenfeld III	heißer Inhaltsposten; Ansatz, Trockenfeld III	heißer Inhaltsposten; Trockenfeld III	heißer Inhaltsposten [Einheit] Trockenfeld III	Links steht bereits ein inhaltstragender Wertkopf; ein neues Trocken-/Wertfeld rechts braucht eher Grenze als Herkunft.	G771-LT01|G771-RT03|EXPERT_AGREEMENT_FIELD	0	0
G772-OL03	f3r.19	2	otchor [ol] cheor	CONTENT_TO_CONTENT	COORDINATION	VON	und	von	1	2	2	0	3	kalt-trockene Portion von Trockenmaterial	kalt-trockene Portion aus Trockenmaterial	kalt-trockene Portion; Ansatzstoff Trockenmaterial	kalt-trockene Portion und Trockenmaterial	kalt-trockene Portion [Einheit] Trockenmaterial	Zwei nominale Felder erlauben von, aber ohne gesichertes Abhängigkeitsgefälle ist sichtbare Koordination der robustere gemeinsame Default.	G770_OTHER_TWO_SIDED_CONTROL|HRA769008|EXPERT_SPLIT_F_V	0	0
G772-OL04	f55v.10	2	oaiin [ol] s aiin	CONTENT_TO_AMOUNT	MEASURE_FIELD_HEAD	NOMINAL_HEAD	Menge:	Ansatzposten:	3	3	0	1	0	drei Ansatzportionen von drei Drachmen	drei Ansatzportionen aus drei Drachmen	drei Ansatzportionen; Ansatzposten: drei Drachmen	drei Ansatzportionen; drei Drachmen	drei Ansatzportionen; Menge: drei Drachmen	Der replizierte Stoff-vor-Mengenspan ist mit Nominalkopf oder Mengenkomplement lesbar; der Kontextoperator macht die Richtung als Mengenfeld sichtbar.	G760-E0161|G763-A04|HRA769009|EXPERT_SPLIT_N_U	0	0
G772-OL05	f55v.10	12	ykar [ol]	FIELD_BOUNDARY	FIELD_CLOSE	NOMINAL_HEAD	;	Grundansatz	3	3	0	0	3	nimm hiervon die erste erhitzte Fraktion von …	nimm hiervon die erste erhitzte Fraktion aus …	nimm hiervon die erste erhitzte Fraktion; Grundansatz	nimm hiervon die erste erhitzte Fraktion; Abschluss	nimm hiervon die erste erhitzte Fraktion [Einheit]	Am Zeilenende fehlt für Präposition und Einheit das Komplement; Nominalellipse und Feldabschluss bleiben gleich brauchbar, daher setzt die produktive Operatorregel den sichtbaren Abschluss.	G770_FINAL_ONE_SIDED_CONTROL|EXPERT_SPLIT_N_F	0	0
G772-OL06	f58r.13	9	chaiin [ol] oly	ANY_TO_PROCESS	SEQUENCE	NOMINAL_HEAD	und dann	Ansatz	3	3	1	0	3	Trockenstufe III von abseihen	Trockenstufe III aus abseihen	Trockenstufe III Ansatzstoff abseihen	Trockenstufe III; und dann abseihen	Trockenstufe III [Einheit] abseihen	Ein selbständiger Prozess rechts macht die Folgenlesung praktisch eindeutig und von/aus ungrammatisch.	G771_OTHER_TWO_SIDED_CONTROL|HRA769005|HRA769006|EXPERT_AGREEMENT_FIELD	0	0
G772-OL07	f75r.26	2	dain [ol] sheol	AMOUNT_VALUE_TO_PREPARATION	CONTENT_FIELD_HEAD	FIELD_SEQUENCE	Ansatz:	;	1	3	0	0	2	Wert II von feuchtem Material	Wert II aus feuchtem Material	Wert II; Ansatz: feuchtes Material	Wert II: feuchte Zubereitung	Wert II [Einheit] feuchtes Material	Dain ist nur dimensionsoffener Wert; Kopf und Feldgrenze sind praktisch gleich gut, während der faire AC-Topologiescore den Ansatzkopf als stabilen Default setzt.	G771-O008|G763_MEASURE_OR_UNIT_COMPLEMENT_RIVAL|EXPERT_SPLIT_N_F	0	0
G772-OL08	f75r.26	5	dain [ol] qoly	FIELD_BOUNDARY	FIELD_CONTINUATION	NOMINAL_OR_UNIT	;	Ansatz/Einheit	3	3	1	0	1	Wert II von Folgeschritt	Wert II aus Folgeschritt	Ansatz II; Folgeschritt	Wert II; Folgeschritt	Wert II [Einheit]; Folgeschritt	Die rechte Rolle ist nicht sicher typisiert; der sichtbare Folgeschritt macht eine neutrale Fortsetzung brauchbarer als eine gerichtete Relation.	G771-O009|COLLATERAL_DIRECTIONAL_CONTROL|EXPERT_AGREEMENT_FIELD	0	0
G772-OL09	f78r.37	2	osal [ol] s aiin	CONTENT_TO_AMOUNT	MEASURE_FIELD_HEAD	NOMINAL_HEAD	Menge:	Ansatzposten:	3	3	0	1	0	Ansatz Form I von drei Drachmen	Ansatz Form I aus drei Drachmen	Ansatz Form I; Ansatzposten: drei Drachmen	Ansatz Form I; drei Drachmen	Ansatz Form I; Menge: drei Drachmen	Der zweite replizierte Stoff-vor-Mengenspan stützt denselben Nominalkopf/Mengenfeld-Gegensatz wie f55v.10; der Kontextoperator benennt das Mengenfeld.	G760-E0201|G763-A06|HRA769009|EXPERT_SPLIT_N_U	0	0
G772-OL10	f81r.15	2	sain [ol] cheedy	AMOUNT_VALUE_TO_PREPARATION	CONTENT_FIELD_HEAD	VON	Ansatz:	von	1	3	0	1	2	Menge II von vollständig getrockneter Zubereitung	Menge II aus vollständig getrockneter Zubereitung	Menge II; Ansatz: vollständig getrocknet	Menge II: vollständig getrocknete Zubereitung	Menge II [Einheit] vollständig getrocknete Zubereitung	Vollständige Menge vor nominaler Endzubereitung lässt N gegen V praktisch offen; das richtungsinvariante Kopfmodell liefert den Default.	G760-E0217|G771-RT01|HRA769009|EXPERT_SPLIT_N_V	0	0
