locus	ordinal	surface	resolution_class	practical_resolution_de	review_note
f7r.2	2	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.
f58r.6	4	oteor	JOIN_RIGHT_SAME_CORE	eine Portion kalten Ansatzes, Mittelstufe	Both alternate readers join following y as oteory; the cold middle preparation portion remains unchanged.
f58r.20	2	olchey	TRUE_READER_RIVAL_DEFAULT_ZL3B	Holzdrogenansatz, bis Mittelstufe getrocknet	Both alternates read oleeey; the one discrepant occurrence does not overturn nineteen other olchey contexts.
f77v.7	4	rr	TRUE_READER_RIVAL_DEFAULT_ALTERNATES	getrocknete Wurzeldroge	Both alternate readers restore rchr; this defeats an unsupported global rr reduplication rule.
f86v3.19	10	aiindy	TRUE_READER_RIVAL_SPLIT_SUPPORT	drei Teile, fertig abgeteilt	IT2a splits aiin dy and supports the composition; RF1b keeps only aiin y.
f86v6.4	11	karchees	JOIN_LEFT_KNOWN_COMPONENT	vollständig getrocknete Charge der ersten heißen Holzfraktion	Both alternate readers join preceding l as lkarchees; practical prose collapses the two ZL3b slots.
f102v2.22	11	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.
f112r.45	4	keeey	JOIN_LEFT_SAME_CORE	stark erhitzter Ansatz, Endstufe III	Both alternate readers join preceding o as okeeey; the target remains the final strong-heat component.
f115r.34	3	keeey	JOIN_LEFT_SAME_CORE	stark erhitzte Holzdroge, Endstufe III	Both alternate readers join preceding l as lkeeey; the target remains the final strong-heat component.
f115r.20	12	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.
f116r.12	1	qoin	TRUE_READER_RIVAL_DEFAULT_LEARNED_WHOLE	zweiten Ansatz nehmen	IT2a has qoain and RF1b splits qo in; form II and quantity II remain live rivals.
f116r.12	3	cholches	SPLIT_SAME_COMPOSITION	nachgetrocknetes Drogenmaterial, Mittelstufe	Both alternate readers split chol ches while preserving the exact letters and dry-material composition.
