line_rank	locus	target_surfaces	added_action_surfaces	new_line_mode	reader_boundary_rule	practical_translation_de	review_note
1	f105r.2	yey|qodor	qodor	MIXED_RECORD	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz weiterführen und die Zubereitung fertigstellen.	yey remains the sequence link; qodor is the new measure action.
2	f113v.12	otsheody|olchey	NONE	QUANTITY_LABEL	NONE	Getrockneter Saatgutansatz; kalt angefeuchteter Ansatz, abgeschlossen; erste Holzdrogenfraktion; bis zur Mittelstufe getrockneter Holzdrogenansatz — zwei Portionen.	Both new cards are nominal preparation results and oror remains the final quantity.
3	f113v.3	chotar|okeeodar	NONE	QUANTITY_LABEL	NONE	Samenfraktion I, Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; Heizgrad II; Holzdrogen-Grundansatz; ein Maß Ansatzmaterial.	RF1b drops initial o from okeeodar but preserves the heated measured-fraction core.
4	f115r.23	qokeod|keeey	qokeod	ACTION_SEQUENCE	NONE	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Am Heizende einen heißen Auszug bereiten und abschließen; den fertigen Trockenansatz erhitzen, trocknen und neu ansetzen. Saatgutposten und trockenes Blatt- oder Krautgut stark bis zur Endstufe III erhitzen. Das stark erhitzte Gut mit Holzstoff bis zur mittleren Trockenstufe führen, heiß-trocken abschließen und als fertig aufbereitete Holzdroge halten.	qokeod is the new action; keeey remains a repeated high final heat state.
5	f116r.12	qoin|cholches	qoin	MIXED_RECORD	NONE	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; Maß II. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; Rohdroge I im kalten Anfangsansatz, Maß II, schließlich ein Maß Drogenmaterial.	qoin uses the learned oin preparation block; form II remains its explicit rival.
6	f30r.9	qochar|keeaiin	qochar	ACTION_SEQUENCE	NONE	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Die erste Trockenfraktion des Trockenguts nehmen und vollständig auf Stufe III erhitzen. Die Krautdroge bis zur Mittelstufe trocknen, den Pflanzen- oder Blütenteil dazugeben und bis zur mittleren Trockenstufe bringen, dann leicht anwärmen.	keeaiin is rendered as heat grade III rather than an extra free quantity.
7	f49r.16	qocho|qotchody	qocho|qotchody	ACTION_SEQUENCE	NONE	Den Trockenansatz nehmen und bis zur Endstufe trocknen. Die abgemessene und auf Mittelstufe getrocknete Droge als fertiges Zwischenprodukt halten; anschließend kühlen, trocknen, erneut ansetzen und fertigstellen.	Both newly filled positions are explicit actions; qotchody retains a visible result rival.
8	f76v.10	cphdor|lsheetal	cphdor	MIXED_RECORD	NONE	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, Maß III, danach Abschluss.	cphdor preserves the learned dor measure action; lsheetal is its concrete wood/raw/cold result card.
9	f77v.7	qy|rr	qy	ACTION_SEQUENCE	RR_TO_RCHR_DEFAULT	Vollständig eingeweichte Holzdroge; den vollständig eingeweichten und fertigen Drogenstoff zugeben. Davon getrocknete Wurzeldroge nehmen und vollständig trocknen und fertigstellen. Als heißen Mittelstufenansatz mit eingeweichtem Drogenholz weiterführen; Trockengut in Grundform und feuchte abgemessene Rohstoffmenge I auf Anfangsstufe. Bis zur mittleren Trockenstufe führen und leicht erhitzten Drogenstoff zugeben.	ZL3b rr is rendered from the shared IT2a/RF1b rchr reading; two Wurzelteile remains the named ZL3b-only rival.
10	f7r.2	keo|dold	dold	MIXED_RECORD	KEO_R_TO_KEOR	Eine Dosis vollständig trocknen und abschließen; heiße Drogenportion; Blüten- oder Fruchtstand. Den Drogenstoff abmessen und abschließen. Danach die abgemessene Trockendroge auf Mittelstufe, heiß-trocken auf Mittelstufe, in einen kalt-trockenen Anfangsansatz überführen und als getrockneten Ansatz halten.	The practical renderer joins ZL3b keo r through both alternate readers' keor; it does not print Ansatz plus Wurzel.
11	f80v.35	oltain|okiin	NONE	ACTION_SEQUENCE	NONE	Kaltes Gut; Holzdrogenansatz kalt auf Stufe II; erste erhitzte Drogenfraktion im Ansatz. Hierzu zweimal Drogenstoff zugeben. Auf Heizgrad II bringen, als erhitzten Ansatz in Form III führen, erneut auf Heizgrad II bringen, bis zur mittleren Feuchtstufe behandeln und als fertig aufbereitete Holzdroge abschließen.	Both cards are nominal objects and states inside the inherited two-qol action sequence.
12	f83v.12	qoeeo|lldar	lldar	MIXED_RECORD	NONE	Maß III; feuchtes Arzneikompositum auf Anfangsstufe; zweiter Mazerationsansatz. Daraus die erste Holzdrogenfraktion abmessen und bis zur Trocken-Endstufe führen; Rohdroge I; heiße Endstufe abgeschlossen; erste erhitzte Drogenfraktion im Ansatz; Feucht-Endstufe abgeschlossen; Heizgrad II; schließlich Holzrohstoffansatz in Form I.	qoeeo keeps learned oeeo as a nominal preparation; lldar preserves the known ldar measure action.
13	f85r2.5	ockhdar|shoral	NONE	NOMINAL_REGISTER	MIDDLE_OLKAR_QUARANTINE	Erste abgemessene Fraktion des Arzneikompositum-Ansatzes; erste erhitzte Drogenfraktion im Ansatz; Blüten- oder Frucht-Rohdroge I.	The two new cards close their slots, but the middle olkar remains explicitly reader-quarantined as olkor/ar.
