lesson	short_name	teaching_rule_de
L01	BILD	Zuerst Bildbesitzer und Sachregister bestimmen; sie liefern Pflanze, Station, Gefäß, Figur oder Ringplatz.
L02	KANAL	Laufende Prosa spricht Arbeitsgänge; Text direkt an Figur oder Kreis spricht Adresse und Wert.
L03	KARTENFAMILIE	Die Komponentenfolge normalisieren; q-, s-, ch- und d-Schreiblagen dürfen dieselbe Karte darstellen.
L04	GANZKARTE	Ist die Komponentenfolge im 47-Karten-Deck, zuerst den gelernten Ganzkartenwert sprechen.
L05	ZERLEGUNG	Ist sie nicht im Deck, die 56 Kürzel von links nach rechts zusammensetzen.
L06	REFERENT	Y hält den aktuell gemeinten Posten; es schließt allein nichts ab.
L07	SCHLUSS	Nur die lizenzierte DY-Konstruktion beendet den aktuellen Zellenauftrag.
L08	GRAD	E, EE, EEE heißen kurz, länger, vollständig; derselbe Grad wirkt auf verschiedene Arbeitskerne.
L09	START	OK setzt den folgenden Posten oder Vorgang in Gang.
L10	WAHL	CH wählt den Teil oder die Klasse; S wählt eine Variante.
L11	ZUTEILUNG	K teilt Stoff oder Wert zu; AIN ist Einheit, AIIN Sollwert, IIN Stufe.
L12	WEG	AR nennt die Quelle, AL das Ziel, L die Verbindung und AIR den Lauf.
L13	FOLGE	OL setzt denselben Zug fort; OT nimmt den nächsten Zug oder Posten.
L14	ZUSTAND	SH hält, SHED setzt ab, CTH führt bis bereit, CHK bezeichnet eine Behandlung.
L15	BILDREGISTER	Im Bildkanal werden START, WAHL, ZIEL, QUELLE und GRAD als Platz- und Tabellenwerte gesprochen.
L16	PROSA	In Prosa Besitzer und Mengen zuerst, Handlung danach, Ziel/Lauf und Grad beim passenden Vorgang ergänzen.
L17	ZEILE	Eine Aussage darf über die physische Zeile hinausgehen; Zeilenbruch ist kein Pflichtschluss.
L18	EXEMPLAR	Seltene Sachnamen werden aus dem Seitenexemplar kopiert, ohne die produktiven Kürzel umzudeuten.
L19	NEUBILDUNG	Für eine neue Karte Stamm, Grad und Y oder DY wählen; ihre Bedeutung steht vor der Oberflächenform fest.
L20	RUECKLESEN	Zur Kontrolle den abstrakten Kartenwert zurücklesen und erst dann die bildgebundene Sachform einsetzen.
